Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,0.30000000000000004,0
D Doesn't Answer,False Negatives,Probabilities,0.45714828925255724,0.23045205456068557
Settles,False Negatives,Values,0.85,0
Settles,False Negatives,Probabilities,0.031053192062400432,0.2515031688889527
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,0.30000000000000004,0
D Defaults,False Negatives,Probabilities,0.010738045409887324,0.014735728675480135
P Loses,False Negatives,Values,1.6,0
P Loses,False Negatives,Probabilities,0.0006066604715936697,0.0027076048190282347
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.0004444182301823439,0.0006108376292331279
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.23045205456068557,0.45714828925255724
Settles,False Positives,Values,0.75,0
Settles,False Positives,Probabilities,0.2515031688889527,0.031053192062400432
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.014735728675480135,0.010738045409887324
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.0027076048190282347,0.0006066604715936697
P Wins,False Positives,Values,1.6,0.6000000000000001
P Wins,False Positives,Probabilities,0.0006108376292331279,0.0004444182301823439
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,0.30000000000000004,0.30000000000000004
D Doesn't Answer,Total Expenditures,Probabilities,0.23045205456068557,0.45714828925255724
Settles,Total Expenditures,Values,0.6,0.6
Settles,Total Expenditures,Probabilities,0.2515031688889527,0.031053192062400432
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
D Defaults,Total Expenditures,Probabilities,0.014735728675480135,0.010738045409887324
P Loses,Total Expenditures,Values,1.2,1.2
P Loses,Total Expenditures,Probabilities,0.0027076048190282347,0.0006066604715936697
P Wins,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
P Wins,Total Expenditures,Probabilities,0.0006108376292331279,0.0004444182301823439
