Equilibrium Type,Allow Abandon and Defaults,CARA Alpha,Costs Multiplier,Court Signal Sigma,Damages Signal Shaping,Detailed Signal Reporting,Fee Regime,Fee Shifting Multiplier,Fee Shifting Rule,Fee Shifting Trigger,Fees After Nonanswer,Filing and Answering,Information Level,Integration Method,Issue,Liability Signal Shaping,Noise to Produce Case Strength,Number of Court Signals,Number of Offers,Number of Signals,Party Signal Sigma,Probability Truly Liable,Proportion of Costs at Beginning,Quadrature Order,Quality Distribution,Quality-Truth Link,Relative Costs,Risk Aversion,Signal Structure,Specification,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,Defendant Excess Net Monetary Burden,Plaintiff Net Recovery Shortfall,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,Mutual Give-Up Probability Before 50/50 Allocation,P Loses,P Wins,Appropriation
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.4383,9.4383099999999995,19.8766,0.123393,10.4383,9.4383099999999995,0,0.123393,0,0,0,0,0.123393,0.20179,0.169736,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Dispute Arises,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.4383,9.4383099999999995,19.8766,0.123393,10.4383,9.4383099999999995,0,0.123393,0,0,0,0,0.123393,0.20179,0.169736,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Not Litigated,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Litigated,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.4383,9.4383099999999995,19.8766,0.123393,10.4383,9.4383099999999995,0,0.123393,0,0,0,0,0.123393,0.20179,0.169736,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Settles,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.49809999999999999,0.50187800000000005,0,,10.4625,9.46251,19.925000000000001,0.074999999999999997,10.4625,9.46251,0,0.074999999999999997,0,0,0,0,0.074999999999999997,0.12540200000000001,0.12540299999999999,0.49998900000000002,0,0,1,0,0,0,0,0,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Tried,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.94999999999999996,0.050000000000000003,1,0.49999399999999999,10.425000000000001,9.4250100000000003,19.850000000000001,0.14999999999999999,10.425000000000001,9.4250100000000003,0,0.14999999999999999,0,0,0,0,0.14999999999999999,0.24379000000000001,0.19411100000000001,,0,0,0,0,0,0,0.50000599999999995,0.49999399999999999,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,P Loses,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.94999999999999996,0.050000000000000003,1,0,9.8499999999999996,10,19.850000000000001,0.14999999999999999,9.8499999999999996,10,0,0.14999999999999999,0,0,0,0,0.14999999999999999,0,0.38821699999999998,,0,0,0,0,0,0,1,0,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,P Wins,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.94999999999999996,0.050000000000000003,1,1,11,8.8499999999999996,19.850000000000001,0.14999999999999999,11,8.8499999999999996,0,0.14999999999999999,0,0,0,0,0.14999999999999999,0.48758499999999999,0,,0,0,0,0,0,0,0,1,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Truly Liable,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.89139400000000002,0.31201800000000002,0.64524000000000004,0.66241300000000003,10.660500000000001,9.2160799999999998,19.8766,0.123393,10.660500000000001,9.2160799999999998,0,0.123393,0,0,0,0,0.123393,0.064112299999999997,0.339476,0.78668899999999997,0,0,0.35476000000000002,0,0,0,0.21782499999999999,0.42741600000000002,0
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,Truly Not Liable,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,192,1,1,0.687975,0.10860300000000001,0.64523600000000003,0.33757799999999999,10.216100000000001,9.6605399999999992,19.8766,0.123393,10.216100000000001,9.6605399999999992,0,0.123393,0,0,0,0,0.123393,0.33946500000000002,0,0.21329899999999999,0,0,0.35476400000000002,0,0,0,0.42741800000000002,0.21781800000000001,0
