Equilibrium Type,Allow Abandon and Defaults,CARA Alpha,Costs Multiplier,Court Signal Sigma,Damages Signal Shaping,Detailed Signal Reporting,Fee Regime,Fee Shifting Multiplier,Fee Shifting Rule,Filing and Answering,Information Level,Integration Method,Issue,Liability Signal Shaping,Noise to Produce Case Strength,Number of Court Signals,Number of Offers,Number of Signals,Party Signal Sigma,Probability Truly Liable,Proportion of Costs at Beginning,Quadrature Order,Quality Distribution,Quality-Truth Link,Relative Costs,Risk Aversion,Signal Structure,Specification,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,Defendant Excess Net Monetary Burden,Plaintiff Net Recovery Shortfall,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,Mutual Give-Up Probability Before 50/50 Allocation,P Loses,P Wins,Appropriation,Reaches Bargaining,Settlement Unconditional,Settlement Conditional on Reaching Bargaining,Real Litigation Costs,Liability Transfer to Plaintiff,Fee-Shifting Transfer to Plaintiff,Total Net Transfer to Plaintiff,Meritorious-Plaintiff Net Recovery Shortfall,Nonliable-Defendant Net Burden,Liable-Defendant Excess Net Burden Above Damages,Net Outcome Fidelity Loss,Plaintiff shortfall contribution,Nonliable defendant contribution,Liable defendant contribution,Outcome Error Before Legal Costs and Fee Transfers,Gross error meritorious underpayment,Gross error nonliable payment,Comparison Fee Rule,Comparison Family,Fee Shifting Trigger,Fees After Nonanswer
Only Eq,true,0,0.25,0.2000000000,Identity,true,American,0,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,8.8820000000000011E-16,4,1,1,0.87759500000000001,0.122403,0.83921100000000004,0.49999199999999999,10.437099999999999,9.4370700000000003,19.874099999999999,0.12588199999999999,10.437099999999999,9.4370700000000003,0,0.12588199999999999,0,0,0,0,0.12588199999999999,0.20016999999999999,0.17857899999999999,0.49999300000000002,0,0,0.16078899999999999,0,0,0,0.41961199999999999,0.419599,0,1,0.160789,0.160789,0.12588199999999999,0.499992374477,-0,0.499992374477,0.357163,0.357154,0.0431818,0.378749,0.1785815,0.178577,0.0215909,0.294218246177,0.14711169584,0.147106550337,American,all-costs-avoidable,,
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.25__Fee-British,-1.7760000000000001E-15,4,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.451599999999999,9.4516200000000001,19.903199999999998,0.096785700000000002,10.451599999999999,9.4516200000000001,0,0.096785700000000002,0,0,0,0,0.096785700000000002,0.19513800000000001,0.16308400000000001,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0,1,0.354762,0.354762,0.096785700000000002,0.499992097618,-0.0000006,0.499991497618,0.326173,0.326161,0.0641123,0.358222,0.1630865,0.1630805,0.03205615,0.293493508398,0.14674910518,0.146744403218,Trial Fee-Shifting,all-costs-avoidable,,
Only Eq,true,0,0.5,0.2000000000,Identity,true,American,0,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.5__Fee-American,0,4,1,1,0.69412099999999999,0.210309,0.54156899999999997,0.55996400000000002,10.403499999999999,9.4340700000000002,19.837499999999999,0.162471,10.403499999999999,9.4340700000000002,0,0.162471,0,0,0,0,0.162471,0.20668700000000001,0.198633,0.395764,0,0,0.45843099999999998,0,0,0,0.23830999999999999,0.303259,0,1,0.458431,0.458431,0.162471,0.484689486284,0,0.484689486284,0.39727,0.351727,0.0616431,0.40532,0.198635,0.1758635,0.03082155,0.293262849976,0.154285306456,0.13897754352,American,all-costs-avoidable,,
Only Eq,true,0,0.5,0.2000000000,Identity,true,British,1,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.5__Fee-British,-8.8820000000000011E-16,4,1,1,0.69412099999999999,0.30586799999999997,0.44122499999999998,0.49999500000000002,10.4338,9.4338300000000004,19.867599999999999,0.13236700000000001,10.4338,9.4338300000000004,0,0.13236700000000001,0,0,0,0,0.13236700000000001,0.21257599999999999,0.17032600000000001,0.49998999999999999,0,0,0.55877500000000002,0,0,0,0.22061500000000001,0.22061,0,1,0.558775,0.558775,0.13236700000000001,0.49999191225,-0.00000075,0.49999116225,0.340656,0.340644,0.0845049,0.382902,0.170328,0.170322,0.04225245,0.292787324652,0.146396460496,0.146390864156,Trial Fee-Shifting,all-costs-avoidable,,
Only Eq,true,0,1,0.2000000000,Identity,true,American,0,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-1__Fee-American,-8.8820000000000011E-16,3,1,1,0.75691399999999998,0.243066,0.28797400000000001,0.499996,10.413600000000001,9.4136199999999999,19.827200000000001,0.17278399999999999,10.413600000000001,9.4136199999999999,0,0.17278399999999999,0,0,0,0,0.17278399999999999,0.21352299999999999,0.18659400000000001,0.49997599999999998,0,0,0.425456,0.1432828,0.1432868,0.0136916,0.143988,0.143986,0,1,0.425456,0.425456,0.17278399999999999,0.499990589056,-0,0.499990589056,0.373193,0.37318,0.053862,0.400117,0.1865965,0.18659,0.026931,0.286794487352,0.143400234048,0.143394253304,American,all-costs-avoidable,,
Only Eq,true,0,1,0.2000000000,Identity,true,British,1,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-1__Fee-British,-8.8820000000000011E-16,3,1,1,0.78968300000000002,0.210309,0.25620500000000002,0.49999700000000002,10.4231,9.4231499999999997,19.846299999999999,0.153723,10.4231,9.4231499999999997,0,0.153723,0,0,0,0,0.153723,0.21913199999999999,0.17166999999999999,0.49998900000000002,0,0,0.35476200000000002,0.1945215,0.1945115,0.023823,0.12810299999999999,0.12810199999999999,0,1,0.354762,0.354762,0.153723,0.499990597618,-0.0000003,0.499990297618,0.343344,0.343329,0.0949314,0.390802,0.171672,0.1716645,0.0474657,0.284544608398,0.14227560518,0.142269003218,Trial Fee-Shifting,all-costs-avoidable,,
Only Eq,true,0,2,0.2000000000,Identity,true,American,0,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-2__Fee-American,8.8820000000000011E-16,4,1,1,0.83005099999999998,0.122403,0.14618400000000001,0.54034899999999997,10.395,9.4295299999999997,19.8246,0.17542099999999999,10.395,9.4295299999999997,0,0.17542099999999999,0,0,0,0,0.17542099999999999,0.20488100000000001,0.197437,0.388625,0,0,0.213448,0.3195519,0.3208159,0.0809338,0.067193699999999995,0.078990500000000005,0,1,0.213448,0.213448,0.17542099999999999,0.482757629,0,0.482757629,0.394879,0.350335,0.0594224,0.402318,0.1974395,0.1751675,0.0297112,0.284896755453,0.15106825716,0.133828498293,American,all-costs-avoidable,,
Only Eq,true,0,2,0.2000000000,Identity,true,British,1,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-2__Fee-British,3.5529999999999999E-15,4,1,1,0.87759500000000001,0.122403,0.118738,0.499996,10.428699999999999,9.4287700000000001,19.857500000000002,0.142486,10.428699999999999,9.4287700000000001,0,0.142486,0,0,0,0,0.142486,0.21365500000000001,0.17079800000000001,0.49999300000000002,0,0,0.16078899999999999,0.3602435,0.3602295,0.104869,0.059369499999999999,0.059368600000000001,0,1,0.160789,0.160789,0.142486,0.499991474477,-0.00000054,0.499990934477,0.341601,0.341588,0.0857185,0.384453,0.1708005,0.170794,0.04285925,0.284827446177,0.14241664584,0.142410800337,Trial Fee-Shifting,all-costs-avoidable,,
Only Eq,true,0,4,0.2000000000,Identity,true,American,0,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-4__Fee-American,-5.3290000000000004E-15,4,1,1,0.94999999999999996,0.32703700000000002,0.072652999999999995,0.42420999999999998,10.460599999999999,9.3650599999999997,19.825600000000001,0.17436599999999999,10.460599999999999,9.3650599999999997,0,0.17436599999999999,0,0,0,0,0.17436599999999999,0.24258099999999999,0.16199,0.94999999999999996,0,0,0.080447599999999994,0.4063865,0.4405135,0.173267,0.0418327,0.03082,0,1,0.0804476,0.0804476,0.17436599999999999,0.54775872,-0,0.54775872,0.323984,0.437786,0.0473712,0.404571,0.161992,0.218893,0.0236856,0.29370229,0.12297025,0.17073204,American,all-costs-avoidable,,
Only Eq,true,0,4,0.2000000000,Identity,true,British,1,English,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-4__Fee-British,1.7760000000000001E-15,4,1,1,0.70601499999999995,0.29395199999999999,0.041005,0.49998799999999999,10.450799999999999,9.4507999999999992,19.901599999999998,0.098412899999999998,10.450799999999999,9.4507999999999992,0,0.098412899999999998,0,0,0,0,0.098412899999999998,0.199962,0.17091700000000001,,0,0,0,0.479505,0.47949,0.25620999999999999,0.020503199999999999,0.020502200000000002,0,1,0,0,0.098412899999999998,0.4999922,-0.0000012,0.499991,0.341839,0.341826,0.0580953,0.370879,0.1709195,0.170913,0.02904765,0.30151585,0.1507608,0.15075505,Trial Fee-Shifting,all-costs-avoidable,,
