"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","All",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","DisputeArises",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","PFiles",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","DAnswers",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Litigated",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Settles",0.7831,0,0.783059,0.499994,1,1,1,1,0.453352,0.546635,,,1,,,,,0,0,0,,10.4812,9.48126,19.9625,0.0375,1000.1,999.53,0.0375,0.14389,0.143888,0.287778,0.073442,0.0734427,0,0.0375,0,1,0.499994,0,0,0,0.499993,0,-0.396154,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Tried",0.1793,0,0.179325,0.499998,1,1,1,1,0.802899,0.1971,,,0,,,,,0,0,1,0.499997,10.425,9.425,19.85,0.15,1000.06,999.223,0.15,0.221317,0.182169,0.403486,0.193039,0.188635,0,0.15,0,0,,0,0,0,0.499997,0,1.54239,1,1,0,0,0,0,0,0.500003,0.499997
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","PWins",0.0897,0,0.089662,0.64234,1,1,1,1,0.850706,0.244907,,,0,,,,,0,0,1,1,10.9625,8.8875,19.85,0.15,1000.16,998.46,0.15,0.416538,0.0260986,0.442636,0.385102,0.000978697,0,0.15,0,0,,0,0,0,0.695962,0,1.54239,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","DWins",0.0897,0,0.0896632,0.357657,1,1,1,1,0.755092,0.149294,,,0,,,,,0,0,1,0,9.8875,9.9625,19.85,0.15,999.953,999.985,0.15,0.0260987,0.338237,0.364336,0.000978703,0.376289,0,0.15,0,0,,0,0,0,0.304034,0,1.54239,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Abandoned",0.0376,0,0.0376161,0.500001,1,1,1,1,0.600001,0.400001,,,0,,,,,0.499998,0.500002,0,,10.4813,9.48125,19.9625,0.0375,1000.08,999.374,0.0375,0.0709664,0.0625883,0.133555,0.0555425,0.0553845,0,0.0375,0,0,,0.499998,0.500002,0,0.500001,0,0.894006,1,1,0,0,0,0.499998,0.500002,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","Rounds1",1,0,1,0.499995,1,1,1,1,0.521551,0.478439,,,0.783059,,,,,0.018808,0.0188081,0.179325,0.499997,10.4712,9.47117,19.9423,0.0576741,1000.09,999.469,0.0576741,0.155031,0.147695,0.302726,0.0942155,0.0934203,0,0.0576741,0,0.783059,0.499994,0.018808,0.0188081,0,0.499994,0,7.5023E-06,1,1,0,0,0.783059,0.018808,0.0188081,0.0896632,0.089662
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","0.9943","1","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
