"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","All",1,0,1,0.500004,1,1,1,1,0.7622,0.650515,,,0.711785,,,,,0.127885,0.0726057,0.080083,0.696719,10.6217,9.21628,1000.11,999.075,0.162012,0.325593,0.106758,0.432351,0.268329,0.0517243,0,0,0.711785,0.791539,0.131706,0.0764264,0.00764151,0.500004,0,1.79226E-05,1,1,0,0,0.711785,0.127885,0.0726057,0.0242876,0.0557952
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","DisputeArises",1,0,1,0.500004,1,1,1,1,0.7622,0.650515,,,0.711785,,,,,0.127885,0.0726057,0.080083,0.696719,10.6217,9.21628,1000.11,999.075,0.162012,0.325593,0.106758,0.432351,0.268329,0.0517243,0,0,0.711785,0.791539,0.131706,0.0764264,0.00764151,0.500004,0,1.79226E-05,1,1,0,0,0.711785,0.127885,0.0726057,0.0242876,0.0557952
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","PFiles",1,0,1,0.500004,1,1,1,1,0.7622,0.650515,,,0.711785,,,,,0.127885,0.0726057,0.080083,0.696719,10.6217,9.21628,1000.11,999.075,0.162012,0.325593,0.106758,0.432351,0.268329,0.0517243,0,0,0.711785,0.791539,0.131706,0.0764264,0.00764151,0.500004,0,1.79226E-05,1,1,0,0,0.711785,0.127885,0.0726057,0.0242876,0.0557952
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","DAnswers",1,0,1,0.500004,1,1,1,1,0.7622,0.650515,,,0.711785,,,,,0.127885,0.0726057,0.080083,0.696719,10.6217,9.21628,1000.11,999.075,0.162012,0.325593,0.106758,0.432351,0.268329,0.0517243,0,0,0.711785,0.791539,0.131706,0.0764264,0.00764151,0.500004,0,1.79226E-05,1,1,0,0,0.711785,0.127885,0.0726057,0.0242876,0.0557952
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","Litigated",1,0,1,0.500004,1,1,1,1,0.7622,0.650515,,,0.711785,,,,,0.127885,0.0726057,0.080083,0.696719,10.6217,9.21628,1000.11,999.075,0.162012,0.325593,0.106758,0.432351,0.268329,0.0517243,0,0,0.711785,0.791539,0.131706,0.0764264,0.00764151,0.500004,0,1.79226E-05,1,1,0,0,0.711785,0.127885,0.0726057,0.0242876,0.0557952
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","Settles",0.7118,0,0.711785,0.52932,1,1,1,1,0.750683,0.832396,,,1,,,,,0,0,0,,10.7165,9.13346,1000.14,999.071,0.15,0.355195,0.105189,0.460385,0.293848,0.0245359,0,0,1,0.791539,0,0,0,0.536116,0,-0.52199,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","Tried",0.0801,0,0.0800827,0.622296,1,1,1,1,0.9,0.114536,,,0,,,,,0,0,1,0.696719,10.6352,9.06476,1000.05,998.104,0.3,0.41401,0.159595,0.573605,0.365272,0.219443,0,0,0,,0,0,0,0.660048,0,2.46731,1,1,0,0,0,0,0,0.303281,0.696719
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,2","1.1369999999999999E-13","1792","PWins",0.0558,0,0.0557952,0.706749,1,1,1,1,0.9,0.114108,,,0,,,,,0,0,1,1,11.075,8.625,1000.16,997.268,0.3,0.594228,0,0.594228,0.524274,0,0,0,0,,0,0,0,0.780772,0,2.71608,1,1,0,0,0,0,0,0,1
