Specification,Costs Multiplier,Number of Offers,American OptionSetName,British OptionSetName,American Exploitability,British Exploitability,Difference (British - American) Exploitability,American Calculation Time,British Calculation Time,Difference (British - American) Calculation Time,American P Files,British P Files,Difference (British - American) P Files,American D Answers,British D Answers,Difference (British - American) D Answers,American P Offer,British P Offer,Difference (British - American) P Offer,American D Offer,British D Offer,Difference (British - American) D Offer,American Trial,British Trial,Difference (British - American) Trial,American P Win Probability,British P Win Probability,Difference (British - American) P Win Probability,American P Wealth,British P Wealth,Difference (British - American) P Wealth,American D Wealth,British D Wealth,Difference (British - American) D Wealth,American Total Wealth,British Total Wealth,Difference (British - American) Total Wealth,American Wealth Loss,British Wealth Loss,Difference (British - American) Wealth Loss,American P Welfare,British P Welfare,Difference (British - American) P Welfare,American D Welfare,British D Welfare,Difference (British - American) D Welfare,American Pre-Dispute Social Welfare Loss,British Pre-Dispute Social Welfare Loss,Difference (British - American) Pre-Dispute Social Welfare Loss,American Social Welfare Loss,British Social Welfare Loss,Difference (British - American) Social Welfare Loss,American Opportunity Cost,British Opportunity Cost,Difference (British - American) Opportunity Cost,American Harm Cost,British Harm Cost,Difference (British - American) Harm Cost,American Truly Liable Harm Cost,British Truly Liable Harm Cost,Difference (British - American) Truly Liable Harm Cost,American Truly Not Liable Harm Cost,British Truly Not Liable Harm Cost,Difference (British - American) Truly Not Liable Harm Cost,American Expenditures,British Expenditures,Difference (British - American) Expenditures,American Defendant Excess Net Monetary Burden,British Defendant Excess Net Monetary Burden,Difference (British - American) Defendant Excess Net Monetary Burden,American Plaintiff Net Recovery Shortfall,British Plaintiff Net Recovery Shortfall,Difference (British - American) Plaintiff Net Recovery Shortfall,American Value If Settled,British Value If Settled,Difference (British - American) Value If Settled,American No Suit,British No Suit,Difference (British - American) No Suit,American No Answer,British No Answer,Difference (British - American) No Answer,American Settles,British Settles,Difference (British - American) Settles,American P Abandons,British P Abandons,Difference (British - American) P Abandons,American D Defaults,British D Defaults,Difference (British - American) D Defaults,American Mutual Give-Up Probability Before 50/50 Allocation,British Mutual Give-Up Probability Before 50/50 Allocation,Difference (British - American) Mutual Give-Up Probability Before 50/50 Allocation,American P Loses,British P Loses,Difference (British - American) P Loses,American P Wins,British P Wins,Difference (British - American) P Wins,American Appropriation,British Appropriation,Difference (British - American) Appropriation,American Reaches Bargaining,British Reaches Bargaining,Difference (British - American) Reaches Bargaining,American Settlement Unconditional,British Settlement Unconditional,Difference (British - American) Settlement Unconditional,American Settlement Conditional on Reaching Bargaining,British Settlement Conditional on Reaching Bargaining,Difference (British - American) Settlement Conditional on Reaching Bargaining,American Real Litigation Costs,British Real Litigation Costs,Difference (British - American) Real Litigation Costs,American Liability Transfer to Plaintiff,British Liability Transfer to Plaintiff,Difference (British - American) Liability Transfer to Plaintiff,American Fee-Shifting Transfer to Plaintiff,British Fee-Shifting Transfer to Plaintiff,Difference (British - American) Fee-Shifting Transfer to Plaintiff,American Total Net Transfer to Plaintiff,British Total Net Transfer to Plaintiff,Difference (British - American) Total Net Transfer to Plaintiff,American Meritorious-Plaintiff Net Recovery Shortfall,British Meritorious-Plaintiff Net Recovery Shortfall,Difference (British - American) Meritorious-Plaintiff Net Recovery Shortfall,American Nonliable-Defendant Net Burden,British Nonliable-Defendant Net Burden,Difference (British - American) Nonliable-Defendant Net Burden,American Liable-Defendant Excess Net Burden Above Damages,British Liable-Defendant Excess Net Burden Above Damages,Difference (British - American) Liable-Defendant Excess Net Burden Above Damages,American Net Outcome Fidelity Loss,British Net Outcome Fidelity Loss,Difference (British - American) Net Outcome Fidelity Loss
All litigation costs avoidable at bargaining,0.25,10,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,Specification-AllCostsAvoidable__Cost-0.25__Fee-British,8.8820000000000011E-16,-1.7760000000000001E-15,-0.0000000000000027,192,250,58,1,1,0,1,1,0,0.87759500000000001,0.78968300000000002,-0.087912,0.122403,0.210309,0.087906,0.83921100000000004,0.64523799999999998,-0.193973,0.49999199999999999,0.49999399999999999,0.000002,10.437099999999999,10.451599999999999,0.0145,9.4370700000000003,9.4516200000000001,0.0145499999999998,19.874099999999999,19.903199999999998,0.0290999999999997,0.12588199999999999,0.096785700000000002,-0.0290963,10.437099999999999,10.451599999999999,0.0145,9.4370700000000003,9.4516200000000001,0.0145499999999998,0,0,0,0.12588199999999999,0.096785700000000002,-0.0290963,0,0,0,0,0,0,0,0,0,0,0,0,0.12588199999999999,0.096785700000000002,-0.0290963,0.20016999999999999,0.19513800000000001,-0.005032,0.17857899999999999,0.16308400000000001,-0.015495,0.49999300000000002,0.49998900000000002,-0.000004,0,0,0,0,0,0,0.16078899999999999,0.35476200000000002,0.193973,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.32262299999999999,-0.096989,0.419599,0.32261499999999999,-0.096984,0,0,0,1,1,0,0.160789,0.354762,0.193973,0.160789,0.354762,0.193973,0.12588199999999999,0.096785700000000002,-0.0290963,0.499992374477,0.499992097618,-0.000000276859,-0,-0.0000006,-0.0000006,0.499992374477,0.499991497618,-0.000000876859,0.357163,0.326173,-0.03099,0.357154,0.326161,-0.030993,0.0431818,0.0641123,0.0209305,0.378749,0.358222,-0.020527
All litigation costs avoidable at bargaining,0.5,10,Specification-AllCostsAvoidable__Cost-0.5__Fee-American,Specification-AllCostsAvoidable__Cost-0.5__Fee-British,0,-8.8820000000000011E-16,-0.0000000000000009,281,449,168,1,1,0,1,1,0,0.69412099999999999,0.69412099999999999,0,0.210309,0.30586799999999997,0.095559,0.54156899999999997,0.44122499999999998,-0.100344,0.55996400000000002,0.49999500000000002,-0.059969,10.403499999999999,10.4338,0.0303000000000004,9.4340700000000002,9.4338300000000004,-0.0002399999999998,19.837499999999999,19.867599999999999,0.0301000000000009,0.162471,0.13236700000000001,-0.030104,10.403499999999999,10.4338,0.0303000000000004,9.4340700000000002,9.4338300000000004,-0.0002399999999998,0,0,0,0.162471,0.13236700000000001,-0.030104,0,0,0,0,0,0,0,0,0,0,0,0,0.162471,0.13236700000000001,-0.030104,0.20668700000000001,0.21257599999999999,0.005889,0.198633,0.17032600000000001,-0.028307,0.395764,0.49998999999999999,0.104226,0,0,0,0,0,0,0.45843099999999998,0.55877500000000002,0.100344,0,0,0,0,0,0,0,0,0,0.23830999999999999,0.22061500000000001,-0.017695,0.303259,0.22061,-0.082649,0,0,0,1,1,0,0.458431,0.558775,0.100344,0.458431,0.558775,0.100344,0.162471,0.13236700000000001,-0.030104,0.484689486284,0.49999191225,0.015302425966,0,-0.00000075,-0.00000075,0.484689486284,0.49999116225,0.015301675966,0.39727,0.340656,-0.056614,0.351727,0.340644,-0.011083,0.0616431,0.0845049,0.0228618,0.40532,0.382902,-0.022418
All litigation costs avoidable at bargaining,1,10,Specification-AllCostsAvoidable__Cost-1__Fee-American,Specification-AllCostsAvoidable__Cost-1__Fee-British,-8.8820000000000011E-16,-8.8820000000000011E-16,0,597,335,-262,1,1,0,1,1,0,0.75691399999999998,0.78968300000000002,0.032769,0.243066,0.210309,-0.032757,0.28797400000000001,0.25620500000000002,-0.031769,0.499996,0.49999700000000002,0.000001,10.413600000000001,10.4231,0.0094999999999992,9.4136199999999999,9.4231499999999997,0.0095299999999998,19.827200000000001,19.846299999999999,0.0190999999999981,0.17278399999999999,0.153723,-0.019061,10.413600000000001,10.4231,0.0094999999999992,9.4136199999999999,9.4231499999999997,0.0095299999999998,0,0,0,0.17278399999999999,0.153723,-0.019061,0,0,0,0,0,0,0,0,0,0,0,0,0.17278399999999999,0.153723,-0.019061,0.21352299999999999,0.21913199999999999,0.005609,0.18659400000000001,0.17166999999999999,-0.014924,0.49997599999999998,0.49998900000000002,0.000013,0,0,0,0,0,0,0.425456,0.35476200000000002,-0.070694,0.1432828,0.1945215,0.0512387,0.1432868,0.1945115,0.0512247,0.0136916,0.023823,0.0101314,0.143988,0.12810299999999999,-0.015885,0.143986,0.12810199999999999,-0.015884,0,0,0,1,1,0,0.425456,0.354762,-0.070694,0.425456,0.354762,-0.070694,0.17278399999999999,0.153723,-0.019061,0.499990589056,0.499990597618,0.000000008562,-0,-0.0000003,-0.0000003,0.499990589056,0.499990297618,-0.000000291438,0.373193,0.343344,-0.029849,0.37318,0.343329,-0.029851,0.053862,0.0949314,0.0410694,0.400117,0.390802,-0.009315
All litigation costs avoidable at bargaining,2,10,Specification-AllCostsAvoidable__Cost-2__Fee-American,Specification-AllCostsAvoidable__Cost-2__Fee-British,8.8820000000000011E-16,3.5529999999999999E-15,0.0000000000000027,784,320,-464,1,1,0,1,1,0,0.83005099999999998,0.87759500000000001,0.047544,0.122403,0.122403,0,0.14618400000000001,0.118738,-0.027446,0.54034899999999997,0.499996,-0.040353,10.395,10.428699999999999,0.0336999999999996,9.4295299999999997,9.4287700000000001,-0.0007599999999997,19.8246,19.857500000000002,0.0329000000000015,0.17542099999999999,0.142486,-0.032935,10.395,10.428699999999999,0.0336999999999996,9.4295299999999997,9.4287700000000001,-0.0007599999999997,0,0,0,0.17542099999999999,0.142486,-0.032935,0,0,0,0,0,0,0,0,0,0,0,0,0.17542099999999999,0.142486,-0.032935,0.20488100000000001,0.21365500000000001,0.008774,0.197437,0.17079800000000001,-0.026639,0.388625,0.49999300000000002,0.111368,0,0,0,0,0,0,0.213448,0.16078899999999999,-0.052659,0.3195519,0.3602435,0.0406916,0.3208159,0.3602295,0.0394136,0.0809338,0.104869,0.0239352,0.067193699999999995,0.059369499999999999,-0.0078242,0.078990500000000005,0.059368600000000001,-0.0196219,0,0,0,1,1,0,0.213448,0.160789,-0.052659,0.213448,0.160789,-0.052659,0.17542099999999999,0.142486,-0.032935,0.482757629,0.499991474477,0.017233845477,0,-0.00000054,-0.00000054,0.482757629,0.499990934477,0.017233305477,0.394879,0.341601,-0.053278,0.350335,0.341588,-0.008747,0.0594224,0.0857185,0.0262961,0.402318,0.384453,-0.017865
All litigation costs avoidable at bargaining,4,10,Specification-AllCostsAvoidable__Cost-4__Fee-American,Specification-AllCostsAvoidable__Cost-4__Fee-British,-5.3290000000000004E-15,1.7760000000000001E-15,0.0000000000000071,1501,289,-1212,1,1,0,1,1,0,0.94999999999999996,0.70601499999999995,-0.243985,0.32703700000000002,0.29395199999999999,-0.033085,0.072652999999999995,0.041005,-0.031648,0.42420999999999998,0.49998799999999999,0.075778,10.460599999999999,10.450799999999999,-0.0098000000000003,9.3650599999999997,9.4507999999999992,0.0857399999999995,19.825600000000001,19.901599999999998,0.075999999999997,0.17436599999999999,0.098412899999999998,-0.0759531,10.460599999999999,10.450799999999999,-0.0098000000000003,9.3650599999999997,9.4507999999999992,0.0857399999999995,0,0,0,0.17436599999999999,0.098412899999999998,-0.0759531,0,0,0,0,0,0,0,0,0,0,0,0,0.17436599999999999,0.098412899999999998,-0.0759531,0.24258099999999999,0.199962,-0.042619,0.16199,0.17091700000000001,0.008927,0.94999999999999996,,,0,0,0,0,0,0,0.080447599999999994,0,-0.0804476,0.4063865,0.479505,0.0731185,0.4405135,0.47949,0.0389765,0.173267,0.25620999999999999,0.082943,0.0418327,0.020503199999999999,-0.0213295,0.03082,0.020502200000000002,-0.0103178,0,0,0,1,1,0,0.0804476,0,-0.0804476,0.0804476,0,-0.0804476,0.17436599999999999,0.098412899999999998,-0.0759531,0.54775872,0.4999922,-0.04776652,-0,-0.0000012,-0.0000012,0.54775872,0.499991,-0.04776772,0.323984,0.341839,0.017855,0.437786,0.341826,-0.09596,0.0473712,0.0580953,0.0107241,0.404571,0.370879,-0.033692
All litigation costs sunk before bargaining,0.25,10,Specification-AllCostsSunk__Cost-0.25__Fee-American,Specification-AllCostsSunk__Cost-0.25__Fee-British,-4.4410000000000002E-15,-6.2170000000000006E-15,-0.0000000000000018,133,211,78,1,0.91954999999999998,-0.08045,1,0.74184600000000001,-0.258154,0.84999800000000003,0.84305799999999997,-0.0069400000000001,0.14999899999999999,0.134551,-0.015448,1,0.74184600000000001,-0.258154,0.49999199999999999,0.45111000000000001,-0.048882,10.425000000000001,10.438000000000001,0.0129999999999999,9.4250100000000003,9.4374400000000005,0.0124300000000002,19.850000000000001,19.875399999999999,0.0253999999999976,0.14999999999999999,0.12460499999999999,-0.025395,10.425000000000001,10.438000000000001,0.0129999999999999,9.4250100000000003,9.4374400000000005,0.0124300000000002,0,0,0,0.14999999999999999,0.12460499999999999,-0.025395,0,0,0,0,0,0,0,0,0,0,0,0,0.14999999999999999,0.12460499999999999,-0.025395,0.21099300000000001,0.19911000000000001,-0.011883,0.18451999999999999,0.16603299999999999,-0.018487,,,,0,0.080449999999999994,0.08045,0,0.177704,0.177704,0,0,0,0,0,0,0,0,0,0,0,0,0.50000800000000001,0.407192,-0.092816,0.49999199999999999,0.33465400000000001,-0.165338,0,0,0,1,0.741846,-0.258154,0,0,0,0,0,0,0.14999999999999999,0.12460499999999999,-0.025395,0.499992,0.512358,0.012366,-0,-0.00544035,-0.00544035,0.499992,0.50691765,0.00692565,0.369046,0.332071,-0.036975,0.369035,0.332793,-0.036242,0.0529466,0.0654229,0.0124763,0.395513,0.365143,-0.03037
All litigation costs sunk before bargaining,0.5,10,Specification-AllCostsSunk__Cost-0.5__Fee-American,Specification-AllCostsSunk__Cost-0.5__Fee-British,0,-6.2170000000000006E-15,-0.0000000000000062,160,257,97,0.82186999999999999,0.71569000000000005,-0.10618,0.64523799999999998,0.44122499999999998,-0.204013,0.85699099999999995,0.86871299999999996,0.011722,0.14300599999999999,0.13128500000000001,-0.011721,0.64523799999999998,0.44122499999999998,-0.204013,0.49999399999999999,0.49999500000000002,0.000001,10.375999999999999,10.387700000000001,0.0117000000000012,9.4039699999999993,9.4387399999999992,0.03477,19.779900000000001,19.826499999999999,0.046599999999998,0.22006600000000001,0.173537,-0.046529,10.375999999999999,10.387700000000001,0.0117000000000012,9.4039699999999993,9.4387399999999992,0.03477,0,0,0,0.22006600000000001,0.173537,-0.046529,0,0,0,0,0,0,0,0,0,0,0,0,0.22006600000000001,0.173537,-0.046529,0.22117200000000001,0.20199900000000001,-0.019173,0.211585,0.19742799999999999,-0.014157,,,,0.17813000000000001,0.28431000000000001,0.10618,0.17663200000000001,0.27446500000000001,0.097833,0,0,0,0,0,0,0,0,0,0,0,0,0.32262299999999999,0.22061500000000001,-0.102008,0.32261499999999999,0.22061,-0.102005,0,0,0,0.645238,0.441225,-0.204013,0,0,0,0,0,0,0.22006600000000001,0.173537,-0.046529,0.499247,0.495075,-0.004172,-0,-0.00000075,-0.00000075,0.499247,0.49507425,-0.00417275,0.423175,0.394861,-0.028314,0.378228,0.319489,-0.058739,0.0641123,0.0845049,0.0203926,0.432757,0.399427,-0.03333
All litigation costs sunk before bargaining,1,10,Specification-AllCostsSunk__Cost-1__Fee-American,Specification-AllCostsSunk__Cost-1__Fee-British,-8.8820000000000011E-16,2.6650000000000001E-15,0.0000000000000036,172,238,66,0.71569000000000005,0.689218,-0.0264720000000001,0.34429399999999999,0.26360899999999998,-0.080685,0.85887599999999997,0.71963900000000003,-0.139237,0.097863400000000003,0.050000000000000003,-0.0478634,0.34429399999999999,0.203462,-0.140832,0.43179600000000001,0.454872,0.023076,10.305400000000001,10.3089,0.003499999999999,9.3766499999999997,9.4052600000000002,0.0286100000000005,19.681999999999999,19.714200000000002,0.0322000000000031,0.31799500000000003,0.28584799999999999,-0.032147,10.305400000000001,10.3089,0.003499999999999,9.3766499999999997,9.4052600000000002,0.0286100000000005,0,0,0,0.31799500000000003,0.28584799999999999,-0.032147,0,0,0,0,0,0,0,0,0,0,0,0,0.31799500000000003,0.28584799999999999,-0.032147,0.23089699999999999,0.21674199999999999,-0.014155,0.259212,0.25185600000000002,-0.007356,,0.050000000000000003,,0.28431000000000001,0.310782,0.026472,0.371396,0.42560999999999999,0.054214,0,0.060147399999999997,0.0601474,0,0,0,0,0,0,0,0,0,0.195629,0.110913,-0.084716,0.14866499999999999,0.092549000000000006,-0.056116,0,0,0,0.344294,0.263609,-0.080685,0,0.0601474,0.0601474,0,0.228168992712692,0.228168992712692,0.31799500000000003,0.28584799999999999,-0.032147,0.520061,0.52116637,0.00110537,-0,-0.0055092,-0.0055092,0.520061,0.51565717,-0.00440383,0.518431,0.503718,-0.014713,0.408792,0.367778,-0.041014,0.0529965,0.0657015,0.012705,0.490109,0.468598,-0.021511
All litigation costs sunk before bargaining,2,10,Specification-AllCostsSunk__Cost-2__Fee-American,Specification-AllCostsSunk__Cost-2__Fee-British,8.8820000000000011E-16,0,-0.0000000000000009,175,175,0,0.71569000000000005,0.58819200000000005,-0.127498,0.115359,0.108319,-0.00704,0.83009999999999995,0.64142999999999994,-0.18867,0.050000000000000003,0.050000000000000003,0,0.115359,0.071180999999999994,-0.044178,0.23330100000000001,0.42231800000000003,0.189017,10.197800000000001,10.152200000000001,-0.0456000000000003,9.3035399999999999,9.4298500000000001,0.12631,19.5014,19.582100000000001,0.0807000000000002,0.49862899999999999,0.41790699999999997,-0.080722,10.197800000000001,10.152200000000001,-0.0456000000000003,9.3035399999999999,9.4298500000000001,0.12631,0,0,0,0.49862899999999999,0.41790699999999997,-0.080722,0,0,0,0,0,0,0,0,0,0,0,0,0.49862899999999999,0.41790699999999997,-0.080722,0.26652100000000001,0.19678000000000001,-0.069741,0.34710999999999997,0.36811300000000002,0.021003,,0.050000000000000003,,0.28431000000000001,0.41180800000000001,0.127498,0.60033099999999995,0.47987200000000002,-0.120459,0,0.037137799999999999,0.0371378,0,0,0,0,0,0,0,0,0,0.088445200000000002,0.041120200000000003,-0.047325,0.026913300000000001,0.0300612,0.0031479,0,0,0,0.115359,0.108319,-0.00704,0,0.0371378,0.0371378,0,0.342855824001329,0.342855824001329,0.49862899999999999,0.41790699999999997,-0.080722,0.6272443,0.51179009,-0.11545421,-0,-0.0066354,-0.0066354,0.6272443,0.50515469,-0.12208961,0.69423,0.736237,0.042007,0.518346,0.353402,-0.164944,0.0146894,0.0401542,0.0254648,0.613631,0.564893,-0.0487380000000001
All litigation costs sunk before bargaining,4,10,Specification-AllCostsSunk__Cost-4__Fee-American,Specification-AllCostsSunk__Cost-4__Fee-British,0,0,0,46,139,93,0,0,0,0,0,0,,,,,,,0,0,0,,,,10,10,0,10,10,0,20,20,0,0,0,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49999300000000002,0.49999300000000002,0,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.499993,0.499993,0
