"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","All",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DisputeArises",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PFiles",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DAnswers",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Litigated",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Settles",0.5257,0,0.525674,0.500001,1,1,1,1,0.448135,0.551866,,,1,,,,,0,0,0,,10.3875,9.3875,19.775,0.225,1000.09,999.487,0.225,0.244555,0.244556,0.489111,0.136769,0.136769,0,0.225,0,1,0.500001,0,0,0,0.500001,0,-1.39996,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Tried",0.2743,0,0.274339,0.499985,1,1,1,1,0.671739,0.328231,,,0,,,,,0,0,1,0.499982,10.35,9.35002,19.7,0.3,1000.04,999.13,0.3,0.249977,0.192618,0.442595,0.17276,0.164156,0,0.3,0,0,,0,0,0,0.499982,0,2.65474,1,1,0,0,0,0,0,0.500018,0.499982
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PWins",0.1372,0,0.137164,0.706285,1,1,1,1,0.839921,0.49641,,,0,,,,,0,0,1,1,10.85,8.85,19.7,0.3,1000.15,998.326,0.3,0.385249,0.114713,0.499962,0.328324,0.0172069,0,0.3,0,0,,0,0,0,0.764751,0,2.65473,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DWins",0.1372,0,0.137174,0.2937,1,1,1,1,0.503569,0.160065,,,0,,,,,0,0,1,0,9.85,9.85,19.7,0.3,999.935,999.935,0.3,0.114715,0.270517,0.385232,0.0172073,0.311094,0,0.3,0,0,,0,0,0,0.235232,0,2.65475,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Abandoned",0.2,0,0.199987,0.499978,1,1,1,1,0.596851,0.403111,,,0,,,,,0.500027,0.499973,0,,10.3875,9.38753,19.775,0.225,1000.05,999.207,0.225,0.140031,0.087271,0.227302,0.0502644,0.0443319,0,0.225,0,0,,0.500027,0.499973,0,0.499975,0,0.0380256,1,1,0,0,0,0.500027,0.499973,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Rounds1",1,0,1,0.499992,1,1,1,1,0.53922,0.460765,,,0.525674,,,,,0.0999989,0.0999879,0.274339,0.499982,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,0.525674,0.500001,0.0999989,0.0999879,0,0.499991,0,-1.85688E-05,1,1,0,0,0.525674,0.0999989,0.0999879,0.137174,0.137164
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
