"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","All",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DisputeArises",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PFiles",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DAnswers",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Litigated",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Settles",0.7975,0,0.797469,0.499464,1,1,1,1,0.437715,0.557856,,,1,,,,,0,0,0,,10.479,9.48346,1000.09,999.482,0.0375,0.117304,0.118684,0.235988,0.0664504,0.0692706,0,0,1,0.497786,0,0,0,0.499196,0,-0.711015,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Tried",0.2025,0,0.202531,0.502072,1,1,1,1,0.77056,0.243553,,,0,,,,,0,0,1,0.503091,10.4283,9.42168,1000.06,999.218,0.15,0.222446,0.18332,0.405766,0.194215,0.189829,0,0,0,,0,0,0,0.50312,0,2.79953,1,1,0,0,0,0,0,0.496909,0.503091
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PWins",0.1019,0,0.101892,0.640079,1,1,1,1,0.857405,0.324228,,,0,,,,,0,0,1,1,10.9625,8.8875,1000.16,998.46,0.15,0.416522,0.0260992,0.442621,0.385083,0.000978719,0,0,0,,0,0,0,0.695978,0,2.78228,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DWins",0.1006,0,0.10064,0.362349,1,1,1,1,0.682634,0.161875,,,0,,,,,0,0,1,0,9.8875,9.9625,999.953,999.985,0.15,0.0259552,0.342497,0.368452,0.000973318,0.381028,0,0,0,,0,0,0,0.307862,0,2.817,1,1,0,0,0,0,0,1,0
