"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","All",1,0,1,0.499992,0.81171,0.520293,1,1,0.572661,0.312296,,,0.213541,,,,,0.0611681,0.0748585,0.170726,0.47723,10.4227,9.4146,1000.07,999.301,0.162655,0.16738,0.148068,0.315448,0.124546,0.106409,0,0,0.213541,0.343269,0.0611681,0.0748585,0,0.499991,0,-1.85688E-05,0.81171,0.520293,0.18829,0.291417,0.213541,0.0611681,0.0748585,0.0892502,0.0814753
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","DisputeArises",1,0,1,0.499992,0.81171,0.520293,1,1,0.572661,0.312296,,,0.213541,,,,,0.0611681,0.0748585,0.170726,0.47723,10.4227,9.4146,1000.07,999.301,0.162655,0.16738,0.148068,0.315448,0.124546,0.106409,0,0,0.213541,0.343269,0.0611681,0.0748585,0,0.499991,0,-1.85688E-05,0.81171,0.520293,0.18829,0.291417,0.213541,0.0611681,0.0748585,0.0892502,0.0814753
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PFiles",0.8117,0,0.81171,0.576172,1,0.640984,1,1,0.572661,0.312296,,,0.263076,,,,,0.0753571,0.0922232,0.210328,0.47723,10.5208,9.2788,1000.09,999.139,0.200385,0.206207,0.159124,0.365331,0.153436,0.107802,0,0,0.263076,0.343269,0.0753571,0.0922232,0,0.592682,0,0.34586,1,0.640984,0,0.359016,0.263076,0.0753571,0.0922232,0.109953,0.100375
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","DAnswers",0.5203,0,0.520293,0.448373,1,1,1,1,0.572661,0.312296,,,0.410425,,,,,0.117565,0.143877,0.328133,0.47723,10.3154,9.43496,1000.05,999.325,0.24961,0.252713,0.193,0.445713,0.170385,0.161967,0,0,0.410425,0.343269,0.117565,0.143877,0,0.433533,0,1.15129,1,1,0,0,0.410425,0.117565,0.143877,0.171538,0.156595
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Litigated",0.5203,0,0.520293,0.448373,1,1,1,1,0.572661,0.312296,,,0.410425,,,,,0.117565,0.143877,0.328133,0.47723,10.3154,9.43496,1000.05,999.325,0.24961,0.252713,0.193,0.445713,0.170385,0.161967,0,0,0.410425,0.343269,0.117565,0.143877,0,0.433533,0,1.15129,1,1,0,0,0.410425,0.117565,0.143877,0.171538,0.156595
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Not Litigated",0.4797,0,0.479707,0.555979,0.607489,0,1,1,,,,,0,,,,,0,0,0,,10.5391,9.39251,1000.09,999.276,0.0683425,0.0748277,0.0993339,0.174162,0.0748277,0.046151,0,0,0,,0,0,0,0.572071,0,-1.24873,0.607489,0,0.392511,0.607489,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Settles",0.2135,0,0.213541,0.374559,1,1,1,1,0.312319,0.37422,,,1,,,,,0,0,0,,10.2308,9.54423,1000.06,999.675,0.225,0.260362,0.219322,0.479684,0.138099,0.151813,0,0,1,0.343269,0,0,0,0.338555,0,-0.597962,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Tried",0.1707,0,0.170726,0.483424,1,1,1,1,0.753369,0.224593,,,0,,,,,0,0,1,0.47723,10.3238,9.37619,1000.02,999.041,0.3,0.286546,0.209709,0.496255,0.245641,0.228783,0,0,0,,0,0,0,0.477162,0,3.06863,1,1,0,0,0,0,0,0.52277,0.47723
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PWins",0.0815,0,0.0814753,0.631123,1,1,1,1,0.829864,0.318511,,,0,,,,,0,0,1,1,10.925,8.775,1000.16,998.024,0.3,0.542047,0.0512215,0.593268,0.510343,0.00384161,0,0,0,,0,0,0,0.682953,0,3.09512,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","DWins",0.0893,0,0.0892502,0.348592,1,1,1,1,0.683538,0.138857,,,0,,,,,0,0,1,0,9.775,9.925,999.894,999.97,0.3,0.0533026,0.35439,0.407693,0.0039977,0.434128,0,0,0,,0,0,0,0.289298,0,3.04445,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Abandoned",0.136,0,0.136027,0.520256,1,1,1,1,0.754555,0.325161,,,0,,,,,0.449678,0.550322,0,,10.4378,9.33718,1000.06,999.131,0.225,0.198243,0.130706,0.328948,0.126617,0.0940477,0,0,0,,0.449678,0.550322,0,0.527876,0,1.49091,1,1,0,0,0,0.449678,0.550322,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Rounds1",0.5203,0,0.520293,0.448373,1,1,1,1,0.572661,0.312296,,,0.410425,,,,,0.117565,0.143877,0.328133,0.47723,10.3154,9.43496,1000.05,999.325,0.24961,0.252713,0.193,0.445713,0.170385,0.161967,0,0,0.410425,0.343269,0.117565,0.143877,0,0.433533,0,1.15129,1,1,0,0,0.410425,0.117565,0.143877,0.171538,0.156595
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Truly Liable",0.5,0,0.499991,0.722392,0.962189,0.451137,1,1,0.71837,0.426191,,,0.144594,,,,,0.0194031,0.12421,0.162931,0.68305,10.7039,9.12492,1000.12,998.914,0.171219,0.0390138,0.296141,0.335155,0.00720608,0.212822,0,0,0.144594,0.464681,0.0194031,0.12421,0,1,0,-4.93863E-05,0.962189,0.451137,0.0378107,0.511052,0.144594,0.0194031,0.12421,0.0516408,0.11129
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.75","2","Truly Not Liable",0.5,0,0.500009,0.277601,0.661236,0.589447,1,1,0.461146,0.22513,,,0.282486,,,,,0.102932,0.0255089,0.17852,0.28939,10.1417,9.70426,1000.02,999.688,0.154091,0.295742,0,0.295742,0.241881,0,0,0,0.282486,0.281126,0.102932,0.0255089,0,0,0,1.22476E-05,0.661236,0.589447,0.338764,0.0717894,0.282486,0.102932,0.0255089,0.126858,0.051662
