"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","All",1,0,1,0.500003,1,1,1,1,0.46708,0.49528,,,0.933145,,,,,0.00407944,0,0.062776,0.618613,10.4077,9.43288,1000.08,999.433,0.159416,0.162879,0.17209,0.334968,0.0809101,0.10121,0,0,0.933145,0.480714,0.00407944,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.933145,0.00407944,0,0.0239419,0.0388338
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","DisputeArises",1,0,1,0.500003,1,1,1,1,0.46708,0.49528,,,0.933145,,,,,0.00407944,0,0.062776,0.618613,10.4077,9.43288,1000.08,999.433,0.159416,0.162879,0.17209,0.334968,0.0809101,0.10121,0,0,0.933145,0.480714,0.00407944,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.933145,0.00407944,0,0.0239419,0.0388338
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","PFiles",1,0,1,0.500003,1,1,1,1,0.46708,0.49528,,,0.933145,,,,,0.00407944,0,0.062776,0.618613,10.4077,9.43288,1000.08,999.433,0.159416,0.162879,0.17209,0.334968,0.0809101,0.10121,0,0,0.933145,0.480714,0.00407944,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.933145,0.00407944,0,0.0239419,0.0388338
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","DAnswers",1,0,1,0.500003,1,1,1,1,0.46708,0.49528,,,0.933145,,,,,0.00407944,0,0.062776,0.618613,10.4077,9.43288,1000.08,999.433,0.159416,0.162879,0.17209,0.334968,0.0809101,0.10121,0,0,0.933145,0.480714,0.00407944,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.933145,0.00407944,0,0.0239419,0.0388338
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","Litigated",1,0,1,0.500003,1,1,1,1,0.46708,0.49528,,,0.933145,,,,,0.00407944,0,0.062776,0.618613,10.4077,9.43288,1000.08,999.433,0.159416,0.162879,0.17209,0.334968,0.0809101,0.10121,0,0,0.933145,0.480714,0.00407944,0,0,0.500004,0,-4.37299E-07,1,1,0,0,0.933145,0.00407944,0,0.0239419,0.0388338
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","Settles",0.9331,0,0.933145,0.497912,1,1,1,1,0.447946,0.513483,,,1,,,,,0,0,0,,10.4057,9.44429,1000.08,999.463,0.15,0.153678,0.168545,0.322223,0.0699045,0.0947027,0,0,1,0.480714,0,0,0,0.496157,0,-0.0865267,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","Tried",0.0628,0,0.0627757,0.549866,1,1,1,1,0.762358,0.250393,,,0,,,,,0,0,1,0.618613,10.4686,9.23139,1000.07,998.939,0.3,0.305909,0.22797,0.533879,0.249441,0.195924,0,0,0,,0,0,0,0.582242,0,1.24109,1,1,0,0,0,0,0,0.381387,0.618613
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","-1.1369999999999999E-13","692","PWins",0.0388,0,0.0388338,0.630552,1,1,1,1,0.862036,0.284408,,,0,,,,,0,0,1,1,10.85,8.85,1000.15,998.326,0.3,0.436131,0.10708,0.543211,0.39447,0.0160621,0,0,0,,0,0,0,0.713869,0,1.19489,1,1,0,0,0,0,0,0,1
