"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","All",1,0,1,0.499997,0.71569,0.71569,1,1,0.621086,0.681107,,,0.36546,0.29877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63454,0.70123,0.638652,,,,,0.0340983,0.00482474,0.035022,0.561884,10.3378,9.43697,19.7748,0.225213,1000.05,999.259,0.225213,0.20387,0.240741,0.444611,0.163934,0.195695,0,0.225213,0,0,0,0,0,0.638652,0.669323,0.0356449,0.00637128,0.00309308,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.71569,0.28431,0,0.638652,0.0340983,0.00482474,0.0153435,0.019678
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","DisputeArises",1,0,1,0.499997,0.71569,0.71569,1,1,0.621086,0.681107,,,0.36546,0.29877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63454,0.70123,0.638652,,,,,0.0340983,0.00482474,0.035022,0.561884,10.3378,9.43697,19.7748,0.225213,1000.05,999.259,0.225213,0.20387,0.240741,0.444611,0.163934,0.195695,0,0.225213,0,0,0,0,0,0.638652,0.669323,0.0356449,0.00637128,0.00309308,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.71569,0.28431,0,0.638652,0.0340983,0.00482474,0.0153435,0.019678
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","PFiles",0.7157,0,1,0.556718,1,1,1,1,0.621086,0.681107,,,0.36546,0.29877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63454,0.70123,0.892359,,,,,0.047644,0.00674138,0.048934,0.561884,10.472,9.2133,19.6853,0.31468,1000.08,998.965,0.31468,0.284857,0.251196,0.536053,0.229057,0.188254,0,0.31468,0,0,0,0,0,0.892359,0.669323,0.0498049,0.00890229,0.00432181,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.892359,0.047644,0.00674138,0.0214387,0.0274952
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","DAnswers",0.7157,0,1,0.556718,1,1,1,1,0.621086,0.681107,,,0.36546,0.29877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63454,0.70123,0.892359,,,,,0.047644,0.00674138,0.048934,0.561884,10.472,9.2133,19.6853,0.31468,1000.08,998.965,0.31468,0.284857,0.251196,0.536053,0.229057,0.188254,0,0.31468,0,0,0,0,0,0.892359,0.669323,0.0498049,0.00890229,0.00432181,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.892359,0.047644,0.00674138,0.0214387,0.0274952
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","Litigated",0.7157,0,1,0.556718,1,1,1,1,0.621086,0.681107,,,0.36546,0.29877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63454,0.70123,0.892359,,,,,0.047644,0.00674138,0.048934,0.561884,10.472,9.2133,19.6853,0.31468,1000.08,998.965,0.31468,0.284857,0.251196,0.536053,0.229057,0.188254,0,0.31468,0,0,0,0,0,0.892359,0.669323,0.0498049,0.00890229,0.00432181,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.892359,0.047644,0.00674138,0.0214387,0.0274952
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","Not Litigated",0.2843,0,1,0.357212,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.214425,0.214425,0,0.214425,0,0,0,0,0,0,0,0,,0,0,0,0.214425,0,-1.24373,0.282966,0.343569,0.373466,0,0,0,0,0,0,0,0.191294,0.209311,0.193642,0.15459,0.108727,0.0685883,0.0392648,0.0205118,0.00979447,0.00427614,0,0,1,0,0,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","Settles",0.6387,0,1,0.563937,1,1,1,1,0.58141,0.757235,,,0.409544,0.214184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590456,0.785816,1,,,,,0,0,0,,10.5193,9.18068,19.7,0.3,1000.1,998.999,0.3,0.282286,0.23385,0.516136,0.213025,0.143971,0,0.3,0,0,0,0,0,1,0.669323,0,0,0,0.627873,0,0.0954857,0,0,0,0.169263,0.16848,0.134239,0.129415,0.141522,0.138704,0.118377,0.0324745,0.0442676,0.0534912,0.0581915,0.0920966,0.137948,0.151773,0.157119,0.148577,0.124061,1,1,0,0,1,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","Tried",0.035,0,1,0.521284,1,1,1,1,0.95,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,1,0.561884,10.299,9.10099,19.4,0.6,999.901,997.533,0.6,0.548296,0.306959,0.855255,0.666841,0.491135,0,0.6,0,0,0,0,0,0,,0,0,0,0.542569,0,4.65858,0,0,0,0,0,0,0.261748,0.398725,0.223796,0.115731,0.0558873,0.118944,0.232718,0.41925,0.1732,0,0,0,0,0,1,1,0,0,0,0,0,0.438116,0.561884
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50","-3.9789999999999995E-13","1","PWins",0.0197,0,1,0.562092,1,1,1,1,0.95,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,1,1,11,8.4,19.4,0.6,1000.16,995.609,0.6,0.975816,0,0.975816,1.1868,0,0,0.6,0,0,0,0,0,0,,0,0,0,0.624184,0,4.6172,0,0,0,0,0,0,0.206217,0.386818,0.256321,0.150644,0.0318385,0.0872468,0.211393,0.45393,0.215592,0,0,0,0,0,1,1,0,0,0,0,0,0,1
