"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","POffer1Action11","DOffer1Action11","POffer1Action12","DOffer1Action12","POffer1Action13","DOffer1Action13","POffer1Action14","DOffer1Action14","POffer1Action15","DOffer1Action15","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","All",1,0,1,0.499997,0.71569,0.71569,1,1,0.651713,0.678696,,,0.33745,0.30854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66255,0.69146,0.627666,,,,,0.0391679,0.00328612,0.043576,0.563443,10.3433,9.42893,19.7722,0.22778,1000.05,999.217,0.22778,0.211366,0.234619,0.445985,0.172973,0.196701,0,0.22778,0,0,0,0,0,0.627666,0.688373,0.0401648,0.00428298,0.00199372,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.71569,0.28431,0,0.627666,0.0391679,0.00328612,0.0190234,0.0245527
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","DisputeArises",1,0,1,0.499997,0.71569,0.71569,1,1,0.651713,0.678696,,,0.33745,0.30854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66255,0.69146,0.627666,,,,,0.0391679,0.00328612,0.043576,0.563443,10.3433,9.42893,19.7722,0.22778,1000.05,999.217,0.22778,0.211366,0.234619,0.445985,0.172973,0.196701,0,0.22778,0,0,0,0,0,0.627666,0.688373,0.0401648,0.00428298,0.00199372,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.71569,0.28431,0,0.627666,0.0391679,0.00328612,0.0190234,0.0245527
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PFiles",0.7157,0,1,0.556718,1,1,1,1,0.651713,0.678696,,,0.33745,0.30854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66255,0.69146,0.877008,,,,,0.0547275,0.00459154,0.060887,0.563443,10.4797,9.20207,19.6817,0.318266,1000.07,998.906,0.318266,0.295331,0.242642,0.537973,0.241688,0.18966,0,0.318266,0,0,0,0,0,0.877008,0.688373,0.0561204,0.0059844,0.00278573,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.877008,0.0547275,0.00459154,0.0265806,0.0343063
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","DAnswers",0.7157,0,1,0.556718,1,1,1,1,0.651713,0.678696,,,0.33745,0.30854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66255,0.69146,0.877008,,,,,0.0547275,0.00459154,0.060887,0.563443,10.4797,9.20207,19.6817,0.318266,1000.07,998.906,0.318266,0.295331,0.242642,0.537973,0.241688,0.18966,0,0.318266,0,0,0,0,0,0.877008,0.688373,0.0561204,0.0059844,0.00278573,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.877008,0.0547275,0.00459154,0.0265806,0.0343063
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Litigated",0.7157,0,1,0.556718,1,1,1,1,0.651713,0.678696,,,0.33745,0.30854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66255,0.69146,0.877008,,,,,0.0547275,0.00459154,0.060887,0.563443,10.4797,9.20207,19.6817,0.318266,1000.07,998.906,0.318266,0.295331,0.242642,0.537973,0.241688,0.18966,0,0.318266,0,0,0,0,0,0.877008,0.688373,0.0561204,0.0059844,0.00278573,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,1,0,0,0.877008,0.0547275,0.00459154,0.0265806,0.0343063
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Not Litigated",0.2843,0,1,0.357212,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.214425,0.214425,0,0.214425,0,0,0,0,0,0,0,0,,0,0,0,0.214425,0,-1.24373,0.282966,0.343569,0.373466,0,0,0,0,0,0,0,0.191294,0.209311,0.193642,0.15459,0.108727,0.0685883,0.0392648,0.0205118,0.00979447,0.00427614,0,0,1,0,0,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Settles",0.6277,0,1,0.565344,1,1,1,1,0.607544,0.769202,,,0.384774,0.21157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615226,0.78843,1,,,,,0,0,0,,10.5384,9.16163,19.7,0.3,1000.1,998.94,0.3,0.293925,0.22051,0.514435,0.224426,0.136889,0,0.3,0,0,0,0,0,1,0.688373,0,0,0,0.630689,0,0.05078,0,0,0,0.172225,0.171429,0.123683,0.129915,0.142656,0.14021,0.119882,0.0318826,0.0431587,0.0516836,0.0556042,0.0855991,0.140363,0.15443,0.159869,0.151177,0.126232,1,1,0,0,1,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Tried",0.0436,0,1,0.521902,1,1,1,1,0.966667,0.0333333,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,1,0.563443,10.3015,9.09849,19.4,0.6,999.902,997.526,0.6,0.548593,0.30542,0.854014,0.665999,0.488673,0,0.6,0,0,0,0,0,0,,0,0,0,0.543804,0,4.42367,0,0,0,0,0,0,0.332583,0.355576,0.20398,0.107861,0.0526505,0.109983,0.211191,0.37362,0.252555,0,0,0,0,0,1,1,0,0,0,0,0,0.436557,0.563443
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PWins",0.0246,0,1,0.563178,1,1,1,1,0.966667,0.0333333,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,1,1,11,8.4,19.4,0.6,1000.16,995.609,0.6,0.973644,0,0.973644,1.18202,0,0,0.6,0,0,0,0,0,0,,0,0,0,0.626356,0,4.37459,0,0,0,0,0,0,0.268251,0.352045,0.237531,0.142173,0.0289507,0.0782479,0.18703,0.396353,0.309418,0,0,0,0,0,1,1,0,0,0,0,0,0,1
