"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","All",1,0,1,0.499995,1,1,1,1,0.62612,0.619288,,,0.870618,,,,,0.00297532,0.0912459,0.029084,0.248945,10.6014,9.31701,1000.11,999.311,0.0815439,0.26234,0.112973,0.375313,0.179095,0.0513854,0,0,0.870618,0.626078,0.00601363,0.0942842,0.00607662,0.499994,0,7.5023E-06,1,1,0,0,0.870618,0.00297532,0.0912459,0.0218438,0.0072404
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","DisputeArises",1,0,1,0.499995,1,1,1,1,0.62612,0.619288,,,0.870618,,,,,0.00297532,0.0912459,0.029084,0.248945,10.6014,9.31701,1000.11,999.311,0.0815439,0.26234,0.112973,0.375313,0.179095,0.0513854,0,0,0.870618,0.626078,0.00601363,0.0942842,0.00607662,0.499994,0,7.5023E-06,1,1,0,0,0.870618,0.00297532,0.0912459,0.0218438,0.0072404
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","PFiles",1,0,1,0.499995,1,1,1,1,0.62612,0.619288,,,0.870618,,,,,0.00297532,0.0912459,0.029084,0.248945,10.6014,9.31701,1000.11,999.311,0.0815439,0.26234,0.112973,0.375313,0.179095,0.0513854,0,0,0.870618,0.626078,0.00601363,0.0942842,0.00607662,0.499994,0,7.5023E-06,1,1,0,0,0.870618,0.00297532,0.0912459,0.0218438,0.0072404
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","DAnswers",1,0,1,0.499995,1,1,1,1,0.62612,0.619288,,,0.870618,,,,,0.00297532,0.0912459,0.029084,0.248945,10.6014,9.31701,1000.11,999.311,0.0815439,0.26234,0.112973,0.375313,0.179095,0.0513854,0,0,0.870618,0.626078,0.00601363,0.0942842,0.00607662,0.499994,0,7.5023E-06,1,1,0,0,0.870618,0.00297532,0.0912459,0.0218438,0.0072404
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","Litigated",1,0,1,0.499995,1,1,1,1,0.62612,0.619288,,,0.870618,,,,,0.00297532,0.0912459,0.029084,0.248945,10.6014,9.31701,1000.11,999.311,0.0815439,0.26234,0.112973,0.375313,0.179095,0.0513854,0,0,0.870618,0.626078,0.00601363,0.0942842,0.00607662,0.499994,0,7.5023E-06,1,1,0,0,0.870618,0.00297532,0.0912459,0.0218438,0.0072404
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","Settles",0.8706,0,0.870618,0.505554,1,1,1,1,0.585419,0.666738,,,1,,,,,0,0,0,,10.5886,9.33642,1000.12,999.375,0.075,0.236875,0.119026,0.355901,0.139446,0.0472591,0,0,1,0.626078,0,0,0,0.507655,0,-0.230451,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","Tried",0.0291,0,0.0290842,0.315766,1,1,1,1,0.9,0.3,,,0,,,,,0,0,1,0.248945,9.94831,9.75169,999.837,999.239,0.3,0.247211,0.198664,0.445875,0.307263,0.288063,0,0,0,,0,0,0,0.25077,0,2.30467,1,1,0,0,0,0,0,0.751055,0.248945
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 0.25","1.1369999999999999E-13","1209","PWins",0.0072,0,0.00724037,0.472259,1,1,1,1,0.9,0.3,,,0,,,,,0,0,1,1,11.15,8.55,1000.17,996.796,0.3,0.993031,0,0.993031,1.23426,0,0,0,0,,0,0,0,0.456969,0,2.4714,1,1,0,0,0,0,0,0,1
