Only changed decisions reached in both actual endpoint equilibria are displayed. Newly/no-longer reached histories are recorded in JSON, never assigned a fictitious endpoint strategy. Adjacent signal rows are combined only when their endpoint policies, allocations, flags, and intermediate reach patterns agree within 1e-6. Direct changes the fee rule or risk preferences first, holding the opponent's original strategy. Entry, offers, and exit then average marginal replacements across all six orders using all eight subsets. Each hybrid reoptimizes the entire focal-player strategy; this is not the fixed-current-strategy misalignment measure and not an observed adjustment process. Primary tie selection preserves original probability on optimal actions. Low/high tie alternatives and unvisited-opponent completion stresses identify sensitivity, not exhaustive bounds. When the all-target-opponent selected best response does not reproduce the actual target action or mix, the residual is retained in JSON and the publication row is marked Selection-dependent. No arbitrary residual is forced into the four categories. Defined, reconciled rows add exactly before display rounding. Intermediate histories with positive opponent-and-chance reach have conditional continuation policies even if the response would not reach them; they carry a double dagger. Probability contributions use percentage points. Only wholly pure offer comparisons use monetary grid values; mixed comparisons use separate action probabilities. This direct-first, tie-convention-conditional accounting is a selected-equilibrium diagnostic, not uniquely identified causal shares.

Fee shifting: American to British; Both players remain moderately risk averse; costs 4
P File (%); signal 0.45: 0 -> 79.7199; direct=0, entry=16.6667, offers=-33.3333, exit=16.6667; selection residual=79.7199; tie-sensitive=True, completion-sensitive=True, undefined=False.
P File (%); signal 0.55: 0 -> 100; direct=0, entry=0, offers=50, exit=50; selection residual=0; tie-sensitive=False, completion-sensitive=True, undefined=False.
P File (%); signal 0.65: 0 -> 100; direct=0, entry=33.3333, offers=33.3333, exit=33.3333; selection residual=0; tie-sensitive=False, completion-sensitive=True, undefined=False.
P Commit to abandon (%); signal 0.75: 27.9097 -> 100; direct=72.0903, entry=-24.0301, offers=12.015, exit=12.015; selection residual=0; tie-sensitive=True, completion-sensitive=True, undefined=False.
P Commit to abandon (%); signal 0.95: 63.7856 -> 6.79183; direct=36.2144, entry=-24.143, offers=-6.03574, exit=-6.03574; selection residual=-56.9937; tie-sensitive=True, completion-sensitive=True, undefined=False.
P Demand / continue; signal 0.95: 0.65 -> 0.45; direct=-0.6, entry=0.35, offers=-0.1, exit=0.35; selection residual=-0.2; tie-sensitive=True, completion-sensitive=True, undefined=False.
D Answer (%); signal 0.35: 100 -> 86.8145; direct=0, entry=0, offers=0, exit=0; selection residual=-13.1855; tie-sensitive=True, completion-sensitive=True, undefined=False.
D Answer (%); signal 0.45: 52.3133 -> 0; direct=-52.3133, entry=0, offers=0, exit=0; selection residual=0; tie-sensitive=False, completion-sensitive=True, undefined=False.
D Commit to default (%); signal 0.05: 0 -> 46.2869; direct=100, entry=-16.6667, offers=-16.6667, exit=-66.6667; selection residual=46.2869; tie-sensitive=True, completion-sensitive=True, undefined=False.
D Commit to default (%); signal 0.15-0.25: 0 -> 100; direct=100, entry=16.6667, offers=16.6667, exit=-33.3333; selection residual=0; tie-sensitive=True, completion-sensitive=True, undefined=False.
D Commit to default (%); signal 0.35: 17.1926 -> 100; direct=82.8074, entry=10.9358, offers=19.5321, exit=-30.4679; selection residual=0; tie-sensitive=True, completion-sensitive=True, undefined=False.
D Offer / continue; signal 0.05: 0.05 -> 0.25; direct=0.6, entry=-0.133333, offers=0.0666667, exit=-0.533333; selection residual=0.2; tie-sensitive=True, completion-sensitive=True, undefined=False.
Histories omitted because reach changes:
  P P Abandons, signal 0.45, exit : newly reached; no comparable original action
  P P Abandons, signal 0.55, exit : newly reached; no comparable original action
  P P Abandons, signal 0.65, exit : newly reached; no comparable original action
  P P Offer, signal 0.45, exit 1: newly reached; no comparable original action
  P P Offer, signal 0.55, exit 1: newly reached; no comparable original action
  P P Offer, signal 0.65, exit 1: newly reached; no comparable original action
  P P Offer, signal 0.75, exit 2: no longer reached; no comparable target action
  D D Defaults, signal 0.45, exit : no longer reached; no comparable target action
  D D Offer, signal 0.05, exit 1: newly reached; no comparable original action
  D D Offer, signal 0.15, exit 1: newly reached; no comparable original action
  D D Offer, signal 0.15, exit 2: no longer reached; no comparable target action
  D D Offer, signal 0.25, exit 1: newly reached; no comparable original action
  D D Offer, signal 0.25, exit 2: no longer reached; no comparable target action
  D D Offer, signal 0.35, exit 2: no longer reached; no comparable target action
  D D Offer, signal 0.45, exit 1: no longer reached; no comparable target action

