"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","All",1,0,1,0.499999,1,1,1,1,0.49919,0.500937,,,0.664554,,,,,0.0398778,0,0.295568,0.50073,10.3754,9.43024,1000.05,999.262,0.194335,0.321932,0.313472,0.635404,0.267647,0.283706,0,0,0.664554,0.488238,0.0398778,0,0,0.499999,0,-5.093E-05,1,1,0,0,0.664554,0.0398778,0,0.147568,0.148
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","DisputeArises",1,0,1,0.499999,1,1,1,1,0.49919,0.500937,,,0.664554,,,,,0.0398778,0,0.295568,0.50073,10.3754,9.43024,1000.05,999.262,0.194335,0.321932,0.313472,0.635404,0.267647,0.283706,0,0,0.664554,0.488238,0.0398778,0,0,0.499999,0,-5.093E-05,1,1,0,0,0.664554,0.0398778,0,0.147568,0.148
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","PFiles",1,0,1,0.499999,1,1,1,1,0.49919,0.500937,,,0.664554,,,,,0.0398778,0,0.295568,0.50073,10.3754,9.43024,1000.05,999.262,0.194335,0.321932,0.313472,0.635404,0.267647,0.283706,0,0,0.664554,0.488238,0.0398778,0,0,0.499999,0,-5.093E-05,1,1,0,0,0.664554,0.0398778,0,0.147568,0.148
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","DAnswers",1,0,1,0.499999,1,1,1,1,0.49919,0.500937,,,0.664554,,,,,0.0398778,0,0.295568,0.50073,10.3754,9.43024,1000.05,999.262,0.194335,0.321932,0.313472,0.635404,0.267647,0.283706,0,0,0.664554,0.488238,0.0398778,0,0,0.499999,0,-5.093E-05,1,1,0,0,0.664554,0.0398778,0,0.147568,0.148
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","Litigated",1,0,1,0.499999,1,1,1,1,0.49919,0.500937,,,0.664554,,,,,0.0398778,0,0.295568,0.50073,10.3754,9.43024,1000.05,999.262,0.194335,0.321932,0.313472,0.635404,0.267647,0.283706,0,0,0.664554,0.488238,0.0398778,0,0,0.499999,0,-5.093E-05,1,1,0,0,0.664554,0.0398778,0,0.147568,0.148
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","Settles",0.6646,0,0.664554,0.500661,1,1,1,1,0.420285,0.556191,,,1,,,,,0,0,0,,10.4132,9.43676,1000.1,999.594,0.15,0.280514,0.293217,0.573731,0.165128,0.179008,0,0,1,0.488238,0,0,0,0.500818,0,0.024127,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","Tried",0.2956,0,0.295568,0.50389,1,1,1,1,0.646295,0.387744,,,0,,,,,0,0,1,0.50073,10.3512,9.34883,999.948,998.42,0.3,0.452931,0.335945,0.788876,0.533842,0.48712,0,0,0,,0,0,0,0.504814,0,0.14206,1,1,0,0,0,0,0,0.49927,0.50073
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 4,4","1.1369999999999999E-13","479","PWins",0.148,0,0.148,0.536725,1,1,1,1,0.645939,0.387562,,,0,,,,,0,0,1,1,11.15,8.55,1000.17,996.796,0.3,0.90454,0,0.90454,1.06613,0,0,0,0,,0,0,0,0.54546,0,0.141348,1,1,0,0,0,0,0,0,1
