"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","All",1,0,1,0.500003,0.587449,0.134513,1,1,0.456783,0.307442,,,0.0632749,,,,,0.0209315,0.0257879,0.014317,0.486374,10.3293,9.4455,1000.06,999.319,0.225178,0.122372,0.217766,0.340138,0.111844,0.138089,0,0,0.0632749,0.301221,0.0260323,0.0308887,0.0102016,0.500004,0,-4.37299E-07,0.587449,0.134513,0.412551,0.452936,0.0632749,0.0209315,0.0257879,0.00735338,0.0069632
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","DisputeArises",1,0,1,0.500003,0.587449,0.134513,1,1,0.456783,0.307442,,,0.0632749,,,,,0.0209315,0.0257879,0.014317,0.486374,10.3293,9.4455,1000.06,999.319,0.225178,0.122372,0.217766,0.340138,0.111844,0.138089,0,0,0.0632749,0.301221,0.0260323,0.0308887,0.0102016,0.500004,0,-4.37299E-07,0.587449,0.134513,0.412551,0.452936,0.0632749,0.0209315,0.0257879,0.00735338,0.0069632
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PFiles",0.5874,0,0.587449,0.708104,1,0.228977,1,1,0.456783,0.307442,,,0.107711,,,,,0.0356312,0.0438982,0.024371,0.486374,10.5606,9.05609,1000.1,998.841,0.383316,0.208311,0.286217,0.494528,0.190389,0.150585,0,0,0.107711,0.301221,0.0443141,0.0525811,0.0173659,0.766664,0,0.0993132,1,0.228977,0,0.771023,0.107711,0.0356312,0.0438982,0.0125175,0.0118533
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","DAnswers",0.1345,0,0.134513,0.489267,1,1,1,1,0.456783,0.307442,,,0.470402,,,,,0.15561,0.191714,0.106433,0.486374,10.0912,9.24497,999.978,998.95,0.66386,0.408853,0.390073,0.798927,0.330584,0.399671,0,0,0.470402,0.301221,0.193531,0.229635,0.0758409,0.481858,0,0.668507,1,1,0,0,0.470402,0.15561,0.191714,0.0546669,0.0517663
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Litigated",0.1345,0,0.134513,0.489267,1,1,1,1,0.456783,0.307442,,,0.470402,,,,,0.15561,0.191714,0.106433,0.486374,10.0912,9.24497,999.978,998.95,0.66386,0.408853,0.390073,0.798927,0.330584,0.399671,0,0,0.470402,0.301221,0.193531,0.229635,0.0758409,0.481858,0,0.668507,1,1,0,0,0.470402,0.15561,0.191714,0.0546669,0.0517663
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Not Litigated",0.8655,0,0.865487,0.501672,0.523331,0,1,1,,,,,0,,,,,0,0,0,,10.3663,9.47667,1000.07,999.376,0.156999,0.0778476,0.190986,0.268834,0.0778476,0.0974345,0,0,0,,0,0,0,0.502824,0,-0.103899,0.523331,0,0.476669,0.523331,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Settles",0.0633,0,0.0632749,0.471763,1,1,1,1,0.219089,0.383353,,,1,,,,,0,0,0,,10.0012,9.39878,999.986,999.501,0.6,0.31711,0.436501,0.753611,0.199523,0.442171,0,0,1,0.301221,0,0,0,0.453435,0,0.386136,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Tried",0.0143,0,0.0143166,0.495684,1,1,1,1,0.76538,0.216129,,,0,,,,,0,0,1,0.486374,9.88637,8.91363,999.828,997.642,1.2,0.668935,0.479729,1.14866,0.689153,0.583665,0,0,0,,0,0,0,0.491396,0,1.3458,1,1,0,0,0,0,0,0.513626,0.486374
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PWins",0.007,0,0.00696321,0.581356,1,1,1,1,0.810867,0.274323,,,0,,,,,0,0,1,1,10.4,8.4,1000.1,995.609,1.2,0.969818,0.378109,1.34793,1.1736,0.226865,0,0,0,,0,0,0,0.630182,0,1.32661,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","DWins",0.0074,0,0.00735338,0.414557,1,1,1,1,0.722307,0.161023,,,0,,,,,0,0,1,0,9.4,9.4,999.567,999.567,1.2,0.384016,0.575958,0.959973,0.23041,0.921532,0,0,0,,0,0,0,0.359973,0,1.36399,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Abandoned",0.0569,0,0.056921,0.507111,1,1,1,1,0.643393,0.246023,,,0,,,,,0.367729,0.453048,0,,10.2427,9.15734,1000.01,998.668,0.6,0.445423,0.315914,0.761336,0.386089,0.306151,0,0,0,,0.457341,0.542659,0.179223,0.511055,0,0.812047,1,1,0,0,0,0.367729,0.453048,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Rounds1",0.1243,0,0.124311,0.488176,1,1,1,1,0.448856,0.311839,,,0.509005,,,,,0.16838,0.207447,0.115168,0.486374,10.0822,9.24867,999.976,998.966,0.669101,0.40365,0.388982,0.792632,0.319641,0.395643,0,0,0.509005,0.301221,0.16838,0.207447,0,0.480023,0,0.721936,1,1,0,0,0.509005,0.16838,0.207447,0.0591531,0.0560144
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Truly Liable",0.5,0,0.500004,0.716729,0.900745,0.129631,1,1,0.509006,0.342961,,,0.0573817,,,,,0.0133665,0.034525,0.01407,0.623741,10.5645,9.11797,1000.11,998.913,0.317555,0.0177845,0.435528,0.453312,0.00683797,0.276176,0,0,0.0573817,0.337348,0.0185103,0.0396688,0.0102876,1,0,4.7906E-06,0.900745,0.129631,0.099255,0.771114,0.0573817,0.0133665,0.034525,0.005294,0.0087761
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Truly Not Liable",0.5,0,0.499996,0.283274,0.274148,0.139394,1,1,0.408216,0.27441,,,0.0691682,,,,,0.0284967,0.0170508,0.014563,0.353654,10.0942,9.77304,1000.01,999.725,0.1328,0.226961,0,0.226961,0.216851,0,0,0,0.0691682,0.27125,0.0335544,0.0221085,0.0101155,0,0,-5.66528E-06,0.274148,0.139394,0.725852,0.134753,0.0691682,0.0284967,0.0170508,0.00941279,0.0051503
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","AllCount",5080,0,5080,0.500003,2984.24,683.324,5080,5080,0.456783,0.307442,,,321.437,,,,,106.332,131.003,72.7282,671.196,10.3293,9.4455,1000.06,999.319,0.225178,0.122372,0.217766,0.340138,0.111844,0.138089,0,0,321.437,0.301221,132.244,156.915,51.8239,2540.02,0,-4.37299E-07,2984.24,683.324,2095.76,2300.92,321.437,106.332,131.003,37.3551,35.3731
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","1.1369999999999999E-13","1485","Liability Strength1",0.2261,0,0.22611,0.1,0.0016045,0.00160354,1,1,0.326843,0.104392,,,0.000674822,,,,,0.000738636,1.14034E-07,0.00019,3.76612E-5,9.99953,9.99939,1000,1000,0.0010762,0.0005854,0.0399844,0.0405698,0.000237316,0.0400095,0,0,0.00067482,0.104688,0.000738782,2.60622E-07,2.93176E-07,0.0399657,0,-2.94015E-06,0.00160446,0.00160354,0.998396,9.20151E-07,0.000674822,0.000738636,1.14034E-07,0.00018967,7.1434E-9
