OptionSetName,Requested Priors,Attempted Solves,Inexact Attempts,Exact Attempts,Verified Recoveries,Distinct Reported Strategy Profiles,Equilibrium Number,Recovery Count,Recovery Share of Verified Recoveries,Verification Status,Distinctness Criterion
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,1,7,0.14000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,2,5,0.10000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,3,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,4,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,5,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,6,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,7,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,8,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,9,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,10,6,0.12,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,11,7,0.14000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,12,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,13,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,14,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,15,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,16,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,17,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,18,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,19,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,20,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-American__Starts-50",50,99,49,50,50,21,21,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
