"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","All",1,0,1,0.499997,0.998009,0.917564,1,1,0.512977,0.386719,,,0,0.166126,0,0,0.535146,0.493985,0,0,0,0,0,0,0,0,0.312103,0.339889,0,0,0.152751,0,0.498372,,,,,0,0,0.419192,0.498307,10.3523,9.36035,19.7127,0.287336,1000.07,999.307,0.287336,0.262597,0.240228,0.502825,0.174784,0.181668,0,0.287336,0,0,0,0,0,0.498372,0.426761,0,0,0,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.998009,0.917564,0.00199116,0.0804449,0.498372,0,0,0.210306,0.208886
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","DisputeArises",1,0,1,0.499997,0.998009,0.917564,1,1,0.512977,0.386719,,,0,0.166126,0,0,0.535146,0.493985,0,0,0,0,0,0,0,0,0.312103,0.339889,0,0,0.152751,0,0.498372,,,,,0,0,0.419192,0.498307,10.3523,9.36035,19.7127,0.287336,1000.07,999.307,0.287336,0.262597,0.240228,0.502825,0.174784,0.181668,0,0.287336,0,0,0,0,0,0.498372,0.426761,0,0,0,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.998009,0.917564,0.00199116,0.0804449,0.498372,0,0,0.210306,0.208886
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","PFiles",0.998,0,1,0.500339,1,0.919395,1,1,0.512977,0.386719,,,0,0.166126,0,0,0.535146,0.493985,0,0,0,0,0,0,0,0,0.312103,0.339889,0,0,0.152751,0,0.499366,,,,,0,0,0.420028,0.498307,10.353,9.35907,19.7121,0.287909,1000.07,999.305,0.287909,0.263121,0.240394,0.503514,0.175132,0.181717,0,0.287909,0,0,0,0,0,0.499366,0.426761,0,0,0,0.500677,0,0.00383194,0.0786154,0.0978749,0.106392,0.108316,0.107815,0.107815,0.108316,0.106392,0.0978749,0.0805905,0.0801474,0.0973956,0.105985,0.108019,0.107637,0.107719,0.108263,0.106368,0.0978608,0.0806054,1,0.919395,0,0.0806054,0.499366,0,0,0.210725,0.209303
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","DAnswers",0.9176,0,1,0.485345,1,1,1,1,0.512977,0.386719,,,0,0.166126,0,0,0.535146,0.493985,0,0,0,0,0,0,0,0,0.312103,0.339889,0,0,0.152751,0,0.543147,,,,,0,0,0.456853,0.498307,10.3094,9.39055,19.7,0.3,1000.06,999.349,0.3,0.2724,0.250387,0.522787,0.176697,0.195986,0,0.3,0,0,0,0,0,0.543147,0.426761,0,0,0,0.47069,0,0.174578,0.0853923,0.106119,0.114849,0.11578,0.113006,0.109343,0.104948,0.0978119,0.0854702,0.0672804,0.0871741,0.105935,0.115276,0.117489,0.117073,0.117163,0.117755,0.115694,0.10644,0,1,1,0,0,0.543147,0,0,0.2292,0.227653
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","Litigated",0.9176,0,1,0.485345,1,1,1,1,0.512977,0.386719,,,0,0.166126,0,0,0.535146,0.493985,0,0,0,0,0,0,0,0,0.312103,0.339889,0,0,0.152751,0,0.543147,,,,,0,0,0.456853,0.498307,10.3094,9.39055,19.7,0.3,1000.06,999.349,0.3,0.2724,0.250387,0.522787,0.176697,0.195986,0,0.3,0,0,0,0,0,0.543147,0.426761,0,0,0,0.47069,0,0.174578,0.0853923,0.106119,0.114849,0.11578,0.113006,0.109343,0.104948,0.0978119,0.0854702,0.0672804,0.0871741,0.105935,0.115276,0.117489,0.117073,0.117163,0.117755,0.115694,0.10644,0,1,1,0,0,0.543147,0,0,0.2292,0.227653
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","Not Litigated",0.0824,0,1,0.663078,0.975846,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10.8295,9.02415,19.8536,0.146377,1000.15,998.837,0.146377,0.153489,0.127153,0.280642,0.153489,0.0223023,0,0.146377,0,0,0,0,0,0,,0,0,0,0.826156,0,-1.94372,0.0254389,0.00374434,0.00968597,0.0226203,0.0474329,0.088196,0.143183,0.199322,0.233583,0.226793,0.00561436,0.00578127,0.00493322,0.00354412,0.00218256,0.00117364,0.000560132,0.000239608,9.25099E-05,0.975879,0.975846,0,0.024154,0.975846,0,0,0,0,0
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","Settles",0.4984,0,1,0.475452,1,1,1,1,0.393859,0.459663,,,0,0,0,0,0.712282,0.580673,0,0,0,0,0,0,0,0,0.287718,0.419327,0,0,0,0,1,,,,,0,0,0,,10.2768,9.42324,19.7,0.3,1000.07,999.531,0.3,0.273792,0.283206,0.556998,0.154454,0.201418,0,0.3,0,0,0,0,0,1,0.426761,0,0,0,0.450904,0,-1.28375,0.0925413,0.125351,0.149674,0.166814,0.177901,0.0777057,0.0984212,0.111591,0,0,0,0.0432371,0.170295,0.151787,0.123074,0.0922798,0.16271,0.141393,0.115224,0,1,1,0,0,1,0,0,0,0
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","Tried",0.4192,0,1,0.497107,1,1,1,1,0.654595,0.299997,,,0,0.363632,0,0,0.324552,0.390921,0,0,0,0,0,0,0,0,0.341094,0.245447,0,0,0.334354,0,0,,,,,0,0,1,0.498307,10.3483,9.35169,19.7,0.3,1000.04,999.133,0.3,0.270744,0.211369,0.482113,0.203141,0.189528,0,0.3,0,0,0,0,0,0,,0,0,0,0.494213,0,1.90836,0.076893,0.0832547,0.0734462,0.0551058,0.0358523,0.146957,0.112708,0.0814299,0.187085,0.147269,0.190814,0.180475,0.0498652,0.0767139,0.109939,0.146746,0.0643083,0.0851412,0.0959975,0,1,1,0,0,0,0,0,0.501693,0.498307
"Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-American","0","5638","PWins",0.2089,0,1,0.60819,1,1,1,1,0.839217,0.458892,,,0,0.0782271,0,0,0.0561712,0.472698,0,0,0,0,0,0,0,0,0.357314,0.449075,0,0,0.586515,0,0,,,,,0,0,1,1,10.85,8.85,19.7,0.3,1000.15,998.326,0.3,0.43362,0.107457,0.541077,0.391207,0.0161185,0,0.3,0,0,0,0,0,0,,0,0,0,0.71638,0,2.02342,0.00778039,0.0108545,0.0127664,0.013073,0.011697,0.127737,0.123243,0.106334,0.320372,0.266142,0.0333602,0.0497264,0.0412346,0.0793945,0.136671,0.210539,0.113452,0.155739,0.179884,0,1,1,0,0,0,0,0,0,1
