"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-LowNoise__Cost-2__Fee-British","0","3","All",1,0,1,0.500004,0.60011,0.12007,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.0699643,,,,,0,0.00204637,0.048059,0.506873,10.3159,9.43922,19.7551,0.24489,10.3159,9.43922,0.24489,0.175174,0.253164,0.428338,0.198044,0.214407,0,0.24489,0,0,0,0,0,0.0699643,0.05,0,0.00204637,0,0.500009,0,8.0726E-06,0.08896,0.10632,0.1038,0.10081,0.1001,0.1001,0.10081,0.1038,0.10632,0.08898,0.0889617,0.106318,0.103797,0.100811,0.100102,0.100102,0.100812,0.1038,0.106325,0.0889724,0.60011,0.12007,0.39989,0.48004,0.0699643,0,0.00204637,0.0236993,0.0243599
"Specification-LowNoise__Cost-2__Fee-British","0","3","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","DisputeArises",1,0,1,0.500004,0.60011,0.12007,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.0699643,,,,,0,0.00204637,0.048059,0.506873,10.3159,9.43922,19.7551,0.24489,10.3159,9.43922,0.24489,0.175174,0.253164,0.428338,0.198044,0.214407,0,0.24489,0,0,0,0,0,0.0699643,0.05,0,0.00204637,0,0.500009,0,8.0726E-06,0.08896,0.10632,0.1038,0.10081,0.1001,0.1001,0.10081,0.1038,0.10632,0.08898,0.0889617,0.106318,0.103797,0.100811,0.100102,0.100102,0.100812,0.1038,0.106325,0.0889724,0.60011,0.12007,0.39989,0.48004,0.0699643,0,0.00204637,0.0236993,0.0243599
"Specification-LowNoise__Cost-2__Fee-British","0","3","PFiles",0.6001,0,1,0.595795,1,0.20008,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.116586,,,,,0,0.00340999,0.080084,0.506873,10.5264,9.06554,19.5919,0.408074,10.5264,9.06554,0.408074,0.291904,0.280257,0.572161,0.330013,0.215674,0,0.408074,0,0,0,0,0,0.116586,0.05,0,0.00340999,0,0.69159,0,0.180525,0,0,0,0,0.166803,0.166803,0.167986,0.172968,0.177168,0.148273,0.00133282,0.00704043,0.0249922,0.060798,0.105916,0.141902,0.161052,0.171693,0.177026,0.148247,1,0.20008,0,0.79992,0.116586,0,0.00340999,0.0394916,0.0405925
"Specification-LowNoise__Cost-2__Fee-British","0","3","DAnswers",0.1201,0,1,0.474902,1,1,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.582696,,,,,0,0.0170432,0.400261,0.506873,9.83228,9.32756,19.1598,0.840156,9.83228,9.32756,0.840156,0.467695,0.498699,0.966393,0.658164,0.80733,0,0.840156,0,0,0,0,0,0.582696,0.05,0,0.0170432,0,0.449804,0,1.37199,0,0,0,0,0.530004,0.303685,0.124445,0.0347095,0.0063932,0.0007633,0.00666147,0.0351881,0.124911,0.303869,0.52937,0,0,0,0,0,1,1,0,0,0.582696,0,0.0170432,0.197379,0.202881
"Specification-LowNoise__Cost-2__Fee-British","0","3","Litigated",0.1201,0,1,0.474902,1,1,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.582696,,,,,0,0.0170432,0.400261,0.506873,9.83228,9.32756,19.1598,0.840156,9.83228,9.32756,0.840156,0.467695,0.498699,0.966393,0.658164,0.80733,0,0.840156,0,0,0,0,0,0.582696,0.05,0,0.0170432,0,0.449804,0,1.37199,0,0,0,0,0.530004,0.303685,0.124445,0.0347095,0.0063932,0.0007633,0.00666147,0.0351881,0.124911,0.303869,0.52937,0,0,0,0,0,1,1,0,0,0.582696,0,0.0170432,0.197379,0.202881
"Specification-LowNoise__Cost-2__Fee-British","0","3","Not Litigated",0.8799,0,1,0.50343,0.545543,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10.3819,9.45446,19.8363,0.163663,10.3819,9.45446,0.163663,0.135259,0.21966,0.354919,0.135259,0.1335,0,0.163663,0,0,0,0,0,0,,0,0,0,0.506859,0,-0.187205,0.101099,0.120828,0.117964,0.114566,0.0414379,0.07232,0.097585,0.113228,0.119955,0.101018,0.100192,0.116024,0.100915,0.0731035,0.0415262,0.113761,0.114569,0.117964,0.120833,0.101113,0.545543,0,0.454457,0.545543,0,0,0,0,0
"Specification-LowNoise__Cost-2__Fee-British","0","3","Settles",0.07,0,1,0.455688,1,1,1,1,0.05,0.05,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,,9.75,9.65,19.4,0.6,9.75,9.65,0.6,0.206018,0.51422,0.720239,0.0721064,0.642775,0,0.6,0,0,0,0,0,1,0.05,0,0,0,0.411376,0,0.946199,0,0,0,0,0.909572,0.0904278,0,0,0,0,0.0103406,0.051098,0.163231,0.334653,0.440678,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"Specification-LowNoise__Cost-2__Fee-British","0","3","Tried",0.0481,0,1,0.501155,1,1,1,1,0.889606,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603937,0,0.396063,0,0,,,,,0,0,1,0.506873,9.91512,8.88488,18.8,1.2,9.91512,8.88488,1.2,0.835793,0.49056,1.32635,1.50355,1.07923,0,1.2,0,0,0,0,0,0,,0,0,0,0.50231,0,1.98174,0,0,0,0,0,0.603937,0.296887,0.0822894,0.0150915,0.00179588,0.00158909,0.0135249,0.0744447,0.271993,0.638449,0,0,0,0,0,1,1,0,0,0,0,0,0.493127,0.506873
"Specification-LowNoise__Cost-2__Fee-British","0","3","PWins",0.0244,0,1,0.52554,1,1,1,1,0.90052,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494796,0,0.505204,0,0,,,,,0,0,1,1,11,7.8,18.8,1.2,11,7.8,1.2,1.64892,0,1.64892,2.96632,0,0,1.2,0,0,0,0,0,0,,0,0,0,0.551081,0,1.98942,0,0,0,0,0,0.494796,0.352356,0.123477,0.0260283,0.00334252,0.000178764,0.0033948,0.0356295,0.216497,0.7443,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Specification-LowNoise__Cost-2__Fee-British","0","3","DWins",0.0237,0,1,0.47609,1,1,1,1,0.878388,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71612,0,0.28388,0,0,,,,,0,0,1,0,8.8,10,18.8,1.2,8.8,10,1.2,0,0.994794,0.994794,0,2.18855,0,1.2,0,0,0,0,0,0,,0,0,0,0.452179,0,1.97384,0,0,0,0,0,0.71612,0.23987,0.0399536,0.00384979,0.000206126,0.00303874,0.0239373,0.114342,0.329035,0.529647,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Specification-LowNoise__Cost-2__Fee-British","0","3","Abandoned",0.002,0,1,0.515274,1,1,1,1,0.895661,0.05,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543385,0,0.456615,0,0,,,,,0,1,0,,10.7,8.7,19.4,0.6,10.7,8.7,0.6,0.769453,0.159164,0.928617,0.841125,0.0477492,0,0.6,0,0,0,0,0,0,,0,1,0,0.530547,0,1.60982,0,0,0,0,0,0.543385,0.329321,0.103991,0.0206924,0.00260988,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"Specification-LowNoise__Cost-2__Fee-British","0","3","Rounds1",0.1201,0,1,0.474902,1,1,1,1,0.400474,0.05,,,0.582696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250993,0,0.166311,0,0.582696,,,,,0,0.0170432,0.400261,0.506873,9.83228,9.32756,19.1598,0.840156,9.83228,9.32756,0.840156,0.467695,0.498699,0.966393,0.658164,0.80733,0,0.840156,0,0,0,0,0,0.582696,0.05,0,0.0170432,0,0.449804,0,1.37199,0,0,0,0,0.530004,0.303685,0.124445,0.0347095,0.0063932,0.0007633,0.00666147,0.0351881,0.124911,0.303869,0.52937,0,0,0,0,0,1,1,0,0,0.582696,0,0.0170432,0.197379,0.202881
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","PrePrimary10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-LowNoise__Cost-2__Fee-British","0","3","Truly Liable",0.5,0,1,0.75,0.830045,0.108014,1,1,0.444006,0.05,,,0.532915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263703,0,0.203383,0,0.0575623,,,,,0,0.00217136,0.04828,0.556087,10.4937,9.19593,19.6896,0.310386,10.4937,9.19593,0.310386,0.0328692,0.506319,0.539188,0.0388567,0.428806,0,0.310386,0,0,0,0,0,0.0575623,0.05,0,0.00217136,0,1,0,1.83956E-05,0.0162186,0.03255,0.05095,0.0702359,0.0900435,0.110152,0.131381,0.156646,0.180087,0.161735,0.0162181,0.0325485,0.0509487,0.070237,0.0900453,0.110155,0.131384,0.156646,0.180096,0.161721,0.830045,0.108014,0.169955,0.722031,0.0575623,0,0.00217136,0.0214323,0.0268481
"Specification-LowNoise__Cost-2__Fee-British","0","3","Truly Not Liable",0.5,0,1,0.25,0.370167,0.132126,1,1,0.364885,0.05,,,0.623394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240602,0,0.136003,0,0.0823667,,,,,0,0.00192138,0.047838,0.457202,10.1381,9.68252,19.8206,0.179391,10.1381,9.68252,0.179391,0.317484,0,0.317484,0.357236,0,0,0.179391,0,0,0,0,0,0.0823667,0.05,0,0.00192138,0,0,0,-2.25076E-06,0.161704,0.180093,0.156652,0.131385,0.110157,0.0900476,0.0702384,0.0509517,0.0325501,0.016222,0.161708,0.18009,0.156646,0.131387,0.110158,0.0900484,0.0702397,0.0509513,0.0325509,0.0162209,0.370167,0.132126,0.629833,0.23804,0.0823667,0,0.00192138,0.0259664,0.0218717
"Specification-LowNoise__Cost-2__Fee-British","0","3","Liability Strength1",0.5,0,1,0.25,0.370167,0.132126,1,1,0.364885,0.05,,,0.623394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240602,0,0.136003,0,0.0823667,,,,,0,0.00192138,0.047838,0.457202,10.1381,9.68252,19.8206,0.179391,10.1381,9.68252,0.179391,0.317484,0,0.317484,0.357236,0,0,0.179391,0,0,0,0,0,0.0823667,0.05,0,0.00192138,0,0,0,-2.25076E-06,0.161704,0.180093,0.156652,0.131385,0.110157,0.0900476,0.0702384,0.0509517,0.0325501,0.016222,0.161708,0.18009,0.156646,0.131387,0.110158,0.0900484,0.0702397,0.0509513,0.0325509,0.0162209,0.370167,0.132126,0.629833,0.23804,0.0823667,0,0.00192138,0.0259664,0.0218717
