Equilibrium Type,Allow Abandon and Defaults,CARA Alpha,Costs Multiplier,Court Signal Sigma,Damages Signal Shaping,Detailed Signal Reporting,Fee Regime,Fee Shifting Multiplier,Fee Shifting Rule,Fee Shifting Trigger,Fees After Nonanswer,Filing and Answering,Information Level,Integration Method,Issue,Liability Signal Shaping,Noise to Produce Case Strength,Number of Court Signals,Number of Offers,Number of Signals,Party Signal Sigma,Probability Truly Liable,Proportion of Costs at Beginning,Quadrature Order,Quality Distribution,Quality-Truth Link,Relative Costs,Risk Aversion,Signal Structure,Specification,Filter,GroupName,OptionSetName,Signal Probability,P Files,D Answers,P Offer,D Offer,Settles,P Abandons,D Defaults,Mutual Give-Up Probability Before 50/50 Allocation,Trial,P Loses,P Wins,P Offer 1 Action 1,D Offer 1 Action 1,P Offer 1 Action 2,D Offer 1 Action 2,P Offer 1 Action 3,D Offer 1 Action 3,P Offer 1 Action 4,D Offer 1 Action 4,P Offer 1 Action 5,D Offer 1 Action 5,P Offer 1 Action 6,D Offer 1 Action 6,P Offer 1 Action 7,D Offer 1 Action 7,P Offer 1 Action 8,D Offer 1 Action 8,P Offer 1 Action 9,D Offer 1 Action 9,P Offer 1 Action 10,D Offer 1 Action 10
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal1,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.080399999999999999,1,1,0.050000000000000003,0.102728,1,0,0,0,0,0,0,1,0.91604200000000002,0,0,0,0,0,0,0,0.045668,0,0,0,0,0,0,0,0,0,0.038289999999999998
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal2,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.097699999999999995,1,1,0.050000000000000003,0.13206499999999999,1,0,0,0,0,0,0,1,0.874888,0,0,0,0,0,0,0,0.061072399999999999,0,0,0,0,0,0,0,0,0,0.06404
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal3,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1062,1,1,0.050000000000000003,0.181559,1,0,0,0,0,0,0,1,0.808365,0,0,0,0,0,0,0,0.081824599999999997,0,0,0,0,0,0,0,0,0,0.10981
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal4,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1081,1,1,0.050000000000000003,0.25885200000000003,1,0,0,0,0,0,0,1,0.70925899999999997,0,0,0,0,0,0,0,0.105631,0,0,0,0,0,0,0,0,0,0.18511
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal5,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1076,1,1,0.48002699999999998,0.36515799999999998,0.412659,0.213721,0.00136848,0,0.37225200000000003,0.263706,0.108547,0,0.57976799999999995,0,0,0,0,0,0,0.93994699999999998,0.12610199999999999,0,0,0,0,0,0,0,0,0.0600534,0.29413
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal6,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1076,1,1,0.94999999999999996,0.48895499999999997,0.42748000000000003,0,0.0244964,0,0.54802399999999996,0.31448199999999998,0.233542,0,0.43696299999999999,0,0,0,0,0,0,0,0.13555700000000001,0,0,0,0,0,0,0,0,1,0.42748000000000003
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal7,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1081,1,1,0.94999999999999996,0.60910900000000001,0.56294,0,0.0237015,0,0.413358,0.191188,0.22217100000000001,0,0.30590200000000001,0,0,0,0,0,0,0,0.131158,0,0,0,0,0,0,0,0,1,0.56294
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal8,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.1062,1,1,0.94999999999999996,0.70751500000000001,0.67852000000000001,0,0.0211641,0,0.30031600000000003,0.10699699999999999,0.19331899999999999,0,0.20436299999999999,0,0,0,0,0,0,0,0.117117,0,0,0,0,0,0,0,0,1,0.67852000000000001
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal9,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.097699999999999995,1,1,0.94999999999999996,0.77802300000000002,0.76439000000000001,0,0.0181035,0,0.217506,0.0573153,0.160191,0,0.13542999999999999,0,0,0,0,0,0,0,0.10018000000000001,0,0,0,0,0,0,0,0,1,0.76439000000000001
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,PLiabilitySignal10,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,0.080399999999999999,1,1,0.94999999999999996,0.82446299999999995,0.82277,0,0.015347,0,0.161883,0.030613000000000001,0.13127,0,0.092303800000000005,0,0,0,0,0,0,0,0.084926199999999993,0,0,0,0,0,0,0,0,1,0.82277
