Costs Multiplier,Fee Regime,Number of Offers,Baseline Specification,Comparison Specification,Baseline OptionSetName,Comparison OptionSetName,Baseline Exploitability,Comparison Exploitability,Difference (Comparison - Baseline) Exploitability,Baseline Calculation Time,Comparison Calculation Time,Difference (Comparison - Baseline) Calculation Time,Baseline P Files,Comparison P Files,Difference (Comparison - Baseline) P Files,Baseline D Answers,Comparison D Answers,Difference (Comparison - Baseline) D Answers,Baseline P Offer,Comparison P Offer,Difference (Comparison - Baseline) P Offer,Baseline D Offer,Comparison D Offer,Difference (Comparison - Baseline) D Offer,Baseline Trial,Comparison Trial,Difference (Comparison - Baseline) Trial,Baseline P Win Probability,Comparison P Win Probability,Difference (Comparison - Baseline) P Win Probability,Baseline P Wealth,Comparison P Wealth,Difference (Comparison - Baseline) P Wealth,Baseline D Wealth,Comparison D Wealth,Difference (Comparison - Baseline) D Wealth,Baseline Total Wealth,Comparison Total Wealth,Difference (Comparison - Baseline) Total Wealth,Baseline Wealth Loss,Comparison Wealth Loss,Difference (Comparison - Baseline) Wealth Loss,Baseline P Welfare,Comparison P Welfare,Difference (Comparison - Baseline) P Welfare,Baseline D Welfare,Comparison D Welfare,Difference (Comparison - Baseline) D Welfare,Baseline Pre-Dispute Social Welfare Loss,Comparison Pre-Dispute Social Welfare Loss,Difference (Comparison - Baseline) Pre-Dispute Social Welfare Loss,Baseline Social Welfare Loss,Comparison Social Welfare Loss,Difference (Comparison - Baseline) Social Welfare Loss,Baseline Opportunity Cost,Comparison Opportunity Cost,Difference (Comparison - Baseline) Opportunity Cost,Baseline Harm Cost,Comparison Harm Cost,Difference (Comparison - Baseline) Harm Cost,Baseline Truly Liable Harm Cost,Comparison Truly Liable Harm Cost,Difference (Comparison - Baseline) Truly Liable Harm Cost,Baseline Truly Not Liable Harm Cost,Comparison Truly Not Liable Harm Cost,Difference (Comparison - Baseline) Truly Not Liable Harm Cost,Baseline Expenditures,Comparison Expenditures,Difference (Comparison - Baseline) Expenditures,Baseline Defendant Excess Net Monetary Burden,Comparison Defendant Excess Net Monetary Burden,Difference (Comparison - Baseline) Defendant Excess Net Monetary Burden,Baseline Plaintiff Net Recovery Shortfall,Comparison Plaintiff Net Recovery Shortfall,Difference (Comparison - Baseline) Plaintiff Net Recovery Shortfall,Baseline Value If Settled,Comparison Value If Settled,Difference (Comparison - Baseline) Value If Settled,Baseline No Suit,Comparison No Suit,Difference (Comparison - Baseline) No Suit,Baseline No Answer,Comparison No Answer,Difference (Comparison - Baseline) No Answer,Baseline Settles,Comparison Settles,Difference (Comparison - Baseline) Settles,Baseline P Abandons,Comparison P Abandons,Difference (Comparison - Baseline) P Abandons,Baseline D Defaults,Comparison D Defaults,Difference (Comparison - Baseline) D Defaults,Baseline Mutual Give-Up Probability Before 50/50 Allocation,Comparison Mutual Give-Up Probability Before 50/50 Allocation,Difference (Comparison - Baseline) Mutual Give-Up Probability Before 50/50 Allocation,Baseline P Loses,Comparison P Loses,Difference (Comparison - Baseline) P Loses,Baseline P Wins,Comparison P Wins,Difference (Comparison - Baseline) P Wins,Baseline Appropriation,Comparison Appropriation,Difference (Comparison - Baseline) Appropriation,Baseline Reaches Bargaining,Comparison Reaches Bargaining,Difference (Comparison - Baseline) Reaches Bargaining,Baseline Settlement Unconditional,Comparison Settlement Unconditional,Difference (Comparison - Baseline) Settlement Unconditional,Baseline Settlement Conditional on Reaching Bargaining,Comparison Settlement Conditional on Reaching Bargaining,Difference (Comparison - Baseline) Settlement Conditional on Reaching Bargaining,Baseline Real Litigation Costs,Comparison Real Litigation Costs,Difference (Comparison - Baseline) Real Litigation Costs,Baseline Liability Transfer to Plaintiff,Comparison Liability Transfer to Plaintiff,Difference (Comparison - Baseline) Liability Transfer to Plaintiff,Baseline Fee-Shifting Transfer to Plaintiff,Comparison Fee-Shifting Transfer to Plaintiff,Difference (Comparison - Baseline) Fee-Shifting Transfer to Plaintiff,Baseline Total Net Transfer to Plaintiff,Comparison Total Net Transfer to Plaintiff,Difference (Comparison - Baseline) Total Net Transfer to Plaintiff,Baseline Meritorious-Plaintiff Net Recovery Shortfall,Comparison Meritorious-Plaintiff Net Recovery Shortfall,Difference (Comparison - Baseline) Meritorious-Plaintiff Net Recovery Shortfall,Baseline Nonliable-Defendant Net Burden,Comparison Nonliable-Defendant Net Burden,Difference (Comparison - Baseline) Nonliable-Defendant Net Burden,Baseline Liable-Defendant Excess Net Burden Above Damages,Comparison Liable-Defendant Excess Net Burden Above Damages,Difference (Comparison - Baseline) Liable-Defendant Excess Net Burden Above Damages,Baseline Net Outcome Fidelity Loss,Comparison Net Outcome Fidelity Loss,Difference (Comparison - Baseline) Net Outcome Fidelity Loss
0.25,American,10,Baseline,All litigation costs avoidable at bargaining,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,-8.8820000000000011E-16,8.8820000000000011E-16,0.0000000000000018,6,3,-3,1,1,0,1,1,0,0.87759500000000001,0.87759500000000001,0,0.122403,0.122403,0,0.83921100000000004,0.83921100000000004,0,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.437099999999999,0.0061,9.4310399999999994,9.4370700000000003,0.0060300000000009,19.862100000000002,19.874099999999999,0.0119999999999969,0.13794100000000001,0.12588199999999999,-0.012059,10.430999999999999,10.437099999999999,0.0061,9.4310399999999994,9.4370700000000003,0.0060300000000009,0,0,0,0.13794100000000001,0.12588199999999999,-0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.12588199999999999,-0.012059,0.203185,0.20016999999999999,-0.003015,0.18159400000000001,0.17857899999999999,-0.003015,0.49999300000000002,0.49999300000000002,0,0,0,0,0,0,0,0.16078899999999999,0.16078899999999999,0,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.41961199999999999,0,0.419599,0.419599,0,0,0,0,1,1,0,0.160789,0.160789,0,0.160789,0.160789,0,0.13794100000000001,0.12588199999999999,-0.012059,0.499992374477,0.499992374477,0,-0,-0,0,0.499992374477,0.499992374477,0,0.363193,0.357163,-0.00603,0.363183,0.357154,-0.006029,0.0431818,0.0431818,0,0.384779,0.378749,-0.00603
0.25,American,10,Baseline,All litigation costs avoidable at bargaining plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.1369999999999999E-13,-0.0000000000001128,6,643,637,1,1,0,1,1,0,0.87759500000000001,0.53570399999999996,-0.341891,0.122403,0.47455799999999998,0.352155,0.83921100000000004,0.21979899999999999,-0.619412,0.49999199999999999,0.449492,-0.0505,10.430999999999999,10.472300000000001,0.0413000000000014,9.4310399999999994,9.4947400000000002,0.0637000000000008,19.862100000000002,19.966999999999999,0.104899999999997,0.13794100000000001,0.032969900000000003,-0.1049711,10.430999999999999,1000.09,989.659,9.4310399999999994,999.524,990.09296,0,0,0,0.13794100000000001,0.032969900000000003,-0.1049711,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.032969900000000003,-0.1049711,0.203185,0.175428,-0.027757,0.18159400000000001,0.180758,-0.000836,0.49999300000000002,0.55274800000000002,0.052755,0,0,0,0,0,0,0.16078899999999999,0.70553200000000005,0.544743,0,0.0746689,0.0746689,0,0,0,0,0,0,0.41961199999999999,0.121001,-0.298611,0.419599,0.098797999999999997,-0.320801,0,0,0,1,1,0,0.160789,0.705532,0.544743,0.160789,0.705532,0.544743,0.13794100000000001,0.032969900000000003,-0.1049711,0.499992374477,0.488779401936,-0.011212972541,-0,-0,0,0.499992374477,0.488779401936,-0.011212972541,0.363193,0.361521,-0.001672,0.363183,0.34165,-0.021533,0.0431818,0.0092007,-0.0339811,0.384779,0.356186,-0.028593
0.25,American,10,Baseline,All litigation costs sunk before bargaining,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsSunk__Cost-0.25__Fee-American,-8.8820000000000011E-16,-4.4410000000000002E-15,-0.0000000000000036,6,3,-3,1,1,0,1,1,0,0.87759500000000001,0.84999800000000003,-0.027597,0.122403,0.14999899999999999,0.027596,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.21099300000000001,0.007808,0.18159400000000001,0.18451999999999999,0.002926,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000800000000001,0.080396,0.419599,0.49999199999999999,0.080393,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499992,-0.000000374477,-0,-0,0,0.499992374477,0.499992,-0.000000374477,0.363193,0.369046,0.005853,0.363183,0.369035,0.005852,0.0431818,0.0529466,0.0097648,0.384779,0.395513,0.010734
0.25,American,10,Baseline,All litigation costs sunk before bargaining plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsSunkModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.1369999999999999E-13,-0.0000000000001128,6,5681,5675,1,1,0,1,1,0,0.87759500000000001,0.58941699999999997,-0.288178,0.122403,0.41056999999999999,0.288167,0.83921100000000004,0.53790199999999999,-0.301309,0.49999199999999999,0.49998599999999999,-0.000006,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,1000.08,989.649,9.4310399999999994,999.39400000000001,989.96296,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.21856600000000001,0.015381,0.18159400000000001,0.20402999999999999,0.022436,0.49999300000000002,0.499998,0.000005,0,0,0,0,0,0,0.16078899999999999,0.46209800000000001,0.301309,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.26895799999999997,-0.150654,0.419599,0.26894400000000002,-0.150655,0,0,0,1,1,0,0.160789,0.462098,0.301309,0.160789,0.462098,0.301309,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499992075804,-0.000000298673,-0,-0,0,0.499992374477,0.499992075804,-0.000000298673,0.363193,0.408065,0.044872,0.363183,0.408053,0.04487,0.0431818,0.0290753,-0.0141065,0.384779,0.422596,0.037817
0.25,American,10,Baseline,Center-weighted continuous merits,Specification-Baseline__Cost-0.25__Fee-American,Specification-CenterWeightedContinuousMerits__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.7760000000000001E-15,-0.0000000000000009,6,3,-3,1,1,0,1,1,0,0.87759500000000001,0.86233499999999996,-0.0152600000000001,0.122403,0.13766200000000001,0.015259,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999399999999999,0.000002,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.242594,0.039409,0.18159400000000001,0.21868299999999999,0.037089,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000599999999995,0.080394,0.419599,0.49999399999999999,0.080395,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499994,0.000001625523,-0,-0,0,0.499992374477,0.499994,0.000001625523,0.363193,0.437371,0.074178,0.363183,0.437362,0.074179,0.0431818,0.0478222,0.0046404,0.384779,0.461277,0.076498
0.25,American,10,Baseline,Center-weighted continuous merits plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-CenterWeightedContinuousMeritsModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-5.6840000000000001E-14,-0.000000000000056,6,518,512,1,1,0,1,1,0,0.87759500000000001,0.50633700000000004,-0.371258,0.122403,0.51874200000000004,0.396339,0.83921100000000004,0.19653100000000001,-0.64268,0.49999199999999999,0.386882,-0.11311,10.430999999999999,10.4602,0.0292000000000012,9.4310399999999994,9.4500200000000003,0.0189800000000009,19.862100000000002,19.910299999999999,0.0481999999999978,0.13794100000000001,0.089739799999999995,-0.0482012,10.430999999999999,1000.1,989.669,9.4310399999999994,999.54999999999995,990.11896,0,0,0,0.13794100000000001,0.089739799999999995,-0.0482012,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.089739799999999995,-0.0482012,0.203185,0.24548800000000001,0.042303,0.18159400000000001,0.23574999999999999,0.054156,0.49999300000000002,0.53402799999999995,0.0340349999999999,0,0,0,0,0,0,0.16078899999999999,0.80346899999999999,0.64268,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.12049700000000001,-0.299115,0.419599,0.076034099999999993,-0.3435649,0,0,0,1,1,0,0.160789,0.803469,0.64268,0.160789,0.803469,0.64268,0.13794100000000001,0.089739799999999995,-0.0482012,0.499992374477,0.505109043132,0.005116668655,-0,-0,0,0.499992374477,0.505109043132,0.005116668655,0.363193,0.471504,0.108311,0.363183,0.48425,0.121067,0.0431818,0.0067212,-0.0364606,0.384779,0.481238,0.096459
0.25,American,10,Baseline,Direct binary-state signals,Specification-Baseline__Cost-0.25__Fee-American,Specification-DirectBinaryStateSignals__Cost-0.25__Fee-American,-8.8820000000000011E-16,8.8820000000000011E-16,0.0000000000000018,6,4,-2,1,1,0,1,1,0,0.87759500000000001,0.81049300000000002,-0.067102,0.122403,0.189499,0.067096,0.83921100000000004,0.93952999999999998,0.100319,0.49999199999999999,0.5,0.000008,10.430999999999999,10.427300000000001,-0.0036999999999985,9.4310399999999994,9.42727,-0.0037699999999994,19.862100000000002,19.854500000000002,-0.0076000000000001,0.13794100000000001,0.14546500000000001,0.007524,10.430999999999999,10.427300000000001,-0.0036999999999985,9.4310399999999994,9.42727,-0.0037699999999994,0,0,0,0.13794100000000001,0.14546500000000001,0.007524,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14546500000000001,0.007524,0.203185,0.121818,-0.081367,0.18159400000000001,0.090155899999999997,-0.0914381,0.49999300000000002,0.49997200000000003,-0.000021,0,0,0,0,0,0,0.16078899999999999,0.060469500000000002,-0.1003195,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.46976600000000002,0.050154,0.419599,0.46976499999999999,0.050166,0,0,0,1,1,0,0.160789,0.0604695,-0.1003195,0.160789,0.0604695,-0.1003195,0.13794100000000001,0.14546500000000001,0.007524,0.499992374477,0.499998056854,0.000005682377,-0,-0,0,0.499992374477,0.499998056854,0.000005682377,0.363193,0.180313,-0.18288,0.363183,0.180312,-0.182871,0.0431818,0.0633243,0.0201425,0.384779,0.2119739,-0.1728051
0.25,American,10,Baseline,Direct binary-state signals plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.1369999999999999E-13,-0.0000000000001128,6,635,629,1,1,0,1,1,0,0.87759500000000001,0.45818500000000001,-0.41941,0.122403,0.54181299999999999,0.41941,0.83921100000000004,0.061839999999999999,-0.777371,0.49999199999999999,0.500004,0.000012,10.430999999999999,10.4602,0.0292000000000012,9.4310399999999994,9.4601799999999994,0.0291399999999999,19.862100000000002,19.920400000000001,0.0582999999999991,0.13794100000000001,0.079638,-0.058303,10.430999999999999,1000.1,989.669,9.4310399999999994,999.56799999999998,990.13696,0,0,0,0.13794100000000001,0.079638,-0.058303,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.079638,-0.058303,0.203185,0.176179,-0.027006,0.18159400000000001,0.174093,-0.007501,0.49999300000000002,0.49999900000000003,0.000006,0,0,0,0,0,0,0.16078899999999999,0.93815999999999999,0.777371,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.030919599999999998,-0.3886924,0.419599,0.030920099999999999,-0.3886789,0,0,0,1,1,0,0.160789,0.93816,0.777371,0.160789,0.93816,0.777371,0.13794100000000001,0.079638,-0.058303,0.499992374477,0.49999916184,0.000006787363,-0,0,0,0.499992374477,0.49999916184,0.000006787363,0.363193,0.348188,-0.015005,0.363183,0.348188,-0.014995,0.0431818,0.004168,-0.0390138,0.384779,0.350272,-0.034507
0.25,American,10,Baseline,High noise,Specification-Baseline__Cost-0.25__Fee-American,Specification-HighNoise__Cost-0.25__Fee-American,-8.8820000000000011E-16,-2.6650000000000001E-15,-0.0000000000000018,6,3,-3,1,1,0,1,1,0,0.87759500000000001,0.84999999999999998,-0.027595,0.122403,0.14999999999999999,0.027597,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999700000000002,0.000005,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250000000000007,-0.0060399999999987,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250000000000007,-0.0060399999999987,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.25767800000000002,0.054493,0.18159400000000001,0.234988,0.053394,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000299999999998,0.080391,0.419599,0.49999700000000002,0.080398,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499997,0.000004625523,-0,-0,0,0.499992374477,0.499997,0.000004625523,0.363193,0.469979,0.106786,0.363183,0.469976,0.106793,0.0431818,0.0453766,0.0021948,0.384779,0.492666,0.107887
0.25,American,10,Baseline,High noise plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-HighNoiseModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,0,0.0000000000000009,6,287,281,1,1,0,1,1,0,0.87759500000000001,0.34999999999999998,-0.527595,0.122403,0.34999999999999998,0.227597,0.83921100000000004,0,-0.839211,0.49999199999999999,,,10.430999999999999,10.3125,-0.118499999999999,9.4310399999999994,9.6125000000000007,0.181460000000001,19.862100000000002,19.925000000000001,0.0628999999999991,0.13794100000000001,0.074999999999999997,-0.062941,10.430999999999999,1000.09,989.659,9.4310399999999994,999.78200000000004,990.35096,0,0,0,0.13794100000000001,0.074999999999999997,-0.062941,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.074999999999999997,-0.062941,0.203185,0.19375200000000001,-0.009433,0.18159400000000001,0.34374700000000002,0.162153,0.49999300000000002,0.34999999999999998,-0.149993,0,0,0,0,0,0,0.16078899999999999,1,0.839211,0,0,0,0,0,0,0,0,0,0.41961199999999999,0,-0.419612,0.419599,0,-0.419599,0,0,0,1,1,0,0.160789,1,0.839211,0.160789,1,0.839211,0.13794100000000001,0.074999999999999997,-0.062941,0.499992374477,0.35,-0.149992374477,-0,0,0,0.499992374477,0.35,-0.149992374477,0.363193,0.6875,0.324307,0.363183,0.3875,0.024317,0.0431818,0,-0.0431818,0.384779,0.537499,0.15272
