"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","POffer1Action11","DOffer1Action11","POffer1Action12","DOffer1Action12","POffer1Action13","DOffer1Action13","POffer1Action14","DOffer1Action14","POffer1Action15","DOffer1Action15","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","All",1,0,1,0.499997,0.71569,0.344294,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,0.344294,0.431796,10.3611,9.37665,19.7377,0.262286,10.3611,9.37665,0.262286,0.230897,0.216588,0.447484,0.208771,0.187759,0,0.262286,0,0,0,0,0,0,,0,0,0,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.344294,0.28431,0.371396,0,0,0,0.195629,0.148665
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","DisputeArises",1,0,1,0.499997,0.71569,0.344294,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,0.344294,0.431796,10.3611,9.37665,19.7377,0.262286,10.3611,9.37665,0.262286,0.230897,0.216588,0.447484,0.208771,0.187759,0,0.262286,0,0,0,0,0,0,,0,0,0,0.499993,0,-4.60693E-05,0.08045,0.09768,0.10618,0.1081,0.1076,0.1076,0.1081,0.10618,0.09768,0.08043,0.0804506,0.0976783,0.10618,0.108096,0.107602,0.107601,0.108094,0.106176,0.0976736,0.0804476,0.71569,0.344294,0.28431,0.371396,0,0,0,0.195629,0.148665
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","PFiles",0.7157,0,1,0.556718,1,0.481066,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,0.481066,0.431796,10.5045,9.12902,19.6335,0.36648,10.5045,9.12902,0.36648,0.322621,0.217447,0.540068,0.291706,0.177166,0,0.36648,0,0,0,0,0,0,,0,0,0,0.613436,0,0.49401,0,0,0,0.151043,0.150344,0.150344,0.151043,0.14836,0.136484,0.112381,0.0364177,0.0533316,0.0714357,0.0896265,0.107155,0.123099,0.135436,0.140207,0.132584,0.110707,1,0.481066,0,0.518934,0,0,0,0.273344,0.207723
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","DAnswers",0.3443,0,1,0.474904,1,1,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,1,0.431796,10.1318,9.2682,19.4,0.6,10.1318,9.2682,0.6,0.417273,0.328208,0.745481,0.353011,0.349707,0,0.6,0,0,0,0,0,0,,0,0,0,0.449808,0,1.83215,0,0,0,0.255856,0.220601,0.178926,0.137226,0.0991441,0.0668451,0.0414024,0.0757021,0.110861,0.148495,0.186308,0.222745,0.255889,0,0,0,0,1,1,0,0,0,0,0,0.568204,0.431796
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","Litigated",0.3443,0,1,0.474904,1,1,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,1,0.431796,10.1318,9.2682,19.4,0.6,10.1318,9.2682,0.6,0.417273,0.328208,0.745481,0.353011,0.349707,0,0.6,0,0,0,0,0,0,,0,0,0,0.449808,0,1.83215,0,0,0,0.255856,0.220601,0.178926,0.137226,0.0991441,0.0668451,0.0414024,0.0757021,0.110861,0.148495,0.186308,0.222745,0.255889,0,0,0,0,1,1,0,0,0,0,0,0.568204,0.431796
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","Not Litigated",0.6557,0,1,0.513172,0.566406,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10.4814,9.43359,19.915,0.0849609,10.4814,9.43359,0.0849609,0.133035,0.157979,0.291014,0.133035,0.102724,0,0.0849609,0,0,0,0,0,0,,0,0,0,0.526344,0,-0.962084,0.122692,0.148969,0.161932,0.0305173,0.0482661,0.0701486,0.0928066,0.109874,0.113871,0.100922,0.0829439,0.0907562,0.083962,0.0670291,0.0471435,0.0297395,0.164851,0.161927,0.148959,0.122689,0.566406,0,0.433594,0.566406,0,0,0,0,0
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","Settles",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","Tried",0.3443,0,1,0.474904,1,1,1,1,0.827304,0.0836056,,,0,0.501805,0,0.242306,0,0.255889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476456,0,0.178926,0,0.303215,0,0.0414024,0,0,,,,,0,0,1,0.431796,10.1318,9.2682,19.4,0.6,10.1318,9.2682,0.6,0.417273,0.328208,0.745481,0.353011,0.349707,0,0.6,0,0,0,0,0,0,,0,0,0,0.449808,0,1.83215,0,0,0,0.255856,0.220601,0.178926,0.137226,0.0991441,0.0668451,0.0414024,0.0757021,0.110861,0.148495,0.186308,0.222745,0.255889,0,0,0,0,1,1,0,0,0,0,0,0.568204,0.431796
"Specification-Baseline__Cost-1__Fee-American__Offers-15","-8.882000000000001E-16","-3.918E-09","7","PWins",0.1487,0,1,0.547065,1,1,1,1,0.852603,0.102801,,,0,0.335923,0,0.28614,0,0.377937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304831,0,0.179481,0,0.437503,0,0.0781852,0,0,,,,,0,0,1,1,10.7,8.7,19.4,0.6,10.7,8.7,0.6,0.70587,0.178239,0.884109,0.739391,0.0534717,0,0.6,0,0,0,0,0,0,,0,0,0,0.59413,0,1.94873,0,0,0,0.13832,0.166512,0.179481,0.173166,0.149408,0.114928,0.0781852,0.0256719,0.0538341,0.101527,0.17306,0.26797,0.377937,0,0,0,0,1,1,0,0,0,0,0,0,1
