Specification,Costs Multiplier,Number of Offers,American OptionSetName,British OptionSetName,American Exploitability,British Exploitability,Difference (British - American) Exploitability,American Calculation Time,British Calculation Time,Difference (British - American) Calculation Time,American P Files,British P Files,Difference (British - American) P Files,American D Answers,British D Answers,Difference (British - American) D Answers,American P Offer,British P Offer,Difference (British - American) P Offer,American D Offer,British D Offer,Difference (British - American) D Offer,American Trial,British Trial,Difference (British - American) Trial,American P Win Probability,British P Win Probability,Difference (British - American) P Win Probability,American P Wealth,British P Wealth,Difference (British - American) P Wealth,American D Wealth,British D Wealth,Difference (British - American) D Wealth,American Total Wealth,British Total Wealth,Difference (British - American) Total Wealth,American Wealth Loss,British Wealth Loss,Difference (British - American) Wealth Loss,American P Welfare,British P Welfare,Difference (British - American) P Welfare,American D Welfare,British D Welfare,Difference (British - American) D Welfare,American Pre-Dispute Social Welfare Loss,British Pre-Dispute Social Welfare Loss,Difference (British - American) Pre-Dispute Social Welfare Loss,American Social Welfare Loss,British Social Welfare Loss,Difference (British - American) Social Welfare Loss,American Opportunity Cost,British Opportunity Cost,Difference (British - American) Opportunity Cost,American Harm Cost,British Harm Cost,Difference (British - American) Harm Cost,American Truly Liable Harm Cost,British Truly Liable Harm Cost,Difference (British - American) Truly Liable Harm Cost,American Truly Not Liable Harm Cost,British Truly Not Liable Harm Cost,Difference (British - American) Truly Not Liable Harm Cost,American Expenditures,British Expenditures,Difference (British - American) Expenditures,American Defendant Excess Net Monetary Burden,British Defendant Excess Net Monetary Burden,Difference (British - American) Defendant Excess Net Monetary Burden,American Plaintiff Net Recovery Shortfall,British Plaintiff Net Recovery Shortfall,Difference (British - American) Plaintiff Net Recovery Shortfall,American Value If Settled,British Value If Settled,Difference (British - American) Value If Settled,American No Suit,British No Suit,Difference (British - American) No Suit,American No Answer,British No Answer,Difference (British - American) No Answer,American Settles,British Settles,Difference (British - American) Settles,American P Abandons,British P Abandons,Difference (British - American) P Abandons,American D Defaults,British D Defaults,Difference (British - American) D Defaults,American Mutual Give-Up Probability Before 50/50 Allocation,British Mutual Give-Up Probability Before 50/50 Allocation,Difference (British - American) Mutual Give-Up Probability Before 50/50 Allocation,American P Loses,British P Loses,Difference (British - American) P Loses,American P Wins,British P Wins,Difference (British - American) P Wins,American Appropriation,British Appropriation,Difference (British - American) Appropriation,American Reaches Bargaining,British Reaches Bargaining,Difference (British - American) Reaches Bargaining,American Settlement Unconditional,British Settlement Unconditional,Difference (British - American) Settlement Unconditional,American Settlement Conditional on Reaching Bargaining,British Settlement Conditional on Reaching Bargaining,Difference (British - American) Settlement Conditional on Reaching Bargaining,American Real Litigation Costs,British Real Litigation Costs,Difference (British - American) Real Litigation Costs,American Liability Transfer to Plaintiff,British Liability Transfer to Plaintiff,Difference (British - American) Liability Transfer to Plaintiff,American Fee-Shifting Transfer to Plaintiff,British Fee-Shifting Transfer to Plaintiff,Difference (British - American) Fee-Shifting Transfer to Plaintiff,American Total Net Transfer to Plaintiff,British Total Net Transfer to Plaintiff,Difference (British - American) Total Net Transfer to Plaintiff,American Meritorious-Plaintiff Net Recovery Shortfall,British Meritorious-Plaintiff Net Recovery Shortfall,Difference (British - American) Meritorious-Plaintiff Net Recovery Shortfall,American Nonliable-Defendant Net Burden,British Nonliable-Defendant Net Burden,Difference (British - American) Nonliable-Defendant Net Burden,American Liable-Defendant Excess Net Burden Above Damages,British Liable-Defendant Excess Net Burden Above Damages,Difference (British - American) Liable-Defendant Excess Net Burden Above Damages,American Net Outcome Fidelity Loss,British Net Outcome Fidelity Loss,Difference (British - American) Net Outcome Fidelity Loss
All litigation costs avoidable at bargaining plus moderate risk aversion,0.25,10,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British,-1.1369999999999999E-13,-2.2739999999999997E-13,-0.0000000000001137,643,2292,1649,1,1,0,1,1,0,0.53570399999999996,0.54626200000000003,0.0105580000000001,0.47455799999999998,0.443604,-0.030954,0.21979899999999999,0.20985999999999999,-0.009939,0.449492,0.512521,0.063029,10.472300000000001,10.478899999999999,0.0065999999999988,9.4947400000000002,9.4895700000000005,-0.0051699999999997,19.966999999999999,19.968499999999999,0.0015000000000001,0.032969900000000003,0.031478899999999997,-0.001491,1000.09,1000.08,-0.0099999999999909,999.524,999.423,-0.100999999999999,0,0,0,0.032969900000000003,0.031478899999999997,-0.001491,0,0,0,0,0,0,0,0,0,0,0,0,0.032969900000000003,0.031478899999999997,-0.001491,0.175428,0.16242899999999999,-0.012999,0.180758,0.15796499999999999,-0.022793,0.55274800000000002,0.49718000000000001,-0.055568,0,0,0,0,0,0,0.70553200000000005,0.75654900000000003,0.051017,0.0746689,0.0229963,-0.0516726,0,0.0105951,0.0105951,0,0,0,0.121001,0.102302,-0.018699,0.098797999999999997,0.107557,0.008759,0,0,0,1,1,0,0.705532,0.756549,0.051017,0.705532,0.756549,0.051017,0.032969900000000003,0.031478899999999997,-0.001491,0.488779401936,0.49429313182,0.005513729884,-0,0.000394125,0.000394125,0.488779401936,0.49468725682,0.005907854884,0.361521,0.315935,-0.045586,0.34165,0.304754,-0.036896,0.0092007,0.0200992,0.0108985,0.356186,0.320394,-0.035792
All litigation costs avoidable at bargaining plus moderate risk aversion,0.5,10,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.5__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.5__Fee-British,-3.4110000000000003E-13,-4.5469999999999997E-13,-0.0000000000001136,1176,2578,1402,1,1,0,1,1,0,0.49999300000000002,0.58598300000000003,0.08599,0.49999500000000002,0.46911700000000001,-0.030878,0.118738,0.094192999999999999,-0.024545,0.499996,0.468862,-0.031134,10.482200000000001,10.5053,0.0230999999999995,9.4822000000000006,9.4664900000000003,-0.0157100000000003,19.964400000000001,19.971699999999998,0.0072999999999972,0.035621399999999998,0.0282578,-0.0073636,1000.1,1000.09,-0.0099999999999909,999.51599999999996,999.399,-0.116999999999962,0,0,0,0.035621399999999998,0.0282578,-0.0073636,0,0,0,0,0,0,0,0,0,0,0,0,0.035621399999999998,0.0282578,-0.0073636,0.18614600000000001,0.17271900000000001,-0.013427,0.180788,0.14497099999999999,-0.035817,0.49999300000000002,0.55795600000000001,0.057963,0,0,0,0,0,0,0.88126199999999999,0.699044,-0.182218,0,0.120703,0.120703,0,0.0860605,0.0860605,0,0,0,0.059369499999999999,0.050029200000000003,-0.0093403,0.059368600000000001,0.044163399999999998,-0.0152052,0,0,0,1,1,0,0.881262,0.699044,-0.182218,0.881262,0.699044,-0.182218,0.035621399999999998,0.0282578,-0.0073636,0.499993431166,0.520259694064,0.020266262898,-0,-0.00087987,-0.00087987,0.499993431166,0.519379824064,0.019386392898,0.361581,0.289946,-0.071635,0.361572,0.329927,-0.031645,0.0107148,0.0155068,0.004792,0.366934,0.31769,-0.049244
All litigation costs avoidable at bargaining plus moderate risk aversion,1,10,Specification-AllCostsAvoidableModerateRiskAversion__Cost-1__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-1__Fee-British,0,-1.7050000000000001E-13,-0.0000000000001705,4961,1541,-3420,1,1,0,1,1,0,0.58627099999999999,0.57462800000000003,-0.011643,0.48923299999999997,0.35379699999999997,-0.135436,0.072652999999999995,0.020993999999999999,-0.051659,0.42420999999999998,0.57577699999999998,0.151567,10.516,10.457100000000001,-0.0588999999999995,9.4403900000000007,9.5302699999999998,0.0898799999999991,19.956399999999999,19.987400000000001,0.0310000000000024,0.043591600000000001,0.0125963,-0.0309953,1000.09,1000.08,-0.0099999999999909,999.39200000000005,999.50999999999999,0.117999999999938,0,0,0,0.043591600000000001,0.0125963,-0.0309953,0,0,0,0,0,0,0,0,0,0,0,0,0.043591600000000001,0.0125963,-0.0309953,0.18684100000000001,0.14799999999999999,-0.038841,0.14158200000000001,0.18068400000000001,0.039102,0.56023999999999996,0.385627,-0.174613,0,0,0,0,0,0,0.71289599999999997,0.485155,-0.227741,0.106851,0.230555,0.123704,0.1076,0.263296,0.155696,0,0,0,0.0418327,0.0089060900000000002,-0.03292661,0.03082,0.012087799999999999,-0.0187322,0,0,0,1,1,0,0.712896,0.485155,-0.227741,0.712896,0.485155,-0.227741,0.043591600000000001,0.0125963,-0.0309953,0.53781285504,0.462472667185,-0.075340187855,-0,0.000954513,0.000954513,0.53781285504,0.463427180185,-0.074385674855,0.283167,0.361372,0.078205,0.363369,0.286938,-0.076431,0.0103092,0.0090591,-0.0012501,0.328423,0.328684,0.000261
All litigation costs avoidable at bargaining plus moderate risk aversion,2,10,Specification-AllCostsAvoidableModerateRiskAversion__Cost-2__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-2__Fee-British,-2.8419999999999999E-13,-4.5469999999999997E-13,-0.0000000000001705,1865,1620,-245,1,1,0,1,1,0,0.64619499999999996,0.58871399999999996,-0.057481,0.42536499999999999,0.39530999999999999,-0.030055,0.020996000000000001,0.0040000000000000001,-0.016996,0.42419600000000002,0.42696000000000001,0.002764,10.524900000000001,10.523,-0.0019000000000009,9.4498899999999999,9.4722399999999993,0.0223499999999994,19.974799999999998,19.995200000000001,0.0204000000000022,0.0251947,0.0047994099999999996,-0.02039529,1000.09,1000.1,0.0099999999999909,999.42700000000002,999.49300000000005,0.0660000000000309,0,0,0,0.0251947,0.0047994099999999996,-0.02039529,0,0,0,0,0,0,0,0,0,0,0,0,0.0251947,0.0047994099999999996,-0.02039529,0.18814,0.19464699999999999,0.006507,0.146401,0.167935,0.021534,0.61436800000000003,0.45000000000000001,-0.164368,0,0,0,0,0,0,0.48514299999999999,0.54158099999999998,0.056438,0.263314,0.174129,-0.089185,0.230548,0.28029,0.049742,0,0,0,0.012089300000000001,0.00229188,-0.00979742,0.0089061999999999995,0.0017076000000000001,-0.0071986,0,0,0,1,1,0,0.485143,0.541581,0.056438,0.485143,0.541581,0.056438,0.0251947,0.0047994099999999996,-0.02039529,0.537510534624,0.52570905,-0.011801484624,-0,-0.000350568,-0.000350568,0.537510534624,0.525358482,-0.012152052624,0.292805,0.335874,0.043069,0.370419,0.387064,0.016645,0.0058561,0.0022245,-0.0036316,0.334541,0.362582,0.028041
All litigation costs avoidable at bargaining plus moderate risk aversion,4,10,Specification-AllCostsAvoidableModerateRiskAversion__Cost-4__Fee-American,Specification-AllCostsAvoidableModerateRiskAversion__Cost-4__Fee-British,-2.8419999999999999E-13,-1.1369999999999999E-13,0.0000000000001705,1738,4829,3091,1,1,0,1,1,0,0.47708099999999998,0.49536200000000002,0.018281,0.35379699999999997,0.46723300000000001,0.113436,0.0030790000000000001,0.00029,-0.002789,0.70544600000000002,0.55893199999999998,-0.146514,10.3652,10.461499999999999,0.0962999999999994,9.6274200000000008,9.53782,-0.0896000000000008,19.992599999999999,19.999300000000002,0.0067000000000022,0.0073892599999999999,0.00069714699999999996,-0.006692113,1000.08,1000.1,0.0199999999999818,999.68100000000004,999.62900000000002,-0.0520000000000209,0,0,0,0.0073892599999999999,0.00069714699999999996,-0.006692113,0,0,0,0,0,0,0,0,0,0,0,0,0.0073892599999999999,0.00069714699999999996,-0.006692113,0.122102,0.189411,0.067309,0.25236999999999998,0.22736500000000001,-0.025005,0.43117,0.49758999999999998,0.06642,0,0,0,0,0,0,0.67110000000000003,0.75559399999999999,0.084494,0.24847,0.15846465,-0.09000535,0.0773511,0.08565085,0.00829975,0,0.024245300000000001,0.0242453,0.00090689000000000004,0.00012812000000000001,-0.00077877,0.0021719999999999999,0.00016239999999999999,-0.0020096,0,0,0,1,1,0,0.6711,0.755594,0.084494,0.6711,0.755594,0.084494,0.0073892599999999999,0.00069714699999999996,-0.006692113,0.368881287,0.46178926846,0.09290798146,0,0.000041136,0.000041136,0.368881287,0.46183040446,0.09294911746,0.504747,0.454736,-0.050011,0.240411,0.378344,0.137933,0.0037896,0.000472,-0.0033176,0.374472,0.416776,0.042304
All litigation costs avoidable at bargaining,0.25,10,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,Specification-AllCostsAvoidable__Cost-0.25__Fee-British,8.8820000000000011E-16,-1.7760000000000001E-15,-0.0000000000000027,3,4,1,1,1,0,1,1,0,0.87759500000000001,0.78968300000000002,-0.087912,0.122403,0.210309,0.087906,0.83921100000000004,0.64523799999999998,-0.193973,0.49999199999999999,0.49999399999999999,0.000002,10.437099999999999,10.451599999999999,0.0145,9.4370700000000003,9.4516200000000001,0.0145499999999998,19.874099999999999,19.903199999999998,0.0290999999999997,0.12588199999999999,0.096785700000000002,-0.0290963,10.437099999999999,10.451599999999999,0.0145,9.4370700000000003,9.4516200000000001,0.0145499999999998,0,0,0,0.12588199999999999,0.096785700000000002,-0.0290963,0,0,0,0,0,0,0,0,0,0,0,0,0.12588199999999999,0.096785700000000002,-0.0290963,0.20016999999999999,0.19513800000000001,-0.005032,0.17857899999999999,0.16308400000000001,-0.015495,0.49999300000000002,0.49998900000000002,-0.000004,0,0,0,0,0,0,0.16078899999999999,0.35476200000000002,0.193973,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.32262299999999999,-0.096989,0.419599,0.32261499999999999,-0.096984,0,0,0,1,1,0,0.160789,0.354762,0.193973,0.160789,0.354762,0.193973,0.12588199999999999,0.096785700000000002,-0.0290963,0.499992374477,0.499992097618,-0.000000276859,-0,-0.0000006,-0.0000006,0.499992374477,0.499991497618,-0.000000876859,0.357163,0.326173,-0.03099,0.357154,0.326161,-0.030993,0.0431818,0.0641123,0.0209305,0.378749,0.358222,-0.020527
All litigation costs avoidable at bargaining,0.5,10,Specification-AllCostsAvoidable__Cost-0.5__Fee-American,Specification-AllCostsAvoidable__Cost-0.5__Fee-British,0,-8.8820000000000011E-16,-0.0000000000000009,3,5,2,1,1,0,1,1,0,0.69412099999999999,0.69412099999999999,0,0.210309,0.30586799999999997,0.095559,0.54156899999999997,0.44122499999999998,-0.100344,0.55996400000000002,0.49999500000000002,-0.059969,10.403499999999999,10.4338,0.0303000000000004,9.4340700000000002,9.4338300000000004,-0.0002399999999998,19.837499999999999,19.867599999999999,0.0301000000000009,0.162471,0.13236700000000001,-0.030104,10.403499999999999,10.4338,0.0303000000000004,9.4340700000000002,9.4338300000000004,-0.0002399999999998,0,0,0,0.162471,0.13236700000000001,-0.030104,0,0,0,0,0,0,0,0,0,0,0,0,0.162471,0.13236700000000001,-0.030104,0.20668700000000001,0.21257599999999999,0.005889,0.198633,0.17032600000000001,-0.028307,0.395764,0.49998999999999999,0.104226,0,0,0,0,0,0,0.45843099999999998,0.55877500000000002,0.100344,0,0,0,0,0,0,0,0,0,0.23830999999999999,0.22061500000000001,-0.017695,0.303259,0.22061,-0.082649,0,0,0,1,1,0,0.458431,0.558775,0.100344,0.458431,0.558775,0.100344,0.162471,0.13236700000000001,-0.030104,0.484689486284,0.49999191225,0.015302425966,0,-0.00000075,-0.00000075,0.484689486284,0.49999116225,0.015301675966,0.39727,0.340656,-0.056614,0.351727,0.340644,-0.011083,0.0616431,0.0845049,0.0228618,0.40532,0.382902,-0.022418
All litigation costs avoidable at bargaining,1,10,Specification-AllCostsAvoidable__Cost-1__Fee-American,Specification-AllCostsAvoidable__Cost-1__Fee-British,-8.8820000000000011E-16,-8.8820000000000011E-16,0,4,3,-1,1,1,0,1,1,0,0.75691399999999998,0.78968300000000002,0.032769,0.243066,0.210309,-0.032757,0.28797400000000001,0.25620500000000002,-0.031769,0.499996,0.49999700000000002,0.000001,10.413600000000001,10.4231,0.0094999999999992,9.4136199999999999,9.4231499999999997,0.0095299999999998,19.827200000000001,19.846299999999999,0.0190999999999981,0.17278399999999999,0.153723,-0.019061,10.413600000000001,10.4231,0.0094999999999992,9.4136199999999999,9.4231499999999997,0.0095299999999998,0,0,0,0.17278399999999999,0.153723,-0.019061,0,0,0,0,0,0,0,0,0,0,0,0,0.17278399999999999,0.153723,-0.019061,0.21352299999999999,0.21913199999999999,0.005609,0.18659400000000001,0.17166999999999999,-0.014924,0.49997599999999998,0.49998900000000002,0.000013,0,0,0,0,0,0,0.425456,0.35476200000000002,-0.070694,0.1432828,0.1945215,0.0512387,0.1432868,0.1945115,0.0512247,0.0136916,0.023823,0.0101314,0.143988,0.12810299999999999,-0.015885,0.143986,0.12810199999999999,-0.015884,0,0,0,1,1,0,0.425456,0.354762,-0.070694,0.425456,0.354762,-0.070694,0.17278399999999999,0.153723,-0.019061,0.499990589056,0.499990597618,0.000000008562,-0,-0.0000003,-0.0000003,0.499990589056,0.499990297618,-0.000000291438,0.373193,0.343344,-0.029849,0.37318,0.343329,-0.029851,0.053862,0.0949314,0.0410694,0.400117,0.390802,-0.009315
All litigation costs avoidable at bargaining,2,10,Specification-AllCostsAvoidable__Cost-2__Fee-American,Specification-AllCostsAvoidable__Cost-2__Fee-British,8.8820000000000011E-16,3.5529999999999999E-15,0.0000000000000027,3,4,1,1,1,0,1,1,0,0.83005099999999998,0.87759500000000001,0.047544,0.122403,0.122403,0,0.14618400000000001,0.118738,-0.027446,0.54034899999999997,0.499996,-0.040353,10.395,10.428699999999999,0.0336999999999996,9.4295299999999997,9.4287700000000001,-0.0007599999999997,19.8246,19.857500000000002,0.0329000000000015,0.17542099999999999,0.142486,-0.032935,10.395,10.428699999999999,0.0336999999999996,9.4295299999999997,9.4287700000000001,-0.0007599999999997,0,0,0,0.17542099999999999,0.142486,-0.032935,0,0,0,0,0,0,0,0,0,0,0,0,0.17542099999999999,0.142486,-0.032935,0.20488100000000001,0.21365500000000001,0.008774,0.197437,0.17079800000000001,-0.026639,0.388625,0.49999300000000002,0.111368,0,0,0,0,0,0,0.213448,0.16078899999999999,-0.052659,0.3195519,0.3602435,0.0406916,0.3208159,0.3602295,0.0394136,0.0809338,0.104869,0.0239352,0.067193699999999995,0.059369499999999999,-0.0078242,0.078990500000000005,0.059368600000000001,-0.0196219,0,0,0,1,1,0,0.213448,0.160789,-0.052659,0.213448,0.160789,-0.052659,0.17542099999999999,0.142486,-0.032935,0.482757629,0.499991474477,0.017233845477,0,-0.00000054,-0.00000054,0.482757629,0.499990934477,0.017233305477,0.394879,0.341601,-0.053278,0.350335,0.341588,-0.008747,0.0594224,0.0857185,0.0262961,0.402318,0.384453,-0.017865
All litigation costs avoidable at bargaining,4,10,Specification-AllCostsAvoidable__Cost-4__Fee-American,Specification-AllCostsAvoidable__Cost-4__Fee-British,-5.3290000000000004E-15,1.7760000000000001E-15,0.0000000000000071,4,4,0,1,1,0,1,1,0,0.94999999999999996,0.70601499999999995,-0.243985,0.32703700000000002,0.29395199999999999,-0.033085,0.072652999999999995,0.041005,-0.031648,0.42420999999999998,0.49998799999999999,0.075778,10.460599999999999,10.450799999999999,-0.0098000000000003,9.3650599999999997,9.4507999999999992,0.0857399999999995,19.825600000000001,19.901599999999998,0.075999999999997,0.17436599999999999,0.098412899999999998,-0.0759531,10.460599999999999,10.450799999999999,-0.0098000000000003,9.3650599999999997,9.4507999999999992,0.0857399999999995,0,0,0,0.17436599999999999,0.098412899999999998,-0.0759531,0,0,0,0,0,0,0,0,0,0,0,0,0.17436599999999999,0.098412899999999998,-0.0759531,0.24258099999999999,0.199962,-0.042619,0.16199,0.17091700000000001,0.008927,0.94999999999999996,,,0,0,0,0,0,0,0.080447599999999994,0,-0.0804476,0.4063865,0.479505,0.0731185,0.4405135,0.47949,0.0389765,0.173267,0.25620999999999999,0.082943,0.0418327,0.020503199999999999,-0.0213295,0.03082,0.020502200000000002,-0.0103178,0,0,0,1,1,0,0.0804476,0,-0.0804476,0.0804476,0,-0.0804476,0.17436599999999999,0.098412899999999998,-0.0759531,0.54775872,0.4999922,-0.04776652,-0,-0.0000012,-0.0000012,0.54775872,0.499991,-0.04776772,0.323984,0.341839,0.017855,0.437786,0.341826,-0.09596,0.0473712,0.0580953,0.0107241,0.404571,0.370879,-0.033692
