"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","All",1,0,1,0.499999,0.24938,0.24938,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.235694,,,,,0.00341752,0.0101397,0.000129,0.5,10.0465,9.65413,19.7006,0.299411,1000.01,999.195,0.299411,0.109368,0.452325,0.561693,0.0644711,0.423508,0,0.299411,0,0,0,0,0,0.235694,0.771898,0.00341752,0.0101397,0,0.499998,0,2.78829E-05,0.11592,0.11026,0.10021,0.08998,0.08363,0.08363,0.08998,0.10021,0.11026,0.11592,0.115916,0.110263,0.100214,0.0899811,0.0836291,0.0836291,0.0899811,0.100214,0.110263,0.11591,0.24938,0.24938,0.75062,0,0.235694,0.00341752,0.0101397,6.44483E-5,6.4448E-5
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","DisputeArises",1,0,1,0.499999,0.24938,0.24938,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.235694,,,,,0.00341752,0.0101397,0.000129,0.5,10.0465,9.65413,19.7006,0.299411,1000.01,999.195,0.299411,0.109368,0.452325,0.561693,0.0644711,0.423508,0,0.299411,0,0,0,0,0,0.235694,0.771898,0.00341752,0.0101397,0,0.499998,0,2.78829E-05,0.11592,0.11026,0.10021,0.08998,0.08363,0.08363,0.08998,0.10021,0.11026,0.11592,0.115916,0.110263,0.100214,0.0899811,0.0836291,0.0836291,0.0899811,0.100214,0.110263,0.11591,0.24938,0.24938,0.75062,0,0.235694,0.00341752,0.0101397,6.44483E-5,6.4448E-5
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PFiles",0.2494,0,1,0.726524,1,1,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.945119,,,,,0.013704,0.0406597,0.000517,0.5,10.1863,8.61306,18.7994,1.20062,1000.03,996.77,1.20062,0.438561,0.761883,1.20044,0.258525,0.646329,0,1.20062,0,0,0,0,0,0.945119,0.771898,0.013704,0.0406597,0,0.953049,0,1.85561,0,0,0,0,0,0,0,0.0930317,0.442136,0.464832,0.0161918,0.0213797,0.0305144,0.0456925,0.068465,0.098795,0.134272,0.169915,0.199145,0.21563,1,1,0,0,0.945119,0.013704,0.0406597,0.00025843,0.0002584
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","DAnswers",0.2494,0,1,0.726524,1,1,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.945119,,,,,0.013704,0.0406597,0.000517,0.5,10.1863,8.61306,18.7994,1.20062,1000.03,996.77,1.20062,0.438561,0.761883,1.20044,0.258525,0.646329,0,1.20062,0,0,0,0,0,0.945119,0.771898,0.013704,0.0406597,0,0.953049,0,1.85561,0,0,0,0,0,0,0,0.0930317,0.442136,0.464832,0.0161918,0.0213797,0.0305144,0.0456925,0.068465,0.098795,0.134272,0.169915,0.199145,0.21563,1,1,0,0,0.945119,0.013704,0.0406597,0.00025843,0.0002584
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Litigated",0.2494,0,1,0.726524,1,1,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.945119,,,,,0.013704,0.0406597,0.000517,0.5,10.1863,8.61306,18.7994,1.20062,1000.03,996.77,1.20062,0.438561,0.761883,1.20044,0.258525,0.646329,0,1.20062,0,0,0,0,0,0.945119,0.771898,0.013704,0.0406597,0,0.953049,0,1.85561,0,0,0,0,0,0,0,0.0930317,0.442136,0.464832,0.0161918,0.0213797,0.0305144,0.0456925,0.068465,0.098795,0.134272,0.169915,0.199145,0.21563,1,1,0,0,0.945119,0.013704,0.0406597,0.00025843,0.0002584
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Not Litigated",0.7506,0,1,0.42474,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.34948,0.34948,0,0.34948,0,0,0,0,0,0,0,0,,0,0,0,0.34948,0,-0.616458,0.154432,0.146892,0.133503,0.119874,0.111415,0.111415,0.119874,0.102595,0,0,0.149048,0.139793,0.12337,0.104695,0.0886671,0.0785905,0.0752663,0.0770572,0.0807334,0.0827795,0,0,1,0,0,0,0,0,0
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Settles",0.2357,0,1,0.730639,1,1,1,1,0.752191,0.791605,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989043,0.791975,0,0,0.0109571,0.208025,1,,,,,0,0,0,,10.1719,8.6281,18.8,1.2,1000.05,997.274,1.2,0.410621,0.795215,1.20584,0.20612,0.659749,0,1.2,0,0,0,0,0,1,0.771898,0,0,0,0.961278,0,1.71553,0,0,0,0,0,0,0,0.0957158,0.460414,0.44387,0.0020095,0.0216871,0.0308043,0.0459701,0.068747,0.0991055,0.134632,0.170335,0.199618,0.227091,1,1,0,0,1,0,0,0,0
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Tried",0.0001,0,1,0.5,1,1,1,1,0.95,0.522695,,,0,0,0,0,0,0,0,0.098226,0,0.340493,0,0.29739,0,0.26389,0,0,0,0,1,0,0,,,,,0,0,1,0.5,9.3,8.3,17.6,2.4,988.839,916.336,2.4,1.25067,0.172273,1.42294,3.17388,0.585729,0,2.4,0,0,0,0,0,0,,0,0,0,0.5,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0.5
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PWins",6.4E-5,0,1,0.699331,1,1,1,1,0.95,0.522695,,,0,0,0,0,0,0,0,0.098226,0,0.340493,0,0.29739,0,0.26389,0,0,0,0,1,0,0,,,,,0,0,1,1,11,6.6,17.6,2.4,1000.16,832.672,2.4,2.50134,0,2.50134,6.34776,0,0,2.4,0,0,0,0,0,0,,0,0,0,0.898663,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","DWins",6.4E-5,0,1,0.300669,1,1,1,1,0.95,0.522695,,,0,0,0,0,0,0,0,0.098226,0,0.340493,0,0.29739,0,0.26389,0,0,0,0,1,0,0,,,,,0,0,1,0,7.6,10,17.6,2.4,977.516,1000,2.4,0,0.344547,0.344547,0,1.17146,0,2.4,0,0,0,0,0,0,,0,0,0,0.101337,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Abandoned",0.0136,0,1,0.657147,1,1,1,1,0.899584,0.692701,,,0,0,0,0,0,0,0,0.0247609,0,0.0858317,0,0.0749663,0,0.0665217,0.252081,0.747919,0,0,0.747919,0,0,,,,,0.252081,0.747919,0,,10.4454,8.35458,18.8,1.2,999.649,988.774,1.2,0.916582,0.187999,1.10458,1.14187,0.413598,0,1.2,0,0,0,0,0,0,,0.252081,0.747919,0,0.814294,0,4.22309,0,0,0,0,0,0,0,0.0472539,0.128574,0.824172,0.253398,0.0162378,0.0257644,0.0413008,0.064212,0.0943368,0.129287,0.164227,0.192806,0.0184302,1,1,0,0,0,0.252081,0.747919,0,0
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","Rounds1",0.2494,0,1,0.726524,1,1,1,1,0.760306,0.786089,,,0,0,0,0,0,0,0,0.00139686,0,0.00484212,0,0.00422916,0,0.00375276,0.948468,0.789171,0,0,0.0515323,0.196608,0.945119,,,,,0.013704,0.0406597,0.000517,0.5,10.1863,8.61306,18.7994,1.20062,1000.03,996.77,1.20062,0.438561,0.761883,1.20044,0.258525,0.646329,0,1.20062,0,0,0,0,0,0.945119,0.771898,0.013704,0.0406597,0,0.953049,0,1.85561,0,0,0,0,0,0,0,0.0930317,0.442136,0.464832,0.0161918,0.0213797,0.0305144,0.0456925,0.068465,0.098795,0.134272,0.169915,0.199145,0.21563,1,1,0,0,0.945119,0.013704,0.0406597,0.00025843,0.0002584
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PrePrimary1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PrePrimary2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PrePrimary3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-DirectBinaryStateSignalsModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits","5.684E-14","2.81E-10","1777","PrePrimary4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
