Costs Multiplier,Fee Regime,Number of Offers,Baseline Specification,Comparison Specification,Baseline OptionSetName,Comparison OptionSetName,Baseline Exploitability,Comparison Exploitability,Difference (Comparison - Baseline) Exploitability,Baseline Calculation Time,Comparison Calculation Time,Difference (Comparison - Baseline) Calculation Time,Baseline P Files,Comparison P Files,Difference (Comparison - Baseline) P Files,Baseline D Answers,Comparison D Answers,Difference (Comparison - Baseline) D Answers,Baseline P Offer,Comparison P Offer,Difference (Comparison - Baseline) P Offer,Baseline D Offer,Comparison D Offer,Difference (Comparison - Baseline) D Offer,Baseline Trial,Comparison Trial,Difference (Comparison - Baseline) Trial,Baseline P Win Probability,Comparison P Win Probability,Difference (Comparison - Baseline) P Win Probability,Baseline P Wealth,Comparison P Wealth,Difference (Comparison - Baseline) P Wealth,Baseline D Wealth,Comparison D Wealth,Difference (Comparison - Baseline) D Wealth,Baseline Total Wealth,Comparison Total Wealth,Difference (Comparison - Baseline) Total Wealth,Baseline Wealth Loss,Comparison Wealth Loss,Difference (Comparison - Baseline) Wealth Loss,Baseline P Welfare,Comparison P Welfare,Difference (Comparison - Baseline) P Welfare,Baseline D Welfare,Comparison D Welfare,Difference (Comparison - Baseline) D Welfare,Baseline Pre-Dispute Social Welfare Loss,Comparison Pre-Dispute Social Welfare Loss,Difference (Comparison - Baseline) Pre-Dispute Social Welfare Loss,Baseline Social Welfare Loss,Comparison Social Welfare Loss,Difference (Comparison - Baseline) Social Welfare Loss,Baseline Opportunity Cost,Comparison Opportunity Cost,Difference (Comparison - Baseline) Opportunity Cost,Baseline Harm Cost,Comparison Harm Cost,Difference (Comparison - Baseline) Harm Cost,Baseline Truly Liable Harm Cost,Comparison Truly Liable Harm Cost,Difference (Comparison - Baseline) Truly Liable Harm Cost,Baseline Truly Not Liable Harm Cost,Comparison Truly Not Liable Harm Cost,Difference (Comparison - Baseline) Truly Not Liable Harm Cost,Baseline Expenditures,Comparison Expenditures,Difference (Comparison - Baseline) Expenditures,Baseline Defendant Excess Net Monetary Burden,Comparison Defendant Excess Net Monetary Burden,Difference (Comparison - Baseline) Defendant Excess Net Monetary Burden,Baseline Plaintiff Net Recovery Shortfall,Comparison Plaintiff Net Recovery Shortfall,Difference (Comparison - Baseline) Plaintiff Net Recovery Shortfall,Baseline Value If Settled,Comparison Value If Settled,Difference (Comparison - Baseline) Value If Settled,Baseline No Suit,Comparison No Suit,Difference (Comparison - Baseline) No Suit,Baseline No Answer,Comparison No Answer,Difference (Comparison - Baseline) No Answer,Baseline Settles,Comparison Settles,Difference (Comparison - Baseline) Settles,Baseline P Abandons,Comparison P Abandons,Difference (Comparison - Baseline) P Abandons,Baseline D Defaults,Comparison D Defaults,Difference (Comparison - Baseline) D Defaults,Baseline Mutual Give-Up Probability Before 50/50 Allocation,Comparison Mutual Give-Up Probability Before 50/50 Allocation,Difference (Comparison - Baseline) Mutual Give-Up Probability Before 50/50 Allocation,Baseline P Loses,Comparison P Loses,Difference (Comparison - Baseline) P Loses,Baseline P Wins,Comparison P Wins,Difference (Comparison - Baseline) P Wins,Baseline Appropriation,Comparison Appropriation,Difference (Comparison - Baseline) Appropriation,Baseline Reaches Bargaining,Comparison Reaches Bargaining,Difference (Comparison - Baseline) Reaches Bargaining,Baseline Settlement Unconditional,Comparison Settlement Unconditional,Difference (Comparison - Baseline) Settlement Unconditional,Baseline Settlement Conditional on Reaching Bargaining,Comparison Settlement Conditional on Reaching Bargaining,Difference (Comparison - Baseline) Settlement Conditional on Reaching Bargaining,Baseline Real Litigation Costs,Comparison Real Litigation Costs,Difference (Comparison - Baseline) Real Litigation Costs,Baseline Liability Transfer to Plaintiff,Comparison Liability Transfer to Plaintiff,Difference (Comparison - Baseline) Liability Transfer to Plaintiff,Baseline Fee-Shifting Transfer to Plaintiff,Comparison Fee-Shifting Transfer to Plaintiff,Difference (Comparison - Baseline) Fee-Shifting Transfer to Plaintiff,Baseline Total Net Transfer to Plaintiff,Comparison Total Net Transfer to Plaintiff,Difference (Comparison - Baseline) Total Net Transfer to Plaintiff,Baseline Meritorious-Plaintiff Net Recovery Shortfall,Comparison Meritorious-Plaintiff Net Recovery Shortfall,Difference (Comparison - Baseline) Meritorious-Plaintiff Net Recovery Shortfall,Baseline Nonliable-Defendant Net Burden,Comparison Nonliable-Defendant Net Burden,Difference (Comparison - Baseline) Nonliable-Defendant Net Burden,Baseline Liable-Defendant Excess Net Burden Above Damages,Comparison Liable-Defendant Excess Net Burden Above Damages,Difference (Comparison - Baseline) Liable-Defendant Excess Net Burden Above Damages,Baseline Net Outcome Fidelity Loss,Comparison Net Outcome Fidelity Loss,Difference (Comparison - Baseline) Net Outcome Fidelity Loss
0.25,American,10,Baseline,All litigation costs avoidable at bargaining,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,-8.8820000000000011E-16,8.8820000000000011E-16,0.0000000000000018,286,192,-94,1,1,0,1,1,0,0.87759500000000001,0.87759500000000001,0,0.122403,0.122403,0,0.83921100000000004,0.83921100000000004,0,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.437099999999999,0.0061,9.4310399999999994,9.4370700000000003,0.0060300000000009,19.862100000000002,19.874099999999999,0.0119999999999969,0.13794100000000001,0.12588199999999999,-0.012059,10.430999999999999,10.437099999999999,0.0061,9.4310399999999994,9.4370700000000003,0.0060300000000009,0,0,0,0.13794100000000001,0.12588199999999999,-0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.12588199999999999,-0.012059,0.203185,0.20016999999999999,-0.003015,0.18159400000000001,0.17857899999999999,-0.003015,0.49999300000000002,0.49999300000000002,0,0,0,0,0,0,0,0.16078899999999999,0.16078899999999999,0,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.41961199999999999,0,0.419599,0.419599,0,0,0,0,1,1,0,0.160789,0.160789,0,0.160789,0.160789,0,0.13794100000000001,0.12588199999999999,-0.012059,0.499992374477,0.499992374477,0,-0,-0,0,0.499992374477,0.499992374477,0,0.363193,0.357163,-0.00603,0.363183,0.357154,-0.006029,0.0431818,0.0431818,0,0.384779,0.378749,-0.00603
0.25,American,10,Baseline,All litigation costs sunk before bargaining,Specification-Baseline__Cost-0.25__Fee-American,Specification-AllCostsSunk__Cost-0.25__Fee-American,-8.8820000000000011E-16,-4.4410000000000002E-15,-0.0000000000000036,286,133,-153,1,1,0,1,1,0,0.87759500000000001,0.84999800000000003,-0.027597,0.122403,0.14999899999999999,0.027596,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.21099300000000001,0.007808,0.18159400000000001,0.18451999999999999,0.002926,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000800000000001,0.080396,0.419599,0.49999199999999999,0.080393,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499992,-0.000000374477,-0,-0,0,0.499992374477,0.499992,-0.000000374477,0.363193,0.369046,0.005853,0.363183,0.369035,0.005852,0.0431818,0.0529466,0.0097648,0.384779,0.395513,0.010734
0.25,American,10,Baseline,Center-weighted continuous merits,Specification-Baseline__Cost-0.25__Fee-American,Specification-CenterWeightedContinuousMerits__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.7760000000000001E-15,-0.0000000000000009,286,125,-161,1,1,0,1,1,0,0.87759500000000001,0.86233499999999996,-0.0152600000000001,0.122403,0.13766200000000001,0.015259,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999399999999999,0.000002,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250100000000003,-0.0060299999999991,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.242594,0.039409,0.18159400000000001,0.21868299999999999,0.037089,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000599999999995,0.080394,0.419599,0.49999399999999999,0.080395,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499994,0.000001625523,-0,-0,0,0.499992374477,0.499994,0.000001625523,0.363193,0.437371,0.074178,0.363183,0.437362,0.074179,0.0431818,0.0478222,0.0046404,0.384779,0.461277,0.076498
0.25,American,10,Baseline,Direct binary-state signals,Specification-Baseline__Cost-0.25__Fee-American,Specification-DirectBinaryStateSignals__Cost-0.25__Fee-American,-8.8820000000000011E-16,8.8820000000000011E-16,0.0000000000000018,286,207,-79,1,1,0,1,1,0,0.87759500000000001,0.81049300000000002,-0.067102,0.122403,0.189499,0.067096,0.83921100000000004,0.93952999999999998,0.100319,0.49999199999999999,0.5,0.000008,10.430999999999999,10.427300000000001,-0.0036999999999985,9.4310399999999994,9.42727,-0.0037699999999994,19.862100000000002,19.854500000000002,-0.0076000000000001,0.13794100000000001,0.14546500000000001,0.007524,10.430999999999999,10.427300000000001,-0.0036999999999985,9.4310399999999994,9.42727,-0.0037699999999994,0,0,0,0.13794100000000001,0.14546500000000001,0.007524,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14546500000000001,0.007524,0.203185,0.121818,-0.081367,0.18159400000000001,0.090155899999999997,-0.0914381,0.49999300000000002,0.49997200000000003,-0.000021,0,0,0,0,0,0,0.16078899999999999,0.060469500000000002,-0.1003195,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.46976600000000002,0.050154,0.419599,0.46976499999999999,0.050166,0,0,0,1,1,0,0.160789,0.0604695,-0.1003195,0.160789,0.0604695,-0.1003195,0.13794100000000001,0.14546500000000001,0.007524,0.499992374477,0.499998056854,0.000005682377,-0,-0,0,0.499992374477,0.499998056854,0.000005682377,0.363193,0.180313,-0.18288,0.363183,0.180312,-0.182871,0.0431818,0.0633243,0.0201425,0.384779,0.2119739,-0.1728051
0.25,American,10,Baseline,High noise,Specification-Baseline__Cost-0.25__Fee-American,Specification-HighNoise__Cost-0.25__Fee-American,-8.8820000000000011E-16,-2.6650000000000001E-15,-0.0000000000000018,286,132,-154,1,1,0,1,1,0,0.87759500000000001,0.84999999999999998,-0.027595,0.122403,0.14999999999999999,0.027597,0.83921100000000004,1,0.160789,0.49999199999999999,0.49999700000000002,0.000005,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250000000000007,-0.0060399999999987,19.862100000000002,19.850000000000001,-0.0121000000000002,0.13794100000000001,0.14999999999999999,0.012059,10.430999999999999,10.425000000000001,-0.0059999999999985,9.4310399999999994,9.4250000000000007,-0.0060399999999987,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.14999999999999999,0.012059,0.203185,0.25767800000000002,0.054493,0.18159400000000001,0.234988,0.053394,0.49999300000000002,,,0,0,0,0,0,0,0.16078899999999999,0,-0.160789,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.50000299999999998,0.080391,0.419599,0.49999700000000002,0.080398,0,0,0,1,1,0,0.160789,0,-0.160789,0.160789,0,-0.160789,0.13794100000000001,0.14999999999999999,0.012059,0.499992374477,0.499997,0.000004625523,-0,-0,0,0.499992374477,0.499997,0.000004625523,0.363193,0.469979,0.106786,0.363183,0.469976,0.106793,0.0431818,0.0453766,0.0021948,0.384779,0.492666,0.107887
0.25,American,10,Baseline,Low noise,Specification-Baseline__Cost-0.25__Fee-American,Specification-LowNoise__Cost-0.25__Fee-American,-8.8820000000000011E-16,0,0.0000000000000009,286,221,-65,1,1,0,1,1,0,0.87759500000000001,0.68082799999999999,-0.196767,0.122403,0.319187,0.196784,0.83921100000000004,0.401922,-0.437289,0.49999199999999999,0.500004,0.000012,10.430999999999999,10.4474,0.0164000000000009,9.4310399999999994,9.4474199999999993,0.0163799999999998,19.862100000000002,19.8949,0.0327999999999982,0.13794100000000001,0.105144,-0.032797,10.430999999999999,10.4474,0.0164000000000009,9.4310399999999994,9.4474199999999993,0.0163799999999998,0,0,0,0.13794100000000001,0.105144,-0.032797,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.105144,-0.032797,0.203185,0.17438300000000001,-0.028802,0.18159400000000001,0.16524800000000001,-0.016346,0.49999300000000002,0.50001300000000004,0.00002,0,0,0,0,0,0,0.16078899999999999,0.598078,0.437289,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.200959,-0.218653,0.419599,0.200962,-0.218637,0,0,0,1,1,0,0.160789,0.598078,0.437289,0.160789,0.598078,0.437289,0.13794100000000001,0.105144,-0.032797,0.499992374477,0.500008775014,0.000016400537,-0,0,0,0.499992374477,0.500008775014,0.000016400537,0.363193,0.33049,-0.032703,0.363183,0.330502,-0.032681,0.0431818,0.0182703,-0.0249115,0.384779,0.339631,-0.045148
0.25,American,10,Baseline,Low noise plus moderate risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-LowNoiseModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-1.7050000000000001E-13,-0.0000000000001696,286,332,46,1,1,0,1,1,0,0.87759500000000001,0.54339999999999999,-0.334195,0.122403,0.45697500000000002,0.334572,0.83921100000000004,0.120349,-0.718862,0.49999199999999999,0.49105199999999999,-0.00894,10.430999999999999,10.4602,0.0292000000000012,9.4310399999999994,9.4558199999999992,0.0247799999999998,19.862100000000002,19.916,0.0538999999999987,0.13794100000000001,0.084026199999999995,-0.0539148,10.430999999999999,1000.08,989.649,9.4310399999999994,999.41999999999996,989.98896,0,0,0,0.13794100000000001,0.084026199999999995,-0.0539148,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.084026199999999995,-0.0539148,0.203185,0.16961899999999999,-0.033566,0.18159400000000001,0.16314799999999999,-0.018446,0.49999300000000002,0.49245499999999998,-0.007538,0,0,0,0,0,0,0.16078899999999999,0.76909899999999998,0.60831,0,0.0462253,0.0462253,0,0.0643268,0.0643268,0,0,0,0.41961199999999999,0.061251199999999999,-0.3583608,0.419599,0.059097499999999997,-0.3605015,0,0,0,1,1,0,0.160789,0.769099,0.60831,0.160789,0.769099,0.60831,0.13794100000000001,0.084026199999999995,-0.0539148,0.499992374477,0.502170948045,0.0021785735679999,-0,-0,0,0.499992374477,0.502170948045,0.0021785735679999,0.363193,0.32629,-0.036903,0.363183,0.330676,-0.032507,0.0431818,0.0085671,-0.0346147,0.384779,0.332767,-0.052012
0.25,American,10,Baseline,Mandatory filing and answering,Specification-Baseline__Cost-0.25__Fee-American,Specification-MandatoryFilingAndAnswering__Cost-0.25__Fee-American,-8.8820000000000011E-16,-4.4410000000000002E-15,-0.0000000000000036,286,143,-143,1,1,0,1,1,0,0.87759500000000001,0.87759500000000001,0,0.122403,0.122403,0,0.83921100000000004,0.83921100000000004,0,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.430999999999999,0,9.4310399999999994,9.4310399999999994,0,19.862100000000002,19.862100000000002,0,0.13794100000000001,0.13794100000000001,0,10.430999999999999,10.430999999999999,0,9.4310399999999994,9.4310399999999994,0,0,0,0,0.13794100000000001,0.13794100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.13794100000000001,0,0.203185,0.203185,0,0.18159400000000001,0.18159400000000001,0,0.49999300000000002,0.49999300000000002,0,0,0,0,0,0,0,0.16078899999999999,0.16078899999999999,0,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.41961199999999999,0,0.419599,0.419599,0,0,0,0,1,1,0,0.160789,0.160789,0,0.160789,0.160789,0,0.13794100000000001,0.13794100000000001,0,0.499992374477,0.499992374477,0,-0,-0,0,0.499992374477,0.499992374477,0,0.363193,0.363193,0,0.363183,0.363183,0,0.0431818,0.0431818,0,0.384779,0.384779,0
0.25,American,10,Baseline,Mandatory filing and answering; no later exit,Specification-Baseline__Cost-0.25__Fee-American,Specification-MandatoryFilingAnsweringNoExit__Cost-0.25__Fee-American,-8.8820000000000011E-16,8.8820000000000011E-16,0.0000000000000018,286,76,-210,1,1,0,1,1,0,0.87759500000000001,0.87759500000000001,0,0.122403,0.122403,0,0.83921100000000004,0.83921100000000004,0,0.49999199999999999,0.49999199999999999,0,10.430999999999999,10.430999999999999,0,9.4310399999999994,9.4310399999999994,0,19.862100000000002,19.862100000000002,0,0.13794100000000001,0.13794100000000001,0,10.430999999999999,10.430999999999999,0,9.4310399999999994,9.4310399999999994,0,0,0,0,0.13794100000000001,0.13794100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.13794100000000001,0,0.203185,0.203185,0,0.18159400000000001,0.18159400000000001,0,0.49999300000000002,0.49999300000000002,0,0,0,0,0,0,0,0.16078899999999999,0.16078899999999999,0,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.41961199999999999,0,0.419599,0.419599,0,0,0,0,1,1,0,0.160789,0.160789,0,0.160789,0.160789,0,0.13794100000000001,0.13794100000000001,0,0.499992374477,0.499992374477,0,-0,-0,0,0.499992374477,0.499992374477,0,0.363193,0.363193,0,0.363183,0.363183,0,0.0431818,0.0431818,0,0.384779,0.384779,0
0.25,American,10,Baseline,Moderate symmetric risk aversion,Specification-Baseline__Cost-0.25__Fee-American,Specification-ModerateRiskAversion__Cost-0.25__Fee-American,-8.8820000000000011E-16,-3.9789999999999995E-13,-0.000000000000397,286,654,368,1,1,0,1,1,0,0.87759500000000001,0.478323,-0.399272,0.122403,0.51075499999999996,0.388352,0.83921100000000004,0.16905800000000001,-0.670153,0.49999199999999999,0.47803899999999999,-0.021953,10.430999999999999,10.451599999999999,0.0206,9.4310399999999994,9.4607700000000001,0.0297300000000007,19.862100000000002,19.912299999999998,0.0501999999999967,0.13794100000000001,0.087679400000000005,-0.0502616,10.430999999999999,1000.09,989.659,9.4310399999999994,999.50999999999999,990.07896,0,0,0,0.13794100000000001,0.087679400000000005,-0.0502616,0,0,0,0,0,0,0,0,0,0,0,0,0.13794100000000001,0.087679400000000005,-0.0502616,0.203185,0.200317,-0.002868,0.18159400000000001,0.200937,0.019343,0.49999300000000002,0.49892300000000001,-0.00107,0,0,0,0,0,0,0.16078899999999999,0.83094199999999996,0.670153,0,0,0,0,0,0,0,0,0,0.41961199999999999,0.088241799999999995,-0.3313702,0.419599,0.080816499999999999,-0.3387825,0,0,0,1,1,0,0.160789,0.830942,0.670153,0.160789,0.830942,0.670153,0.13794100000000001,0.087679400000000005,-0.0502616,0.499992374477,0.495392575466,-0.004599799011,-0,-0,0,0.499992374477,0.495392575466,-0.004599799011,0.363193,0.40188,0.038687,0.363183,0.393043,0.02986,0.0431818,0.007586,-0.0355958,0.384779,0.401254,0.016475
