"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","All",1,0,1,0.499999,0.831999,0.207225,1,1,0.326157,0.25,,,0,0,0,0,0.847687,1,0,0,0,0,0,0,0,0,0.152313,0,0,0,0,0,0.175662,,,,,0,0.0164671,0.015096,0.314733,10.1817,9.1767,19.3584,0.64165,10.1817,9.1767,0.64165,0.329849,0.308876,0.638725,0.320168,0.196728,0,0.64165,0,0,0,0,0,0.175662,0.25,0,0.0164671,0,0.499998,0,2.78829E-05,0.11592,0.11026,0.10021,0.08998,0.08363,0.08363,0.08998,0.10021,0.11026,0.11592,0.115916,0.110263,0.100214,0.0899811,0.0836291,0.0836291,0.0899811,0.100214,0.110263,0.11591,0.831999,0.207225,0.168001,0.624774,0.175662,0,0.0164671,0.0103448,0.0047512
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","NoDispute",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","DisputeArises",1,0,1,0.499999,0.831999,0.207225,1,1,0.326157,0.25,,,0,0,0,0,0.847687,1,0,0,0,0,0,0,0,0,0.152313,0,0,0,0,0,0.175662,,,,,0,0.0164671,0.015096,0.314733,10.1817,9.1767,19.3584,0.64165,10.1817,9.1767,0.64165,0.329849,0.308876,0.638725,0.320168,0.196728,0,0.64165,0,0,0,0,0,0.175662,0.25,0,0.0164671,0,0.499998,0,2.78829E-05,0.11592,0.11026,0.10021,0.08998,0.08363,0.08363,0.08998,0.10021,0.11026,0.11592,0.115916,0.110263,0.100214,0.0899811,0.0836291,0.0836291,0.0899811,0.100214,0.110263,0.11591,0.831999,0.207225,0.168001,0.624774,0.175662,0,0.0164671,0.0103448,0.0047512
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","PFiles",0.832,0,1,0.546993,1,0.249069,1,1,0.326157,0.25,,,0,0,0,0,0.847687,1,0,0,0,0,0,0,0,0,0.152313,0,0,0,0,0,0.211133,,,,,0,0.0197922,0.018144,0.314733,10.2183,9.01046,19.2288,0.771215,10.2183,9.01046,0.771215,0.396454,0.364272,0.760726,0.384818,0.229478,0,0.771215,0,0,0,0,0,0.211133,0.25,0,0.0197922,0,0.593986,0,0.427812,0,0.0699265,0.120445,0.108149,0.100517,0.100517,0.108149,0.120445,0.132524,0.139327,0.095228,0.0918236,0.0857542,0.0807928,0.0804829,0.0867749,0.0991692,0.114673,0.128702,0.136599,1,0.249069,0,0.750931,0.211133,0,0.0197922,0.0124337,0.0057106
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","DAnswers",0.2072,0,1,0.291578,1,1,1,1,0.326157,0.25,,,0,0,0,0,0.847687,1,0,0,0,0,0,0,0,0,0.152313,0,0,0,0,0,0.847687,,,,,0,0.0794648,0.072848,0.314733,9.67061,9.04198,18.7126,1.28742,9.67061,9.04198,1.28742,0.878459,0.0815329,0.959992,0.83174,0.0927423,0,1.28742,0,0,0,0,0,0.847687,0.25,0,0.0794648,0,0.0831568,0,2.65221,0,0.149733,0.24234,0.191898,0.141835,0.0992226,0.0674623,0.0465044,0.0340388,0.0269664,0.382335,0.368667,0.248997,0,0,0,0,0,0,0,1,1,0,0,0.847687,0,0.0794648,0.0499205,0.0229277
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","Litigated",0.2072,0,1,0.291578,1,1,1,1,0.326157,0.25,,,0,0,0,0,0.847687,1,0,0,0,0,0,0,0,0,0.152313,0,0,0,0,0,0.847687,,,,,0,0.0794648,0.072848,0.314733,9.67061,9.04198,18.7126,1.28742,9.67061,9.04198,1.28742,0.878459,0.0815329,0.959992,0.83174,0.0927423,0,1.28742,0,0,0,0,0,0.847687,0.25,0,0.0794648,0,0.0831568,0,2.65221,0,0.149733,0.24234,0.191898,0.141835,0.0992226,0.0674623,0.0465044,0.0340388,0.0269664,0.382335,0.368667,0.248997,0,0,0,0,0,0,0,1,1,0,0,0.847687,0,0.0794648,0.0499205,0.0229277
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","Not Litigated",0.7928,0,1,0.554478,0.788085,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10.3152,9.21192,19.5271,0.472851,10.3152,9.21192,0.472851,0.186447,0.368302,0.554749,0.186447,0.223909,0,0.472851,0,0,0,0,0,0,,0,0,0,0.608957,0,-0.693232,0.146221,0.0999422,0.0630583,0.0633393,0.0684158,0.0795542,0.095866,0.114248,0.130184,0.139172,0.046276,0.042718,0.0613232,0.113501,0.105489,0.105489,0.113501,0.126409,0.139085,0.146208,0.788085,0,0.211915,0.788085,0,0,0,0,0
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","Settles",0.1757,0,1,0.264128,1,1,1,1,0.25,0.25,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,,9.65,9.15,18.8,1.2,9.65,9.15,1.2,0.825982,0.0381469,0.864128,0.702084,0.0514984,0,1.2,0,0,0,0,0,1,0.25,0,0,0,0.028257,0,2.00264,0,0.176637,0.285884,0.226379,0.16732,0.117051,0.0267303,0,0,0,0.395169,0.369848,0.234983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","Tried",0.0151,0,1,0.38382,1,1,1,1,0.75,0.25,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0,0,1,0.314733,9.11473,8.48527,17.6,2.4,9.11473,8.48527,2.4,1.24709,0.348289,1.59538,1.65436,0.477615,0,2.4,0,0,0,0,0,0,,0,0,0,0.267639,0,6.82968,0,0,0,0,0,0,0.326449,0.315973,0.209085,0.148493,0.65006,0.34994,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.685267,0.314733
"Specification-DirectBinaryStateSignals__Cost-4__Fee-American","0","308","PWins",0.0048,0,1,0.632098,1,1,1,1,0.75,0.25,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0,0,1,1,9.8,7.8,17.6,2.4,9.8,7.8,2.4,1.4358,0.917035,2.35284,2.24173,1.10044,0,2.4,0,0,0,0,0,0,,0,0,0,0.764196,0,7.16045,0,0,0,0,0,0,0.193969,0.272422,0.268064,0.265546,0.555267,0.444733,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
