"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","All",1,0,1,0.500001,0.67984,0.280076,1,1,0.537911,0.225322,,,0.172433,,,,,0.0150941,0.02966,0.060454,0.445517,10.4546,9.46432,1000.07,999.359,0.0810618,0.106765,0.114068,0.220833,0.093144,0.0871662,0,0,0.172433,0.307714,0.0163117,0.0308776,0.00243532,0.500001,0,-1.77795E-05,0.67984,0.280076,0.32016,0.399764,0.172433,0.0150941,0.02966,0.0335208,0.0269333
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","DisputeArises",1,0,1,0.500001,0.67984,0.280076,1,1,0.537911,0.225322,,,0.172433,,,,,0.0150941,0.02966,0.060454,0.445517,10.4546,9.46432,1000.07,999.359,0.0810618,0.106765,0.114068,0.220833,0.093144,0.0871662,0,0,0.172433,0.307714,0.0163117,0.0308776,0.00243532,0.500001,0,-1.77795E-05,0.67984,0.280076,0.32016,0.399764,0.172433,0.0150941,0.02966,0.0335208,0.0269333
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","PFiles",0.6798,0,0.67984,0.660601,1,0.411973,1,1,0.537911,0.225322,,,0.253637,,,,,0.0222024,0.0436278,0.088924,0.445517,10.6687,9.21205,1000.11,999.057,0.119237,0.157044,0.13024,0.287284,0.137009,0.0906686,0,0,0.253637,0.307714,0.0239935,0.0454189,0.00358219,0.697922,0,0.152291,1,0.411973,0,0.588027,0.253637,0.0222024,0.0436278,0.0493069,0.0396172
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","DAnswers",0.2801,0,0.280076,0.453933,1,1,1,1,0.537911,0.225322,,,0.615663,,,,,0.0538927,0.1059,0.215849,0.445517,10.3029,9.51472,1000.04,999.412,0.182377,0.221372,0.221073,0.442445,0.172739,0.212954,0,0,0.615663,0.307714,0.0582403,0.110247,0.0086952,0.426581,0,0.706424,1,1,0,0,0.615663,0.0538927,0.1059,0.119685,0.0961644
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","Litigated",0.2801,0,0.280076,0.453933,1,1,1,1,0.537911,0.225322,,,0.615663,,,,,0.0538927,0.1059,0.215849,0.445517,10.3029,9.51472,1000.04,999.412,0.182377,0.221372,0.221073,0.442445,0.172739,0.212954,0,0,0.615663,0.307714,0.0582403,0.110247,0.0086952,0.426581,0,0.706424,1,1,0,0,0.615663,0.0538927,0.1059,0.119685,0.0961644
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","Not Litigated",0.7199,0,0.719924,0.517923,0.555286,0,1,1,,,,,0,,,,,0,0,0,,10.5136,9.44471,1000.09,999.338,0.0416465,0.0621786,0.0724398,0.134618,0.0621786,0.0382304,0,0,0,,0,0,0,0.528564,0,-0.274849,0.555286,0,0.444714,0.555286,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","Settles",0.1724,0,0.172433,0.424965,1,1,1,1,0.280659,0.334769,,,1,,,,,0,0,0,,10.2327,9.61729,1000.04,999.616,0.15,0.169673,0.220027,0.389699,0.10428,0.198658,0,0,1,0.307714,0,0,0,0.380382,0,0.339877,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","Tried",0.0605,0,0.0604542,0.479846,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.445517,10.2873,9.41266,1000.01,999.103,0.3,0.313782,0.272912,0.586694,0.296353,0.312062,0,0,0,,0,0,0,0.465025,0,1.72573,1,1,0,0,0,0,0,0.554483,0.445517
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","2","PWins",0.0269,0,0.0269333,0.543506,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,10.925,8.775,1000.16,998.024,0.3,0.645811,0.0434392,0.68925,0.660801,0.00325794,0,0,0,,0,0,0,0.579189,0,1.78066,1,1,0,0,0,0,0,0,1
