"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","All",1,0,1,0.500001,0.78452,0.464363,1,1,0.5352,0.327343,,,0.239899,,,,,0.0638328,0.085437,0.075194,0.402633,10.4543,9.4408,1000.08,999.371,0.104945,0.130625,0.11961,0.250236,0.0925156,0.0783275,0,0,0.239899,0.345424,0.0638328,0.085437,0,0.500001,0,-1.77795E-05,0.78452,0.464363,0.21548,0.320157,0.239899,0.0638328,0.085437,0.0449183,0.0302755
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","DisputeArises",1,0,1,0.500001,0.78452,0.464363,1,1,0.5352,0.327343,,,0.239899,,,,,0.0638328,0.085437,0.075194,0.402633,10.4543,9.4408,1000.08,999.371,0.104945,0.130625,0.11961,0.250236,0.0925156,0.0783275,0,0,0.239899,0.345424,0.0638328,0.085437,0,0.500001,0,-1.77795E-05,0.78452,0.464363,0.21548,0.320157,0.239899,0.0638328,0.085437,0.0449183,0.0302755
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","PFiles",0.7845,0,0.78452,0.603854,1,0.591907,1,1,0.5352,0.327343,,,0.305791,,,,,0.0813654,0.108904,0.095847,0.402633,10.579,9.2872,1000.1,999.199,0.13377,0.166504,0.137327,0.303831,0.117926,0.0847054,0,0,0.305791,0.345424,0.0813654,0.108904,0,0.622198,0,0.137993,1,0.591907,0,0.408093,0.305791,0.0813654,0.108904,0.0572558,0.0385911
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","DAnswers",0.4644,0,0.464363,0.440331,1,1,1,1,0.5352,0.327343,,,0.51662,,,,,0.137463,0.183988,0.161929,0.402633,10.3405,9.48522,1000.06,999.468,0.174289,0.226338,0.184421,0.410759,0.144269,0.139537,0,0,0.51662,0.345424,0.137463,0.183988,0,0.416684,0,0.456082,1,1,0,0,0.51662,0.137463,0.183988,0.0967311,0.065198
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","Litigated",0.4644,0,0.464363,0.440331,1,1,1,1,0.5352,0.327343,,,0.51662,,,,,0.137463,0.183988,0.161929,0.402633,10.3405,9.48522,1000.06,999.468,0.174289,0.226338,0.184421,0.410759,0.144269,0.139537,0,0,0.51662,0.345424,0.137463,0.183988,0,0.416684,0,0.456082,1,1,0,0,0.51662,0.137463,0.183988,0.0967311,0.065198
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","Not Litigated",0.5356,0,0.535637,0.551731,0.597713,0,1,1,,,,,0,,,,,0,0,0,,10.5529,9.40229,1000.09,999.288,0.0448284,0.0476491,0.0634235,0.111073,0.0476491,0.0252629,0,0,0,,0,0,0,0.572232,0,-0.395427,0.597713,0,0.402287,0.597713,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","Settles",0.2399,0,0.239899,0.384502,1,1,1,1,0.331987,0.358861,,,1,,,,,0,0,0,,10.2704,9.57958,1000.06,999.707,0.15,0.233565,0.202678,0.436242,0.121034,0.130991,0,0,1,0.345424,0,0,0,0.338727,0,-0.324834,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","Tried",0.0752,0,0.0751939,0.462555,1,1,1,1,0.70347,0.20924,,,0,,,,,0,0,1,0.402633,10.2526,9.44737,1000.02,999.287,0.3,0.276772,0.253909,0.530681,0.21982,0.254857,0,0,0,,0,0,0,0.436082,0,1.89086,1,1,0,0,0,0,0,0.597367,0.402633
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","4","PWins",0.0303,0,0.0302755,0.56667,1,1,1,1,0.82265,0.349831,,,0,,,,,0,0,1,1,10.85,8.85,1000.15,998.326,0.3,0.535083,0.0922376,0.62732,0.523107,0.0138356,0,0,0,,0,0,0,0.614917,0,1.9447,1,1,0,0,0,0,0,0,1
