"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","All",1,0,1,0.5,1,0.824492,1,1,0.727184,0.162162,,,0.296357,,,,,0.126556,0.147479,0.214723,0.740145,10.5208,9.31016,1000.08,999.103,0.169045,0.2425,0.101045,0.343545,0.189968,0.0757555,0,0,0.296357,0.346076,0.146244,0.167167,0.0393761,0.5,0,9.972E-06,1,0.824492,0,0.175508,0.296357,0.126556,0.147479,0.0557969,0.158927
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","DisputeArises",1,0,1,0.5,1,0.824492,1,1,0.727184,0.162162,,,0.296357,,,,,0.126556,0.147479,0.214723,0.740145,10.5208,9.31016,1000.08,999.103,0.169045,0.2425,0.101045,0.343545,0.189968,0.0757555,0,0,0.296357,0.346076,0.146244,0.167167,0.0393761,0.5,0,9.972E-06,1,0.824492,0,0.175508,0.296357,0.126556,0.147479,0.0557969,0.158927
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","PFiles",1,0,1,0.5,1,0.824492,1,1,0.727184,0.162162,,,0.296357,,,,,0.126556,0.147479,0.214723,0.740145,10.5208,9.31016,1000.08,999.103,0.169045,0.2425,0.101045,0.343545,0.189968,0.0757555,0,0,0.296357,0.346076,0.146244,0.167167,0.0393761,0.5,0,9.972E-06,1,0.824492,0,0.175508,0.296357,0.126556,0.147479,0.0557969,0.158927
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","DAnswers",0.8245,0,0.824492,0.460038,1,1,1,1,0.727184,0.162162,,,0.359442,,,,,0.153496,0.178872,0.260431,0.740145,10.4348,9.37618,1000.07,999.166,0.189065,0.236674,0.110898,0.347571,0.172959,0.0910072,0,0,0.359442,0.346076,0.177375,0.202751,0.047758,0.451013,0,0.475463,1,1,0,0,0.359442,0.153496,0.178872,0.0676743,0.192757
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","Litigated",0.8245,0,0.824492,0.460038,1,1,1,1,0.727184,0.162162,,,0.359442,,,,,0.153496,0.178872,0.260431,0.740145,10.4348,9.37618,1000.07,999.166,0.189065,0.236674,0.110898,0.347571,0.172959,0.0910072,0,0,0.359442,0.346076,0.177375,0.202751,0.047758,0.451013,0,0.475463,1,1,0,0,0.359442,0.153496,0.178872,0.0676743,0.192757
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","Not Litigated",0.1755,0,0.175508,0.687733,1,0,1,1,,,,,0,,,,,0,0,0,,10.925,9,1000.16,998.808,0.075,0.269872,0.0547596,0.324631,0.269872,0.00410697,0,0,0,,0,0,0,0.730128,0,-2.23354,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","Settles",0.2964,0,0.296357,0.295004,1,1,1,1,0.330107,0.362046,,,1,,,,,0,0,0,,10.2711,9.57892,1000.05,999.558,0.15,0.190519,0.0654493,0.255969,0.111531,0.0411979,0,0,1,0.346076,0,0,0,0.262284,0,-1.74011,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","Tried",0.2147,0,0.214723,0.651637,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.740145,10.6262,9.07383,1000.09,998.53,0.3,0.32057,0.167083,0.487653,0.244316,0.153089,0,0,0,,0,0,0,0.697889,0,3.72185,1,1,0,0,0,0,0,0.259855,0.740145
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,2","2","PWins",0.1589,0,0.158927,0.728448,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,10.925,8.775,1000.16,998.024,0.3,0.416897,0.0606078,0.477504,0.328875,0.00454558,0,0,0,,0,0,0,0.808103,0,4.18606,1,1,0,0,0,0,0,0,1
