OptionSetName,Requested Priors,Attempted Solves,Inexact Attempts,Exact Attempts,Verified Recoveries,Distinct Reported Strategy Profiles,Equilibrium Number,Recovery Count,Recovery Share of Verified Recoveries,Verification Status,Distinctness Criterion
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,1,10,0.20000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,2,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,3,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,4,5,0.10000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,5,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,6,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,7,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,8,12,0.23999999999999999,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,9,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,10,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,11,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,12,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,13,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,14,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,15,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,16,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,17,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,18,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__Starts-50",50,99,49,50,50,19,19,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
