OptionSetName,Requested Priors,Attempted Solves,Inexact Attempts,Exact Attempts,Verified Recoveries,Distinct Reported Strategy Profiles,Equilibrium Number,Recovery Count,Recovery Share of Verified Recoveries,Verification Status,Distinctness Criterion
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,1,10,0.20000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,2,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,3,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,4,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,5,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,6,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,7,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,8,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,9,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,10,14,0.28000000000000003,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,11,7,0.14000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,12,5,0.10000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,13,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,14,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Starts-50",50,91,49,42,50,15,15,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
