OptionSetName,Requested Priors,Attempted Solves,Inexact Attempts,Exact Attempts,Verified Recoveries,Distinct Reported Strategy Profiles,Equilibrium Number,Recovery Count,Recovery Share of Verified Recoveries,Verification Status,Distinctness Criterion
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,1,7,0.21212121212121213,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,2,7,0.21212121212121213,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,3,7,0.21212121212121213,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,4,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,5,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,6,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,7,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,8,2,0.060606060606060608,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,9,2,0.060606060606060608,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,10,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,11,1,0.030303030303030304,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-ModerateRiskAversion__Cost-1__Fee-American__Starts-50",50,99,49,50,33,12,12,2,0.060606060606060608,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
