OptionSetName,Requested Priors,Attempted Solves,Inexact Attempts,Exact Attempts,Verified Recoveries,Distinct Reported Strategy Profiles,Equilibrium Number,Recovery Count,Recovery Share of Verified Recoveries,Verification Status,Distinctness Criterion
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,1,18,0.35999999999999999,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,2,12,0.23999999999999999,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,3,5,0.10000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,4,3,0.059999999999999998,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,5,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,6,2,0.040000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,7,5,0.10000000000000001,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,8,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,9,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,10,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
"Specification-Baseline__Cost-1__Fee-British__Starts-50",50,99,49,50,50,11,11,1,0.02,"Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors"
