Using SequenceForm
Game: LitigationGame: Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits
CollapseChanceDecisions True
NumOffers 10   
NumPotentialBargainingRounds 1  BargainingRoundsSimultaneous True SimultaneousOffersUltimatelyRevealed True 
NumLiabilityStrengthPoints 2 NumLiabilitySignals 10 PLiabilityNoiseStdev 0.2 DLiabilityNoiseStdev 0.2 CourtLiabilityNoiseStdev 0.2 
NumDamagesStrengthPoints 1 NumDamagesSignals 1 PDamagesNoiseStdev 0.1 DDamagesNoiseStdev 0.1 CourtDamagesNoiseStdev 0.15 
SkipFileAndAnswerDecisions False AllowAbandonAndDefaults True PredeterminedAbandonAndDefaults True IncludeAgreementToBargainDecisions False DeltaOffersOptions N/A 
CostsMultiplier 1 PTrialCosts 0.15 DTrialCosts 0.15 PFilingCost 0.15 DAnswerCost 0.15 PerPartyCostsLeadingUpToBargainingRound 0 
LoserPays True Multiple 1 AfterAbandonment True Rule68 False Margin False (0.7)
PInitialWealth 10 DInitialWealth 10 
DamagesMin 0 DamagesMax 1 DamagesMultiplier 1
RegretAversion 0 
PUtilityCalculator CARA Alpha=2 DUtilityCalculator CARA Alpha=2 
LitigGameDisputeGenerator LitigGameUniformQualityDisputeGenerator QualityDistribution=Uniform(0,1);TruthGivenQuality=Bernoulli(q);GaussLegendreOrder=64
WarmStartOptions NoWarmStart for  iterations
Initializing all game paths...
... Chance nodes 111 decision nodes 4900 (80 information sets) final nodes 40200 total nodes 45211 Initialization milliseconds 1226
Prepping accelerated best response...
... 357 milliseconds. Chance nodes 111 decision nodes 4900 (80 information sets) final nodes 40200 total nodes 45211
Calculating min-max...
... complete 141 milliseconds
Replay risk-averse-complete-cost-1: exact uniform prior, 480 validated actions; expect 1871 pivots.

Game tree has 45211 nodes, of which 40200 are terminal nodes.
    Player 0 has 111 information sets, 210 moves in total
    Player 1 has  40 information sets, 240 moves in total
    Player 2 has  40 information sets, 240 moves in total
Sequence form LCP dimension is 564
    Player 1 has 241 sequences, subject to  41 constraints
    Player 2 has 241 sequences, subject to  41 constraints
Prior 1 of 1
  Pivot 50/1871: z0=1, epsilon=0.3523, flow residual=2.78E-17 (31.2s)
... 100 steps (71158 ms) ...  Pivot 100/1871: z0=1, epsilon=0.3523, flow residual=2.78E-17 (75.0s)
  Pivot 150/1871: z0=1, epsilon=0.3523, flow residual=2.78E-17 (139.1s)
... 200 steps (288307 ms) ...  Pivot 200/1871: z0=0.9499, epsilon=0.3452, flow residual=1.11E-16 (293.4s)
  Pivot 250/1871: z0=0.9554, epsilon=0.3457, flow residual=5.55E-17 (441.9s)
... 300 steps (561231 ms) ...  Pivot 300/1871: z0=0.9413, epsilon=0.3445, flow residual=5.55E-17 (567.2s)
  Pivot 350/1871: z0=0.9557, epsilon=0.3459, flow residual=5.55E-17 (713.0s)
... 400 steps (888872 ms) ...  Pivot 400/1871: z0=0.9558, epsilon=0.3461, flow residual=5.55E-17 (894.2s)
  Pivot 450/1871: z0=0.9571, epsilon=0.3463, flow residual=1.11E-16 (1027.9s)
... 500 steps (1157969 ms) ...  Pivot 500/1871: z0=0.7799, epsilon=0.3239, flow residual=0 (1162.8s)
  Pivot 550/1871: z0=0.4601, epsilon=0.2471, flow residual=2.22E-16 (1314.5s)
... 600 steps (1477219 ms) ...  Pivot 600/1871: z0=0.84, epsilon=0.3279, flow residual=1.67E-16 (1483.8s)
  Pivot 650/1871: z0=0.852, epsilon=0.328, flow residual=1.11E-16 (1673.8s)
... 700 steps (1854959 ms) ...  Pivot 700/1871: z0=0.462, epsilon=0.2463, flow residual=2.22E-16 (1861.6s)
  Pivot 750/1871: z0=0.6095, epsilon=0.2771, flow residual=1.11E-16 (2034.3s)
... 800 steps (2258788 ms) ...  Pivot 800/1871: z0=0.589, epsilon=0.2722, flow residual=1.11E-16 (2266.5s)
  Pivot 850/1871: z0=0.5301, epsilon=0.2599, flow residual=1.11E-16 (2461.4s)
... 900 steps (2662560 ms) ...  Pivot 900/1871: z0=0.6213, epsilon=0.2917, flow residual=2.22E-16 (2669.5s)
  Pivot 950/1871: z0=0.8046, epsilon=0.3273, flow residual=5.55E-17 (2864.9s)
... 1000 steps (3079448 ms) ...  Pivot 1000/1871: z0=0.8406, epsilon=0.327, flow residual=1.11E-16 (3087.0s)
  Pivot 1050/1871: z0=0.8563, epsilon=0.3286, flow residual=1.11E-16 (3296.8s)
... 1100 steps (3487391 ms) ...  Pivot 1100/1871: z0=0.7495, epsilon=0.3198, flow residual=1.67E-16 (3492.9s)
  Pivot 1150/1871: z0=0.4874, epsilon=0.2553, flow residual=2.22E-16 (3665.6s)
... 1200 steps (3824290 ms) ...  Pivot 1200/1871: z0=0.7633, epsilon=0.321, flow residual=1.11E-16 (3829.8s)
  Pivot 1250/1871: z0=0.8486, epsilon=0.3331, flow residual=1.67E-16 (3988.9s)
... 1300 steps (4130543 ms) ...  Pivot 1300/1871: z0=0.7495, epsilon=0.3211, flow residual=2.22E-16 (4135.1s)
  Pivot 1350/1871: z0=0.6334, epsilon=0.2973, flow residual=2.22E-16 (4286.4s)
